cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,Inn,china,Holbein,Oak Openings,Inn-lane,Ninus,,,,,,,,,,
1,Tn,ROUTLEDGE,Tlosiage,Ww,Routledge,JT,,,,,,,,,,
2,Westminster,Lyndhurst,Munster Festivals,St.,Vignettes,Leicestershire,scaly sea-monster,c.g.,Zoroaster,St. Peter,master’ll,stecl,Steel Plates,STATUE,Stowe,nearest kinsman
3,Elia,penetralia,L. EL.,Amelia,Wakefield,"Queen
Elizabeth’s time",Boscobel,,,,,,,,,
4,NEW YORK,New Type,,,,,,,,,,,,,,
5,HYDE PARK,Hyde Park,,,,,,,,,,,,,,
6,Dryden,Jaden,Venice,DR,Drury,,,,,,,,,,,
7,London,anon,Grafton,Monsieur Violet,Wyandotte,Abingdon,Curzon,Jun.,Londcn Stone,Richmond,Bacon,yon’t,Old London,LONDON,,
8,AURIOL,Vol,Belvoir,Bivouac,Godolphin,M.A.,8vo,vol,,,,,,,,
9,"Saint
James's-square",Havre,Thames,Pelham,Athanor,Damocles,Hamburg,Nottingham,St. James’ss,Waltham,,,,,,
10,"St.
George’s",’s,,,,,,,,,,,,,,
11,Fairfax,Farquhar,Clara,Harvey,Charing,Temple-bar,Charles,,,,,,,,,
12,Haliburton,Lothbury,Canterbury,Midlothian,Finsbury,Colours,c'oth,,,,,,,,,
13,Byron,KronuEIM,KRONHEIM,Blenheim,,,,,,,,,,,,
14,crowne,Pompeii,ROME,Rome,ROSICRUCIAN,,,,,,,,,,,
15,Kensington,Mackintoshes,Washington,Paston,,,,,,,,,,,,
16,Granada,Bunce,France,Fra,Ovingdean Grange,Strand,,,,,,,,,,
17,Watts,EDWARDS,the Black Dwarf,Warsaw,bds.,,,,,,,,,,,
18,Beaumont,Rougemont,Emm,Montrose,,,,,,,,,,,,
19,Tokay,Woodstock,Rookwood,,,,,,,,,,,,,
20,AINSWORTH,Forest Days,Oxford,Forum,fort,Portrait,Kenilworth,Boraa,Beaafort,,,,,,,
21,Fexh,Ivanhoe,South-,Southwark,thou,Author,Thou,,,,,,,,,
22,Sea Lions,Se,Eastcheap,The Inland Sea,Sea,Beatitudes,Japhet inSearchofaFather,Peak,sepulchre,Morse,Seto,,,,,
23,Old Bailey,Millbank,IL,Henry VIIL.,Achilles,Billinsgit,Cornhill,IIlustrations,,,,,,,,
24,Whitefriars,Italy,Whitehall,"Hallywoed Es
Hall",Aldgate,,,,,,,,,,,
25,Loftus,Turk,TX,Pictures,,,,,,,,,,,,
26,f—-,Nigel,Trigce,Trigge,Tzigge,,,,,,,,,,,
27,Tasso,Albany,Santa Maria,Santa,ANTIQUARIES,Phantom Ship,Swan,Satan,Saint,Antverp,,,,,,
28,Calabria,"the Alabama

Il

Case",Isaical,,,,,,,,,,,,,
29,Marion,Park,Marked,Mars,Cinq Mars,Mark,,,,,,,,,,
30,Ve're,Regent,25th Regiment,,,,,,,,,,,,,
31,Podrida,Rienzi,Paradiso,Bavaria,Ispahan,Mississippi,Cristofano,Paris,Isle of Skye,,,,,,,
32,Flapdragon,UK,flagon,scagliola,,,,,,,,,,,,
33,Scotland,Vanbrugh,oie Highlands,England,Highlands,,,,,,,,,,,
34,Hermetic,Waterloo,America,Perth,Rotterdam,River,Lammermoor,Serpentine,Trayther,Vhere,Sheridan,W.H.,ER,,,
35,Stepney-green,Seutree,King-street,Packet,Reeks,Park-street,,,,,,,,,,
