cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,resumee,Adresse-,lesarbres,chanud,Gravures,Suresnes,reseda,Sevres,dechiffres,arbRes-,,,,,,
1,bois de hoyer,de Saxe,Bois,Bois de Boulogne,bois dechire,J',Brtles de s6if,,,,,,,,,
2,rosee tiede,posees,E,A6,,,,,,,,,,,,
3,"Eh oui, j'ai beaucoup d'amitie",chteau,moitie,t- Oui,amiti6,,,,,,,,,,,
4,cI',,,,,,,,,,,,,,,
5,manche,Manuscrits,oi,la manche,Ici,CI,Ancre,,,,,,,,,
6,Ia France,QU,ESPIiRANCE,A55,de France,France,Franec,,,,,,,,,
7,le230,perse,stt,eperdus,,,,,,,,,,,,
8,Geneve,Genes,penetra,OhIl,Etat,,,,,,,,,,,
9,Sahine,N6us,- D6cide,inegal,maine,Ine,L---,Messine,"E
I",,,,,,,
10,Marseillaise,Aise,"Aise
- Et",Heloise,Apaisee,,,,,,,,,,,
11,Louvre,du Louvre,eS,fievre,ocuiivre,A3,emouvoir,,,,,,,,,
12,Agrigente,Rgent,inventee,Etonnante,,,,,,,,,,,,
13,rue de ournon,amouR,Touraine,IILA,Pour-,,,,,,,,,,,
14,ous,m-,ayaht,,,,,,,,,,,,,
15,l'Espagne,Espagne,beuf,i-.LA,espagne,,,,,,,,,,,
16,Amont,Pomone,montee,canape,monta,- Montez,Mont-Valerien,,,,,,,,,
17,elliptiquie,quittat,tqui,hui',Quittez,,,,,,,,,,,
18,Marsan,Eugene Marsan,Lausanne,Il1,,,,,,,,,,,,
19,Suisse,Laisse,Anglais,-,laissel,Va2 ÇA,,,,,,,,,,
20,Chaoun,decouragee,decidee,delicieuses.7,ecourtees,,,,,,,,,,,
21,poele,Noel,"II
I",,,,,,,,,,,,,
22,Ierome,Jerome,Rome,Jerbome,1-- Jerme,,,,,,,,,,,
23,puIs',dEpuis,Puis-,suis,,,,,,,,,,,,
24,SAint-Cloud,Corinthe,,,,,,,,,,,,,,
