cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
0,"Eh oui, j'ai beaucoup d'amitie",moitie,t- Oui,amiti6,J',,,,,,,,,,,,,,,,,,,,,
1,Certes-,cerTes-,T3,Alhert Drer,,,,,,,,,,,,,,,,,,,,,,
2,puIs',dEpuis,Puis-,suis,hui',,,,,,,,,,,,,,,,,,,,,
3,manche,-,Manuscrits,la manche,Ancre,vanit6 seche,lche,,,,,,,,,,,,,,,,,,,
4,quittat,tqui,Etat,Quittez,,,,,,,,,,,,,,,,,,,,,,
5,Assise,Marseillaise,Aise,"Aise
- Et",Heloise,aimais,jais,Apaisee,,,,,,,,,,,,,,,,,,
6,Louvre,retrouvee,du Louvre,SAint-Cloud,emouvoir,,,,,,,,,,,,,,,,,,,,,
7,Aow,Chaoun,chanud,hafr,,,,,,,,,,,,,,,,,,,,,,
8,Marsan,Eugene Marsan,Lausanne,,,,,,,,,,,,,,,,,,,,,,,
9,Agonie,lagonie,amnie,wagon,gargon,,,,,,,,,,,,,,,,,,,,,
10,Suisse,Laisse,Anglais,laissel,,,,,,,,,,,,,,,,,,,,,,
11,chateau des Bruyeres,chteau,Bruyeres,"chambre
deshabituee",,,,,,,,,,,,,,,,,,,,,,
12,Curieuse,Tabieh Mauri,delicieuses.7,Narie,a7,,,,,,,,,,,,,,,,,,,,,
13,Egypte,Lgypte,volupte,,,,,,,,,,,,,,,,,,,,,,,
14,Michelet,poele,meles,Noel,port6,telegruphie,,,,,,,,,,,,,,,,,,,,
15,Ierome,Jerome,Rome,Jerbome,1-- Jerme,,,,,,,,,,,,,,,,,,,,,
16,lesarbres,desarroi,Sales,arbRes-,,,,,,,,,,,,,,,,,,,,,,
17,perse,ÇA N0VELLE ESPERANCE,wo  boi.28 ÇA N0UVEILLE ESPfEnRANCE,de1 IL N0UYELLE ESPERANCE,NOYELLE ESEnRANCB,N0UYELLE ESPERANCE,N0UYELLE ESPERANCE 11,N0UYELLE ESPERANcCE,N0UVELLE ESPiRANCE 87,L'esperance,N0UYELLE EsPRANCE 57,N0UVELLE EsPERANCE,N0UYELLE ESPRANCB,orgueil18 ÇA N0UBLLE ESPERANCE,ÇA N0UVELLE ESPfRANCE,YELLE ESPfiRANCL,VELL ESPRANC1,,,,,,,,,
18,gne,l'Espagne,Espagne,espagne,,,,,,,,,,,,,,,,,,,,,,
19,tais,gtait,C'6tait,etais,,,,,,,,,,,,,,,,,,,,,,
20,ecoliers,Moliere,Singulierement,molistache,colere,,,,,,,,,,,,,,,,,,,,,
21,N0UYELLB,N0UYEILILE,N0UYELLE,A1,N0UELLB,LA N0OUYELL,,,,,,,,,,,,,,,,,,,,
22,loranger,ouest-de-ange,ESPRANG,le dranger,,,,,,,,,,,,,,,,,,,,,,
23,apre,precis,Apre,A,Apres,,,,,,,,,,,,,,,,,,,,,
24,Alsace,Grece,grace,glacee,,,,,,,,,,,,,,,,,,,,,,
25,Geneve,Rgent,Genes,penetra,,,,,,,,,,,,,,,,,,,,,,
26,comMe l. A,comedienne,rue de l'Ancienne-Comedie,mediocre,Vienne,,,,,,,,,,,,,,,,,,,,,
27,G-.--,L---,,,,,,,,,,,,,,,,,,,,,,,,
28,Autre,au-,A07,meltre,sutr,,,,,,,,,,,,,,,,,,,,,
29,"desir
opulaire",eclairee,soiree,E,sreeor,dlire,,,,,,,,,,,,,,,,,,,,
30,"rue madame
Forbier",Forbier,madare,"E
I",,,,,,,,,,,,,,,,,,,,,,
31,Parme,rEgardez,sondepart,Partez,Passy,partce,Paris,,,,,,,,,,,,,,,,,,,
32,"massif de myosotis etoufle
de feuilles",Et6 traquille,tranquille,Versailles,,,,,,,,,,,,,,,,,,,,,,
33,resumee,Vosges,clematites,essouffles,lunes bleues,Cest,Gravures,colombes,eS,Suresnes,jardin des Vosges,lese,Est,posees,dechiffres,Naples,"Soir-




ples gaietes",Ioutes,Indes,,,,,,,
34,le230,"la
Seine bleue",ble,Nationsle,.LE,troublejusqu',blessee,fleole,,,,,,,,,,,,,,,,,,
35,Joubliais,oubli6,,,,,,,,,,,,,,,,,,,,,,,,
36,N0UVELLI,ÇA N0UVELLE,N0UVELLE,N0UVEILLE,N0UVELLE BSPEnANCE,ceLA N0UvELLE,N0UVELLB,,,,,,,,,,,,,,,,,,,
37,Amont,Pomone,agitee,inventee,montee,monta,- Montez,bonte,Mont-Valerien,,,,,,,,,,,,,,,,,
38,N0UVLLE,NoUvBLLE,N0UVBLLE,Blle,forceLA N0UVBLL,N0UYBLLE,,,,,,,,,,,,,,,,,,,,
39,Adresse-,fievre,reseda,Sevres,reponse,,,,,,,,,,,,,,,,,,,,,
40,souenir,Cordoue,Rouen,,,,,,,,,,,,,,,,,,,,,,,
41,Rozee,rohe,Iyrol,Boheme,,,,,,,,,,,,,,,,,,,,,,
42,A Henri,lenri,,,,,,,,,,,,,,,,,,,,,,,,
43,musie,Rbus,ous,N6us,Ous,Mossoul,eperdus,entrE nouS',,,,,,,,,,,,,,,,,,
44,adame de Fontenay,tenay,Ialemoiselle de Fontenay,"A madame
de Fontenay",Fonteray,ayaht,deFontenay,Fontenay,Etonnante,Grenade,Fon,,,,,,,,,,,,,,,
45,la252,ceLA,cela',elan,i-.LA,,,,,,,,,,,,,,,,,,,,,
46,Ferney,morne,du morne,eorps,acharnee,,,,,,,,,,,,,,,,,,,,,
47,Elseneur,endure,Heure-,Asie Mineure,Asie Mineure  Rien,Europe,,,,,,,,,,,,,,,,,,,,
48,Lambur,feuillage du Luxembourg,Luxembourg,Bourgogne,,,,,,,,,,,,,,,,,,,,,,
49,aequies-,Jaeques,Bibliotheque,tle de Jean-Jaeques,,,,,,,,,,,,,,,,,,,,,,
50,attrist6e,stt,gptt,,,,,,,,,,,,,,,,,,,,,,,
51,c0,accabl6e,ca,canape,caillox,LÀ2,,,,,,,,,,,,,,,,,,,,
52,Phiiippe,II,"II
I",ocuiivre,,,,,,,,,,,,,,,,,,,,,,
53,veux-tu,vecu,avaitvecu,,,,,,,,,,,,,,,,,,,,,,,
54,htel,tete collee,A55,nettete,tete,saintete,tete courbee,bete,Comite,eesie triete,hebetee,,,,,,,,,,,,,,,
55,Ierbme,Pierre,piece,serree,,,,,,,,,,,,,,,,,,,,,,
