cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
0,ble,Blle,.LE,fleole,le230,"la
Seine bleue",oubli6,blessee,,,,,,,,,,,,,,,,,,,,,
1,Quelque,Jaeques,Dominique,QU,Quelquefois,Bibliotheque,,,,,,,,,,,,,,,,,,,,,,,
2,lesarbres,Brtles de s6if,Bruyeres,Versailles,desarroi,Sales,arbRes-,,,,,,,,,,,,,,,,,,,,,,
3,Voyez,vieI Voyez,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,endure,Florence,Existence,a7,Flore,lerencpntre,Sincere,,,,,,,,,,,,,,,,,,,,,,
5,ellE,Flles,Oreille,glle,barcarolle,Celle-l,meles,Nulle,Je0me Hrelle,suelle,elLE,tranquille,Et6 traquille,Elle ajauta,Rlle,Je0me Herelle,tulle,viellles,graduellementa,.Rlle,Michelet,I,malemoiselle,poele,vis-a-vis d'elle,elliptiquie,"pas,,.elle",IL N0ELLE,telegruphie
6,G-.--,L---,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sois,Heloise,soiree,- tu vois,Bois,oi,soil,soif1,Soie,empoisonnee,,,,,,,,,,,,,,,,,,,
8,Rouen,souenir,Cordoue,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Certes-,cerTes-,ecourtees,,,,,,,,,,,,,,,,,,,,,,,,,,
10,manche,chanud,A55,vanit6 seche,Ancre,la manche,lche,,,,,,,,,,,,,,,,,,,,,,
11,OhIl,IL,Il Pas,Philosopige,N0UYEILILE,Il1,Lucile,IILA,soleil,caillox,,,,,,,,,,,,,,,,,,,
12,Pour-,Lambur,amouR,Mossoul,emouvoir,"Eh oui, j'ai beaucoup d'amitie",,,,,,,,,,,,,,,,,,,,,,,
13,Curieuse,Asie Mineure  Rien,eesie triete,Tabieh Mauri,Narie,Asie Mineure,,,,,,,,,,,,,,,,,,,,,,,
14,Marsan,Lausanne,Manuscrits,Eugene Marsan,A07,madare,,,,,,,,,,,,,,,,,,,,,,,
15,gtait,quittat,C'6tait,Quittez,Etat,tqui,,,,,,,,,,,,,,,,,,,,,,,
16,allee,Bengale,allegee,Allemagne,collee,,,,,,,,,,,,,,,,,,,,,,,,
17,precis,apre,Apre,J',Apres,,,,,,,,,,,,,,,,,,,,,,,,
18,rEgardez,Partez,z.,partce,Parme,Paris,sondepart,Passy,,,,,,,,,,,,,,,,,,,,,
19,uand,G:;auan,Hollande,Iandis,,,,,,,,,,,,,,,,,,,,,,,,,
20,hafr,Chaoun,"chambre
deshabituee",Aow,,,,,,,,,,,,,,,,,,,,,,,,,
21,m-,Rozee,rohe,Europe,Iyrol,Boheme,,,,,,,,,,,,,,,,,,,,,,,
22,fievre,ocuiivre,Sevres,reseda,Adresse-,reponse,serree,,,,,,,,,,,,,,,,,,,,,,
23,du Louvre,A1,Louvre,SAint-Cloud,retrouvee,,,,,,,,,,,,,,,,,,,,,,,,
