cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0.0,Egypte,Lgypte,,,,,,,,,,,,
1.0,hebetee,agitee,bete,,,,,,,,,,,
2.0,Agonie,gargon,amnie,lagonie,wagon,,,,,,,,,
3.0,comedienne,Vienne,mediocre,rue de l'Ancienne-Comedie,,,,,,,,,,
4.0,quittat,tqui,Quittez,,,,,,,,,,,
5.0,uand,G:;auan,Iandis,Hollande,,,,,,,,,,
6.0,Seine,la Seine,"la
Seine bleue",,,,,,,,,,,
7.0,bois de hoyer,Bois,bois dechire,de Saxe,Bois de Boulogne,Brtles de s6if,,,,,,,,
8.0,N0UYELLB,LA N0OUYELL,N0UELLB,N0UYEILILE,N0UYELLE,,,,,,,,,
9.0,Pour-,rue de ournon,detour,Tournon,decouragee,Touraine,amouR,,,,,,,
10.0,Quelque,Quelquefois,Dominique,,,,,,,,,,,
11.0,Louvre,emouvoir,du Louvre,,,,,,,,,,,
12.0,delicieuses.7,Clichy,Ici,Curieuse,,,,,,,,,,
13.0,Alsace,grace,glacee,,,,,,,,,,,
14.0,Jaeques,Bibliotheque,aequies-,tle de Jean-Jaeques,,,,,,,,,,
15.0,sentimentale,Attentive,ntit,,,,,,,,,,,
16.0,Lucile,eclairee,"desir
opulaire",dlire,soiree,,,,,,,,,
17.0,chateau des Bruyeres,chteau,Bruyeres,,,,,,,,,,,
18.0,essouffles,Mossoul,blessee,,,,,,,,,,,
19.0,Berlin,Wurtemberg,ecourtees,,,,,,,,,,,
20.0,Passy,Assise,Il Pas,,,,,,,,,,,
21.0,- D6cide,decidee,,,,,,,,,,,,
22.0,aimais,Aise,"Aise
- Et",Marseillaise,Apaisee,jais,Heloise,,,,,,,
23.0,BSPfnRANC,BSPfEnRANCE,N0UYILLE BSPfnRANC 69,,,,,,,,,,,
24.0,Etat,tais,etais,,,,,,,,,,,
25.0,ceLA N0UvELLE,N0UVELLE,N0UVELLI,N0UVELLE BSPEnANCE,N0UVELLE ESPiRANCE 87,ÇA N0UVELLE,N0UVELLB,ÇA N0UVELLE ESPfRANCE,N0UVEILLE,,,,,
26.0,de1 IL N0UYELLE ESPERANCE,NOYELLE ESEnRANCB,N0UVELLE EsPERANCE,N0UYELLE ESPERANCE,VELL ESPRANC1,N0UYELLE ESPERANCE 11,YELLE ESPfiRANCL,N0UYELLE EsPRANCE 57,ÇA N0VELLE ESPERANCE,L'esperance,N0UYELLE ESPERANcCE,N0UYELLE ESPRANCB,wo  boi.28 ÇA N0UVEILLE ESPfEnRANCE,orgueil18 ÇA N0UBLLE ESPERANCE
27.0,Corinthe,saintete,SAint-Cloud,nettete,tete,,,,,,,,,
28.0,Sincere,colombes,soleil,colere,lerencpntre,fleole,,,,,,,,
29.0,lenri,A Henri,,,,,,,,,,,,
30.0,penetra,Geneve,Genes,,,,,,,,,,,
31.0,ESPIiRANCE,Ancre,de France,France,Franec,Ia France,ESPfiRANCL,,,,,,,
32.0,eorps,sreeor,,,,,,,,,,,,
33.0,Marsan,Eugene Marsan,,,,,,,,,,,,
34.0,souenir,Cordoue,Rouen,,,,,,,,,,,
35.0,IL N0IVELLE,vis-a-vis d'elle,ellE,graduellementa,N0UELLE,suelle,Celle-l,Elle ajauta,malemoiselle,"pas,,.elle",elLE,viellles,,
36.0,resumee,Adresse-,Suresnes,reseda,dechiffres,Gravures,,,,,,,,
37.0,LA N0UYLLE,"II
I
LA N0ELLE",IL N0ELLE,"II
I",,,,,,,,,,
38.0,Flore,Florence,Existence,,,,,,,,,,,
39.0,vecu,avaitvecu,,,,,,,,,,,,
40.0,feuillage du Luxembourg,Bourgogne,Luxembourg,,,,,,,,,,,
41.0,Nulle,Blle,allee,Va2 ÇA,glle,tulle,Rlle,barcarolle,liitlle seit,Oreille,Flles,allegee,.Rlle,
42.0,beatoup,TOut,Ioutes,,,,,,,,,,,
43.0,troublejusqu',oubli6,Joubliais,,,,,,,,,,,
44.0,Bengale,Il1,Sales,lese,meles,,,,,,,,,
45.0,manche,la manche,,,,,,,,,,,,
46.0,htel,telegruphie,poele,Dauphine,,,,,,,,,,
47.0,fratche,lche,molistache,Michelet,vanit6 seche,chemnins,,,,,,,,
48.0,dEpuis,suis,puIs',Puis-,,,,,,,,,,
49.0,cerTes-,Certes-,Alhert Drer,,,,,,,,,,,
50.0,J0me,J6r0me,,,,,,,,,,,,
51.0,tete collee,tete courbee,collee,,,,,,,,,,,
52.0,C'6tait,tourmentait170 ÇA N0ivLLLE,gtait,,,,,,,,,,,
53.0,Soie,soil,soif1,Sois,nfgrmit asoinoNee,,,,,,,,,
54.0,"Soir-




ples gaietes",Naples,canape,,,,,,,,,,,
55.0,sutr,Autre,meltre,,,,,,,,,,,
56.0,vieI Voyez,Voyez,- tu vois,,,,,,,,,,,
57.0,sondepart,Partez,partce,Parme,,,,,,,,,,
58.0,rohe,Boheme,,,,,,,,,,,,
59.0,Est,Cest,,,,,,,,,,,,
60.0,ouest-de-ange,loranger,ESPRANG,le dranger,,,,,,,,,,
61.0,Vosges,jardin des Vosges,rEgardez,,,,,,,,,,,
62.0,luiILA NOUyELLE,elliptiquie,ILA NOELLIE,Noel,IILA,,,,,,,,,
63.0,OhIl,Philosopige,Phiiippe,,,,,,,,,,,
64.0,cela',ceLA,elan,,,,,,,,,,,
65.0,volupte,devolr,,,,,,,,,,,,
66.0,i-.LA,CI.LA,,,,,,,,,,,,
67.0,ous,entrE nouS',Ous,,,,,,,,,,,
68.0,Chaoun,Manuscrits,chanud,acharnee,,,,,,,,,,
69.0,Sabine,fbine,Subine,,,,,,,,,,,
70.0,piece,Grenade,Grece,,,,,,,,,,,
71.0,Ierbme,Pierre,serree,,,,,,,,,,,
72.0,ble,lune,lunes bleues,,,,,,,,,,,
73.0,Fonteray,deFontenay,"A madame
de Fontenay",Ialemoiselle de Fontenay,bonte,Fontenay,Fon,tenay,adame de Fontenay,,,,,
74.0,leLA NOUVELLE EsPfERANCE,LA NoUVELLE ESPERANCIE,",- Nou",I.A NOUvELLE,NoUVELLE,LA NOUvELLE,NoUvILLB,retrouvee,,,,,,
75.0,Tabieh Mauri,Forbier,"rue madame
Forbier",madare,,,,,,,,,,
76.0,Apres,Apre,apre,precis,,,,,,,,,,
77.0,eperdus,perse,,,,,,,,,,,,
78.0,"massif de myosotis etoufle
de feuilles",Et6 traquille,tranquille,,,,,,,,,,,
79.0,Allemagne,l'Espagne,Espagne,gne,Pologne,espagne,,,,,,,,
80.0,N0UVLLE,N0UYBLLE,forceLA N0UVBLL,NoUvBLLE,N0UVBLLE,,,,,,,,,
81.0,attrist6e,Paris,Narie,,,,,,,,,,,
82.0,Mont-Valerien,Pomone,- Montez,monta,montee,Amont,,,,,,,,
83.0,Asie Mineure  Rien,eesie triete,musie,Asie Mineure,Elseneur,,,,,,,,,
84.0,Messine,inegal,maine,Sahine,Ine,,,,,,,,,
85.0,cheminee chaude,cheminee,,,,,,,,,,,,
86.0,tibede,rosee tiede,posees,,,,,,,,,,,
87.0,remportee,port6,,,,,,,,,,,,
88.0,Etonnante,inventee,Agrigente,Rgent,,,,,,,,,,
89.0,reuni,bruni,,,,,,,,,,,,
90.0,t- Oui,moitie,amiti6,"Eh oui, j'ai beaucoup d'amitie",,,,,,,,,,
91.0,Sevres,ocuiivre,fievre,,,,,,,,,,,
92.0,Ferney,du morne,morne,,,,,,,,,,,
93.0,Comite,Comment,comMe l. A,,,,,,,,,,,
94.0,desarroi,arbRes-,lesarbres,,,,,,,,,,,
95.0,laissel,Suisse,Anglais,Laisse,,,,,,,,,,
96.0,Versailles,caillox,,,,,,,,,,,,
97.0,Singulierement,ecoliers,Moliere,,,,,,,,,,,
98.0,reponse,clematites,Latin,Nationsle,,,,,,,,,,
99.0,lItalie,d'Italie,Italie,,,,,,,,,,,
100.0,ampe,extreme,empecher,fremir,trempee,,,,,,,,,
101.0,endure,Heure-,Europe,,,,,,,,,,,
102.0,Lausanne,empoisonnee,treizieme annee,,,,,,,,,,,
103.0,Rome,1-- Jerme,Jerbome,Ierome,Jerome,,,,,,,,,
104.0,Iyrol,Je0me Hrelle,Je0me Herelle,,,,,,,,,,,
105.0,Indes,Lambur,"chambre
deshabituee",,,,,,,,,,,
