text,cluster
Comment,0
comedienne,0
comMe l. A,0
mediocre,0
rue de l'Ancienne-Comedie,0
Vienne,0
Grece,1
eclairee,1
Grenade,1
Gravures,1
grace,1
piece,1
suis,2
Puis-,2
A07,2
dEpuis,2
aequies-,2
puIs',2
hui',2
manche,3
Manuscrits,3
Ancre,3
lche,3
la manche,3
vanit6 seche,3
fratche,3
chanud,3
E,3
reuni,4
IUn,4
bruni,4
Heure-,4
beuf,4
uand,5
G:;auan,5
Iandis,5
Hollande,5
A92,6
A9,6
A,6
-,7
gargon,7
Agonie,7
wagon,7
amnie,7
lagonie,7
d'Italie,8
lItalie,8
delicieuses.7,8
Italie,8
liitlle seit,8
oubli6,8
Clichy,8
Moliere,9
molistache,9
Singulierement,9
Berlin,9
dlire,9
Pierre,9
colere,9
ecoliers,9
musie,10
Ous,10
ous,10
N6us,10
Rbus,10
entrE nouS',10
eperdus,10
A55,10
t- Oui,10
tete,11
chteau,11
nettete,11
saintete,11
tete courbee,11
tete collee,11
bete,11
hebetee,11
htel,11
Comite,11
bois dechire,12
Bois de Boulogne,12
Bourgogne,12
"massif de myosotis etoufle
de feuilles",12
Pologne,12
bois de hoyer,12
Bovary,12
YELLE ESPfiRANCL,13
L'esperance,13
VELL ESPRANC1,13
N0UVELLE EsPERANCE,13
N0UYILLE BSPfnRANC 69,13
N0UYELLE ESPERANCE,13
N0UVELLE ESPiRANCE 87,13
de1 IL N0UYELLE ESPERANCE,13
N0UYELLE EsPRANCE 57,13
ÇA N0UVELLE ESPfRANCE,13
ÇA N0VELLE ESPERANCE,13
orgueil18 ÇA N0UBLLE ESPERANCE,13
NOYELLE ESEnRANCB,13
N0UYELLE ESPERANcCE,13
wo  boi.28 ÇA N0UVEILLE ESPfEnRANCE,13
N0UYELLE ESPRANCB,13
N0UYELLE ESPERANCE 11,13
N0UVELLE BSPEnANCE,13
lenri,14
Mont-Valerien,14
A Henri,14
allee,15
Allemagne,15
collee,15
Bengale,15
allegee,15
Jerome,16
1-- Jerme,16
Ierome,16
Rome,16
Jerbome,16
N0UELLE,17
