cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,Comprenez,Comprends-tu cela,trompe-la-mort,S’,Comédie,Egypte,C’,Venez,,,,,
1,Fougeroux,sabré,Pérou,ben,kakatoès,,,,,,,,
2,mans,la manche,Lakçamana,,,,,,,,,,
3,Chili,Cécilia,Philistine,,,,,,,,,,
4,boulevard Montparnasse,Montparnasse,théâtre Montparnasse,,,,,,,,,,
5,RCE,Eu,RCE S ON,,,,,,,,,,
6,Écoutez,TS,Micou,Prêtez,,,,,,,,,
7,ellE,Grenelle,"3

 ELle",Mademoiselle,O,tonnelle,Laquelle,ElLe,bte,"Tell
À.

de",Te rappelles-tu,,
8,Brave,Pouah,Bravo,,,,,,,,,,
9,salie!.,Italie,Italiens,Fanfan-la-Italie,MIle,Hospitalier,Italien,bah,l'Italie,,,,
10,lapromenade,Rome,Providence,Cadet,,,,,,,,,
11,Palais-Royal,Palais-Mazarin,,,,,,,,,,,
12,Nous vivions,du Nord,Consterna-,Voyez,Religion,Poussé,,,,,,,
13,Précédé,Prés,,,,,,,,,,,
14,Anastasie,mastoïdes,Gymnase,Rana-Valo,Anastagille,,,,,,,,
15,Infortunes,porte Zéperons,Roberte,ronfla,Emporte,Zéperons,,,,,,,
16,À,Puis,Faust,lui!.,Fe,buis,,,,,,,
17,Prairie,la Prairie,Voudrait-,,,,,,,,,,
18,Marsala,Kalatçala,,,,,,,,,,,
19,Sitôt,m'’assit,Université,,,,,,,,,,
20,Sceaux,Pruneaux,bordeaux,Château-,,,,,,,,,
21,le Midi,Midi-Opinion,«Ce,fe me cn -,Danielo,Fût,Midi,,,,,,
22,RSR R RER,RER,LS L,dr rs,,,,,,,,,
23,hIer,Cahier,Grossiers,fier,Nizier,Hier-,È,,,,,,
24,veux-tu,Eux,Nice,P,,,,,,,,,
25,"FETE

JE",S«C’,Dsnemeete-,Rio,,,,,,,,,
26,Saint-Théophile,Daniel,église Saint-Pierre,Saint-,Saint-Esprit,rue Saint-Guillaume,Saint-Nizier,Saint-Pétesbourg,Saint-Pierre,rue Saint-Benoît,Saint-Emilion,Saint-Cloud,
27,Papillon,PAPILLON,"PAPILLON

Je crois bien!","PAPILLON

C’",Grillon,cimetière des Papillons,"PAPILLON

Est",SRE,J'ai,"PAPILLON S
Ah!",,,
28,t’,Port-au-Prince,principal,Palerme,Cap,Çudra,principal n’,Lyon,,,,,
29,Carmélites,Éliacin,Tes,Escargots,Amalécites,,,,,,,,
30,Charivaris,Paris,Parthénon,PAris,Parisien,Parisiens,,,,,,,
31,Raspail,tueras là-haut,,,,,,,,,,,
32,Pilois,Pilois!.,Loin,Pilouitt!.,"LÀ

 

 

L",,,,,,,,
33,rue des Dames,J',DAME,Dame,d’hippopotames,Océan,victoria de la dame,,,,,,
34,jACques,Jacques,Hacqueville,,,,,,,,,,
35,Travaille,ailleurS,As-tu bien travaillé,,,,,,,,,,
36,Perroquet,"Pierrotte!

Pierrotte",Pierrotte,"Pierrotte…
Est",Pierrotte s’,-je,Mile Pierrotte,Mie Pierrotte,,,,,
37,LA BÊTE A BON DIEU,—- Bonjour,"LA BÊTE A BON DIEU

Quoi donc ?

LE PAPILLON",LA BÊTE À BON DIEU,LA BÊTE A BON,,,,,,,,
38,"mer

 

 

 

 

LE ROMAN DE","mer

 

 

 

 

LE ROMAN",,,,,,,,,,,
39,noble n’,lit n’,uma,ER,,,,,,,,,
40,SOit,Sois,Bonsoir,,,,,,,,,,
41,Trouves-tu mon Muguet,Muguets,Muguet,,,,,,,,,,
42,SAUMON,Saumon,,,,,,,,,,,
43,Angélus,Languedoc,Langlumeau,bésigue,Jardin des Plantes,,,,,,,,
44,fort Loyasse,Embrasse,Loyasse,TE,m'’asseoir,PA fesse RD,,,,,,,
45,soufHe,Soubeyrol,Souwaroff,Chauve-Souris,,,,,,,,,
46,Figurez,guipure,Holà,,,,,,,,,,
47,SL  Sd,LL LL Sd,"FER 97

Sd",IL L,IL S,,,,,,,,
48,Po,critérium!.,Écris,Nécro-,Cristaux,,,,,,,,
49,Rhône,le Rhône,Le Rhône,,,,,,,,,,
50,Sd,Barbette… Allons!,Barbette,Barbette!.,,,,,,,,,
51,Pardonnez,Foin,Chardon,Pardon,dOnc,,,,,,,,
52,Courage,Agen,vages,,,,,,,,,,
53,aimais,J'aimais,Vive,,,,,,,,,,
54,"CRISTAUX
Ancienne Maison Lalouette

|
|
|",Ebloui,Fouette,Lalouette,JE,"vieux
Lalouette",,,,,,,
55,m'’effraya,m'’invitait,m'’introduire,m'’inspiraient,m'’écrivaient,n'’irai,,,,,,,
56,rEgardez,Regardez,Un Garçon,gardes-du-corps,,,,,,,,,
57,Ménalque,Bibliothèque,Quels,Quelque,m’,Quelquefois,,,,,,,
58,Bach’,Pacheco,Perrache,,,,,,,,,,
59,Rime,estimez,Est,,,,,,,,,,
60,"Bati-
gnolles",Batignolles,lilas,Bohême,Récollets,,,,,,,,
61,Beaucaire,A l’aube,"IX

L’AFFAIRE",,,,,,,,,,
62,Eyssette,Bernerette,cette Bastille,goutte,Odette,Musette,Promettez,Mne Evyssette,,,,,
63,clocher de Saint-Germain,Saint-Germain-des-,Saint-Germain,faubourg Saint-Germain,Saint-Germain—,Saint-Germain-des-Prés,Prés-Saint-Gervais,,,,,,
64,"Toloco-
totignan",Tolocototignan,tolocototignan,Is,Toto do do dd,Toloco-,ST St,,,,,,
65,chut!.,voyais,Comédie-Française,initiais,sais,"RÊVE233

 

Moi, j'étais d’avis",continuais,niais,,,,,
66,Désir-de-plaire,Sire,DIRE,sire-de-plaire,Observatoire,,,,,,,,
67,Y A,Demain-,Touraine,Porcelaines,Maine,Maintenant,BE,s’,,,,,
68,Jugez,Cunocépa,,,,,,,,,,,
69,LES,Chenilles,Naples,les Angélus,Les Chenilles,S,îles Marquises,fillesen,,,,,
70,L’,Or,recopiât,TU,d’,miséra-a-le!,,,,,,,
71,bourrée,Boulons,Bouzanquet,Tribou,Luxembourg,Boucoyran,,,,,,,
72,jusqu’,qu’,,,,,,,,,,,
73,Inde,Sarlandais,Evêché,Sarlande,Sar-,,,,,,,,
74,gros Serrières,Sèvres,serrure,Serrières,AmUser,Crusoé,,,,,,,
75,Vatel,N,croisée,crois,,,,,,,,,
76,Bandit,Lombards,Bamban,Bamban!.,,,,,,,,,
77,Champenoise,sur-le-champ,champagne,,,,,,,,,,
78,rue Lanterne,titis de l’,pyramide d'Egypte,baie de Naples,Bibliothèque nationale de France,rue de Lille,,,,,,,
79,Bhagiratha,Mathurine,Scarabées,Araignée,Daçaratha,rs,,,,,,,
80,Petit Chose,"CHOSE

RSS RER E SR R",Chose,"CHOSE

TU","CHOSE

LÀ",Se dd,,,,,,,
81,Cévenol l’,Cévenole,Cévennes,Aer,Cévenol,,,,,,,,
82,Odéon,"Coucou-
Blanc",Couru-Blanc,Mile Coucou-Blanc,Géniès,Coucou-,Madagas-,Cuba,Blanc,Coucou,Coucou-Blanc,Coucou-Blanc!.,COUCI-BLANC
83,théâtre de Paris Quant,Théâtre-Français,théâtre de Paris,,,,,,,,,,
84,Vois,Sais-tu qu’,Trouves-tu,Voilà,"Es-tu
retourné",Crois-tu,Vois-tu!,,,,,,
85,LT LS,VI,A,,,,,,,,,,
86,Turc,Magasins,Robinson,songeuse,,,,,,,,,
87,Annou,Rà,Inouï,,,,,,,,,,
88,Montez,D,Autre,Mont-,wagon,Lamartine d’Elvire,Vénus,Montmartre,Montélimart,,,,
89,Cassagne,pagna,d’Espagne,Bretagne,sagne,la Bretagne,,,,,,,
90,Ma Petite-Cercle,160 LE PETIT,"PER

T

72 LE PETIT",80 LE,,,,,,,,,
91,Pie,Ser-,Pier-,Mlle Pier-,,,,,,,,,
92,Vallée,Mlle,Allez,,,,,,,,,,
93,Chers,Fer,du cher,Mon cher,Cher,,,,,,,,
94,Moi,kss!.,"-

Moi",mois!.,,,,,,,,,
95,Conseillez,Vieille,Marseille,,,,,,,,,,
96,Polichinelle,Colombine,Coquine,Chinois,Chine,,,,,,,,
97,Bien,Vienne,Tiens,Algérien,Combien,Alsacien,,,,,,,
98,m'’allait,m'’appelait,m'’appelais,,,,,,,,,,
99,Quartier-Latin,Quartier Latin,LS,"Quartier
Latin",Quartier-,Moustier,"Quartier
Latin!",Latin,,,,,
100,Grand-Cercle,victoria,Grand-Orient,,,,,,,,,,
101,"collège de

 

 
 i

240 LE PETIT",collège n’,collège cèlèbre,collège de Lyon,Vieux-Collège,"collège de
Sarlande",collège de,"collège de

 

 
 i",,,,,
102,Vendredi,Attends,Rendez,cendis,,,,,,,,,
103,Enr,DER,Réfléchissez,Rogé,aplatisse,suisse,,,,,,,
104,Pas,pAs eNcore,I,PAS,,,,,,,,,
105,oo ot oo todo,,,,,,,,,,,,
106,amérique,l’,l'Afrique,Afrique,,,,,,,,,
107,poète!.,honte!.,,,,,,,,,,,
108,Malheureuse-,Malheu-,Malheureu-,,,,,,,,,,
109,Alsace,Lovelaces,Place!,,,,,,,,,,
110,j’,Mole,soleil,,,,,,,,,,
111,Pod,,,,,,,,,,,,
112,trouverez là-bas des amis,irons /à-bas,Bas,Ià-bas,,,,,,,,,
113,s'’entraînant,Attention,Entrerai-je,entr’,,,,,,,,,
114,Amour,Limoux,Confusément,"Limoux
Seulement",,,,,,,,,
115,Guigne,Neuf-des-Après,Notre-Seigneur,Signez,beurrées,Seigneur,,,,,,,
116,Caveau,Levez-,Avez,Savez,,,,,,,,,
117,Le Rosellen,alençon,Rose,Rosellen,,,,,,,,,
118,"place des
Terreaux",Angleterre,Nanterre,D TER,terre,,,,,,,,
