cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,Bien,Vienne,Tiens,Algérien,Combien,,,,,,,,,,
1,Vois,Voilà,Voyez,Sois,Is,Vois-tu!,,,,,,,,,
2,Po,Pouah,d’hippopotames,poète!.,Poussé,Pod,,,,,,,,,
3,Comprenez,Comprends-tu cela,recopiât,Venez,,,,,,,,,,,
4,Moi,Foin,"-

Moi","RÊVE233

 

Moi, j'étais d’avis",Mole,,,,,,,,,,
5,ellE,Grenelle,"3

 ELle",Le Rosellen,Mademoiselle,tonnelle,Laquelle,ElLe,"Tell
À.

de",Mlle,Allez,Te rappelles-tu,Rosellen,,
6,Daniel,Géniès,Danielo,,,,,,,,,,,,
7,RCE,«Ce,RCE S ON,Nice,,,,,,,,,,,
8,Sd,SL  Sd,LL LL Sd,IL S,,,,,,,,,,,
9,Angélus,Languedoc,Langlumeau,les Angélus,,,,,,,,,,,
10,hIer,Cahier,Grossiers,fier,Moustier,Nizier,Hier-,,,,,,,,
11,Brave,Bravo,,,,,,,,,,,,,
12,Grand-Cercle,Ma Petite-Cercle,Grand-Orient,,,,,,,,,,,,
13,salie!.,Italie,Italiens,Fanfan-la-Italie,lit n’,Hospitalier,Italien,l'Italie,,,,,,,
14,L’,A l’aube,l’,,,,,,,,,,,,
15,À,boulevard Montparnasse,Montparnasse,théâtre Montparnasse,,,,,,,,,,,
16,Palais-Royal,Palais-Mazarin,Kalatçala,,,,,,,,,,,,
17,bourrée,—- Bonjour,Tribou,Luxembourg,beurrées,,,,,,,,,,
18,Précédé,Prés,,,,,,,,,,,,,
19,Anastasie,Lakçamana,Gymnase,P,Anastagille,,,,,,,,,,
20,Bhagiratha,Daçaratha,,,,,,,,,,,,,
21,Trouves-tu,trouverez là-bas des amis,Pérou,Trouves-tu mon Muguet,"Es-tu
retourné",Rà,,,,,,,,,
22,lapromenade,Rome,Rogé,trompe-la-mort,Promettez,,,,,,,,,,
23,O,Papillon,PAPILLON,"PAPILLON

Je crois bien!","PAPILLON

C’",Grillon,Cap,cimetière des Papillons,"PAPILLON

Est","PAPILLON S
Ah!",,,,,
24,porte Zéperons,ronfla,Emporte,Zéperons,,,,,,,,,,,
25,Prairie,la Prairie,,,,,,,,,,,,,
26,Odéon,Montez,Mont-,Montmartre,Montélimart,honte!.,,,,,,,,,
27,j’,t’,,,,,,,,,,,,,
28,Sceaux,Pruneaux,bordeaux,,,,,,,,,,,,
29,"CHOSE

RSS RER E SR R",RSR R RER,dr rs,SRE,,,,,,,,,,,
30,Saint-Théophile,église Saint-Pierre,Saint-,Saint-Esprit,rue Saint-Guillaume,Saint-Nizier,Saint-Pétesbourg,Saint-Pierre,rue Saint-Benoît,Saint-Emilion,Saint-Cloud,,,,
31,Port-au-Prince,principal,principal n’,,,,,,,,,,,,
32,Rime,rue des Dames,DAME,Dame,Bohême,,,,,,,,,,
33,jACques,Jacques,Hacqueville,Fût,,,,,,,,,,,
34,Vallée,Travaille,ailleurS,miséra-a-le!,As-tu bien travaillé,,,,,,,,,,
35,"Toloco-
totignan",Tolocototignan,tolocototignan,Océan,Toto do do dd,Toloco-,kakatoès,oo ot oo todo,,,,,,,
36,Y A,LA BÊTE A BON DIEU,"LA BÊTE A BON DIEU

Quoi donc ?

LE PAPILLON",LA BÊTE À BON DIEU,LA BÊTE A BON,,,,,,,,,,
37,Perroquet,"Pierrotte!

Pierrotte",Pierrotte,"Pierrotte…
Est",Pierrotte s’,Mile Pierrotte,Mie Pierrotte,,,,,,,,
38,TS,Muguets,bésigue,Muguet,,,,,,,,,,,
39,mans,"mer

 

 

 

 

LE ROMAN DE","mer

 

 

 

 

LE ROMAN",,,,,,,,,,,,
40,Fer,"FER 97

Sd",Fe,,,,,,,,,,,,
41,Vendredi,Attention,Attends,d’,cendis,,,,,,,,,,
42,pyramide d'Egypte,Egypte,,,,,,,,,,,,,
43,fort Loyasse,Embrasse,Loyasse,,,,,,,,,,,,
44,LS L,LS,IL L,LT LS,"LÀ

 

 

L",tueras là-haut,,,,,,,,,
45,Naples,noble n’,fe me cn -,baie de Naples,rue de Lille,Se dd,,,,,,,,,
46,critérium!.,Rio,Écris,Cristaux,m'’écrivaient,,,,,,,,,,
