cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0.0,Çudra,Voudrait-,,,,,,,,,
1.0,Pierrotte,"Pierrotte…
Est",Mie Pierrotte,Perroquet,"Pierrotte!

Pierrotte",Pierrotte s’,Mile Pierrotte,,,,
2.0,m'’inspiraient,n'’irai,m'’introduire,m'’invitait,m'’écrivaient,,,,,,
3.0,Cévenol,Cévenol l’,Cévennes,Cévenole,,,,,,,
4.0,Quelque,Quelquefois,Ménalque,Quels,,,,,,,
5.0,Attention,Attends,Religion,,,,,,,,
6.0,Pilouitt!.,chut!.,Ebloui,,,,,,,,
7.0,voyais,continuais,Voyez,du Nord,,,,,,,
8.0,m'’asseoir,Embrasse,m'’assit,m'’effraya,,,,,,,
9.0,Barbette,Barbette!.,Barbette… Allons!,,,,,,,,
10.0,Poussé,Pouah,,,,,,,,,
11.0,Travaille,As-tu bien travaillé,ailleurS,,,,,,,,
12.0,Daçaratha,Bhagiratha,,,,,,,,,
13.0,Saint-Cloud,Saint-,Saint-Pierre,Saint-Nizier,rue Saint-Guillaume,église Saint-Pierre,rue Saint-Benoît,Saint-Emilion,Saint-Pétesbourg,Saint-Esprit,Saint-Théophile
14.0,terre,Nanterre,"place des
Terreaux",D TER,Angleterre,,,,,,
15.0,Pardon,Chardon,Pardonnez,dOnc,,,,,,,
16.0,Rome,trompe-la-mort,lapromenade,Promettez,,,,,,,
17.0,SOit,Sois,Bonsoir,,,,,,,,
18.0,Prairie,la Prairie,,,,,,,,,
19.0,PAris,Parthénon,Paris,Parisiens,Charivaris,Parisien,,,,,
20.0,ellE,Grenelle,"Tell
À.

de",Mlle,ElLe,Te rappelles-tu,tonnelle,Mademoiselle,"3

 ELle",Laquelle,
21.0,l'Italie,Italiens,salie!.,Italien,Hospitalier,Fanfan-la-Italie,Italie,,,,
22.0,"IX

L’AFFAIRE",Beaucaire,A l’aube,,,,,,,,
23.0,RSR R RER,dr rs,,,,,,,,,
24.0,Prés,Précédé,,,,,,,,,
25.0,amérique,Afrique,l'Afrique,,,,,,,,
26.0,qu’,jusqu’,Sais-tu qu’,,,,,,,,
27.0,Océan,Cunocépa,,,,,,,,,
28.0,songeuse,Robinson,Roberte,,,,,,,,
29.0,Egypte,Providence,pyramide d'Egypte,,,,,,,,
30.0,victoria de la dame,victoria,,,,,,,,,
31.0,J'aimais,aimais,J'ai,,,,,,,,
32.0,"Limoux
Seulement",Confusément,Limoux,,,,,,,,
33.0,"mer

 

 

 

 

LE ROMAN","mer

 

 

 

 

LE ROMAN DE",Jardin des Plantes,,,,,,,,
34.0,buis,îles Marquises,Puis,,,,,,,,
35.0,rue des Dames,rue de Lille,lilas,titis de l’,rue Lanterne,,,,,,
36.0,les Angélus,Angélus,,,,,,,,,
37.0,Fougeroux,Pérou,Jugez,,,,,,,,
38.0,Bamban!.,Bamban,,,,,,,,,
39.0,Ser-,Pier-,Mlle Pier-,Pie,,,,,,,
40.0,Rendez,cendis,Bandit,Vendredi,,,,,,,
41.0,Combien,Vienne,Bien,Tiens,,,,,,,
42.0,Bach’,Pacheco,recopiât,Perrache,,,,,,,
43.0,MIle,théâtre de Paris Quant,théâtre de Paris,,,,,,,,
44.0,Comédie-Française,Théâtre-Français,Comédie,,,,,,,,
45.0,Cassagne,sagne,,,,,,,,,
46.0,Vieux-Collège,collège de,"collège de

 

 
 i","collège de
Sarlande",collège cèlèbre,"collège de

 

 
 i

240 LE PETIT",collège de Lyon,collège n’,,,
47.0,théâtre Montparnasse,Montparnasse,boulevard Montparnasse,,,,,,,,
48.0,Muguets,Muguet,,,,,,,,,
49.0,Coucou-Blanc!.,Coucou-,Couru-Blanc,Coucou-Blanc,COUCI-BLANC,Blanc,Mile Coucou-Blanc,Coucou,"Coucou-
Blanc",,
50.0,m'’appelait,m'’allait,m'’appelais,,,,,,,,
51.0,gros Serrières,Serrières,serrure,Sèvres,,,,,,,
52.0,faubourg Saint-Germain,Saint-Germain—,Saint-Germain-des-,Saint-Germain-des-Prés,Saint-Germain,clocher de Saint-Germain,Prés-Saint-Gervais,,,,
53.0,Rosellen,Le Rosellen,Rose,,,,,,,,
54.0,Vois-tu!,Voilà,Vois,,,,,,,,
55.0,fier,Nizier,Cahier,Grossiers,Hier-,hIer,,,,,
56.0,Alsacien,Alsace,,,,,,,,,
57.0,Toto do do dd,tolocototignan,"Toloco-
totignan",Tolocototignan,Toloco-,,,,,,
58.0,Araignée,Scarabées,Escargots,,,,,,,,
59.0,Pruneaux,bordeaux,Sceaux,Château-,Caveau,,,,,,
60.0,Souwaroff,Chauve-Souris,soufHe,Soubeyrol,,,,,,,
