cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Africa,America,Ephemeridæ,Whitsun-week,US,St. Patrick's,South America,Sankey,
1,concord,Salford,Corinth,Eden,Sheffield,Runcorn,,,
2,Christ,East,Newcastle,Glasgow,,,,,
3,U. S.,Davenport,North,,,,,,
4,Buckinghamshire,Oxfordshire,Yorkshire,Lancashire,,,,,
5,japan,the Isle o' Man,morocco,Canada,the Isle of Wight,Isle,the Isle of Man,Madeira,
6,Aber,Holyhead,Kerhonah,oi'm,Rhyl,,,,
7,"friend,—my",Wales,Helen,Hercules,Yo're,China,,,
8,thou,Thou,there.—Thou,thou be'st,Milnthorpe,,,,
9,Pembroke,ill brook,,,,,,,
10,Toronto,Una,Roscoe,Alnaschar,Chaucer,,,,
11,Brennus,Borgia,Byron,Holborn,,,,,
12,Mary,Samaritan,Whitsun,Infirmary,LONDON,India,London,MR,
13,Hood,fra Manchester,Continent,Lancaster,"man,—Oh",France,Ogdens,Manchester,Chester
14,Jupiter,Canterbury,Moated Grange,Waterloo,Baltic,Yates,beaux,wi,Quakers
15,Burton,Barton,Sophy,BARTON,,,,,
16,Providence,Halifax,Creseide,Fidelia,Sturgis,,,,
17,Nottingham,"thing,—I",Ritling,,,,,,
18,Brummagem,,,,,,,,
19,Nearer,"him,—dearest Jem","Margaret,—he","mercy,—he","victim,—he",,,,
20,Foolishest,LIVERPOOL,Sorrowfully,Liverpool,,,,,
21,Rose,Faust,,,,,,,
22,Death,Sabbaths,,,,,,,
23,Thee'll,TRAVELLER,the broad sea,the Great Pacific,the Malacopterygii Abdominales,,,,
24,Dunham,Bury,Oldham,Hamburg,,,,,
25,"right,—I",mid-sea,"seen,—if","Jem,—it","yet,—oh","after,—I","innocent,—it",,
26,North and South,Truth,South,,,,,,
27,Bigland,England,Sultan,Ireland,Cumberland,Chatham Island,Westmoreland,,
28,Heimweh,Satyr,,,,,,,
29,New Brighton,Stilton,Boston,New Bailey,Newton,,,,
