cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Mary,"Margaret,—he",Infirmary,Samaritan,Nearer,,,,,,
1,China,India,Ritling,"thing,—I",Una,Alnaschar,,,,,
2,Barton,Boston,Baltic,Toronto,BARTON,Burton,Stilton,,,,
3,Rose,the broad sea,Sorrowfully,Roscoe,,,,,,,
4,Whitsun-week,Whitsun,,,,,,,,,
5,Death,Satyr,the Great Pacific,Sabbaths,beaux,,,,,,
6,Hamburg,Dunham,Oldham,Sturgis,Halifax,Nottingham,Bury,,,,
7,Sophy,Rhyl,,,,,,,,,
8,Providence,Eden,Ogdens,,,,,,,,
9,Liverpool,Davenport,LIVERPOOL,,,,,,,,
10,"seen,—if","him,—dearest Jem","Jem,—it","innocent,—it","victim,—he","after,—I",,,,,
11,Kerhonah,Byron,LONDON,London,,,,,,,
12,Foolishest,Yates,Manchester,Christ,Hercules,Chester,fra Manchester,Waterloo,Aber,Chaucer,Jupiter
13,ill brook,Pembroke,Brummagem,,,,,,,,
14,Faust,US,Brennus,,,,,,,,
15,the Isle of Wight,the Isle of Man,the Malacopterygii Abdominales,Chatham Island,Isle,the Isle o' Man,,,,,
16,MR,,,,,,,,,,
17,Madeira,Fidelia,Creseide,mid-sea,,,,,,,
18,there.—Thou,Thee'll,Hood,Milnthorpe,Thou,thou,thou be'st,,,,
19,Ephemeridæ,Africa,"mercy,—he",Quakers,St. Patrick's,America,South America,,,,
20,Lancashire,East,Lancaster,Canada,Canterbury,France,Newcastle,,,,
21,oi'm,,,,,,,,,,
22,Heimweh,Sheffield,Helen,TRAVELLER,Wales,wi,,,,,
23,"man,—Oh","yet,—oh",,,,,,,,,
24,Cumberland,japan,Sankey,Glasgow,Westmoreland,"friend,—my",Ireland,Sultan,England,Bigland,Moated Grange
25,Borgia,Holborn,Holyhead,,,,,,,,
26,Yo're,Yorkshire,Buckinghamshire,Oxfordshire,,,,,,,
27,Runcorn,Corinth,Continent,Salford,morocco,concord,,,,,
28,New Bailey,"right,—I",Newton,New Brighton,,,,,,,
29,South,North,U. S.,Truth,North and South,,,,,,
