cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0.0,Africa,"friend,—my",St. Patrick's,,,,
1.0,America,Ephemeridæ,South America,Sheffield,,,
2.0,Toronto,Continent,morocco,Byron,,,
3.0,Nearer,"him,—dearest Jem",,,,,
4.0,Bigland,England,Glasgow,Ireland,Cumberland,Chatham Island,Westmoreland
5.0,Samaritan,Sultan,Ritling,,,,
6.0,Nottingham,Dunham,Oldham,Hamburg,,,
7.0,Davenport,TRAVELLER,,,,,
8.0,Kerhonah,LIVERPOOL,Quakers,,,,
9.0,Canterbury,Bury,Canada,Liverpool,,,
10.0,Buckinghamshire,Oxfordshire,Yorkshire,Lancashire,Salford,,
11.0,North and South,North,Truth,South,,,
12.0,"right,—I",New Brighton,New Bailey,,,,
13.0,Aber,Lancaster,East,Newcastle,,,
14.0,Whitsun-week,Whitsun,LONDON,,,,
15.0,Rose,Roscoe,,,,,
16.0,Alnaschar,Chaucer,,,,,
17.0,Mary,Infirmary,,,,,
18.0,Borgia,Sturgis,,,,,
19.0,Foolishest,fra Manchester,Manchester,Chester,,,
20.0,France,Ogdens,Eden,Providence,Creseide,Fidelia,
21.0,Burton,Barton,BARTON,London,,,
22.0,Stilton,Boston,Newton,,,,
23.0,the Isle o' Man,the Isle of Wight,Isle,the Isle of Man,,,
24.0,"man,—Oh","yet,—oh",,,,,
25.0,"thing,—I",Jupiter,"seen,—if","Jem,—it","after,—I","innocent,—it",
26.0,Thee'll,Pembroke,ill brook,mid-sea,the broad sea,the Great Pacific,
27.0,Moated Grange,Waterloo,Yates,,,,
28.0,thou,Thou,there.—Thou,thou be'st,Milnthorpe,,
29.0,Death,Sabbaths,,,,,
30.0,Wales,the Malacopterygii Abdominales,China,,,,
31.0,"Margaret,—he",Hercules,"mercy,—he","victim,—he",,,
32.0,Holyhead,Holborn,,,,,
33.0,concord,Corinth,Runcorn,,,,
