cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Mary,"Margaret,—he",Infirmary,Samaritan,Brummagem,Nearer,,,
1,China,India,MR,"thing,—I",Una,Alnaschar,,,
2,Whitsun-week,Whitsun,,,,,,,
3,Yates,Waterloo,Moated Grange,,,,,,
4,Foolishest,Manchester,Christ,Chester,fra Manchester,Chaucer,,,
5,Death,Satyr,the Great Pacific,Sabbaths,beaux,,,,
6,Kerhonah,Rhyl,Quakers,,,,,,
7,Providence,Eden,Ogdens,"friend,—my",,,,,
8,the broad sea,ill brook,Sorrowfully,Pembroke,,,,,
9,"seen,—if","him,—dearest Jem","Jem,—it","innocent,—it","victim,—he","after,—I",,,
10,Byron,LONDON,London,,,,,,
11,Barton,Boston,Toronto,BARTON,Burton,Stilton,,,
12,Rose,Roscoe,,,,,,,
13,Faust,US,Brennus,,,,,,
14,the Isle of Wight,Thee'll,the Isle of Man,Isle,the Isle o' Man,,,,
15,Sankey,"man,—Oh",Sultan,"yet,—oh",,,,,
16,Sturgis,Borgia,Holborn,,,,,,
17,Cumberland,japan,Yo're,Westmoreland,Ireland,Chatham Island,England,Bigland,
18,Madeira,Fidelia,Creseide,mid-sea,,,,,
19,there.—Thou,Hood,Milnthorpe,Thou,thou,thou be'st,Holyhead,,
20,Ephemeridæ,Africa,"mercy,—he",St. Patrick's,America,South America,Aber,,
21,Lancashire,East,Glasgow,Lancaster,Canada,France,Jupiter,wi,Newcastle
22,Liverpool,LIVERPOOL,,,,,,,
23,Heimweh,Sheffield,oi'm,Helen,TRAVELLER,,,,
24,Hercules,Baltic,the Malacopterygii Abdominales,Halifax,Wales,,,,
25,Dunham,Oldham,Ritling,Buckinghamshire,Nottingham,,,,
26,Runcorn,Corinth,Continent,morocco,concord,,,,
27,Salford,Yorkshire,Oxfordshire,,,,,,
28,New Bailey,"right,—I",Newton,New Brighton,,,,,
29,South,North,U. S.,Sophy,Truth,Davenport,North and South,,
30,Hamburg,Canterbury,Bury,,,,,,
