cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
-1,Una,U. S.,Aber,Hood,"friend,—my",Continent,Christ,Davenport,St. Patrick's,oi'm,Sorrowfully,France,morocco,mid-sea,Salford,Moated Grange,Canada,Halifax,Ritling,Heimweh,Glasgow,Baltic,India,Hercules,MR,beaux,Yo're,wi
0,Whitsun-week,Whitsun,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LIVERPOOL,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sophy,Rhyl,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LONDON,London,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Brummagem,Madeira,,,,,,,,,,,,,,,,,,,,,,,,,,
5,US,Brennus,Faust,,,,,,,,,,,,,,,,,,,,,,,,,
6,Kerhonah,Quakers,,,,,,,,,,,,,,,,,,,,,,,,,,
7,japan,Sankey,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Alnaschar,Chaucer,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pembroke,ill brook,the broad sea,the Great Pacific,,,,,,,,,,,,,,,,,,,,,,,,
10,Death,Sabbaths,Satyr,,,,,,,,,,,,,,,,,,,,,,,,,
11,the Isle o' Man,the Isle of Wight,Isle,the Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,
12,Ogdens,Eden,Providence,,,,,,,,,,,,,,,,,,,,,,,,,
13,Creseide,Fidelia,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Helen,TRAVELLER,Sheffield,,,,,,,,,,,,,,,,,,,,,,,,,
15,Wales,the Malacopterygii Abdominales,,,,,,,,,,,,,,,,,,,,,,,,,,
16,thou,Thee'll,Thou,there.—Thou,thou be'st,,,,,,,,,,,,,,,,,,,,,,,
17,Rose,Roscoe,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Mary,Infirmary,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Samaritan,Sultan,,,,,,,,,,,,,,,,,,,,,,,,,,
20,concord,Runcorn,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Corinth,Milnthorpe,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Africa,America,Ephemeridæ,North and South,North,Truth,South America,South,,,,,,,,,,,,,,,,,,,,
23,"mercy,—he","victim,—he",,,,,,,,,,,,,,,,,,,,,,,,,,
24,"man,—Oh","Margaret,—he","yet,—oh",,,,,,,,,,,,,,,,,,,,,,,,,
25,Toronto,Byron,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Jem,—it","innocent,—it",,,,,,,,,,,,,,,,,,,,,,,,,,
27,Nearer,"him,—dearest Jem",,,,,,,,,,,,,,,,,,,,,,,,,,
28,"thing,—I",China,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Holyhead,Borgia,"seen,—if",Holborn,Sturgis,,,,,,,,,,,,,,,,,,,,,,,
30,East,Newcastle,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Foolishest,fra Manchester,Manchester,Chester,,,,,,,,,,,,,,,,,,,,,,,,
32,Burton,Barton,BARTON,,,,,,,,,,,,,,,,,,,,,,,,,
33,"right,—I",New Brighton,Stilton,Boston,New Bailey,Newton,,,,,,,,,,,,,,,,,,,,,,
34,Dunham,Oldham,Hamburg,Chatham Island,,,,,,,,,,,,,,,,,,,,,,,,
35,Lancaster,Oxfordshire,Yorkshire,Lancashire,,,,,,,,,,,,,,,,,,,,,,,,
36,Nottingham,Buckinghamshire,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Canterbury,Bury,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Bigland,England,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ireland,Cumberland,Westmoreland,,,,,,,,,,,,,,,,,,,,,,,,,
40,Jupiter,"after,—I",,,,,,,,,,,,,,,,,,,,,,,,,,
41,Waterloo,Yates,,,,,,,,,,,,,,,,,,,,,,,,,,
