cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0,Suisse,suischagrin,Suissesse,lissc,,,,,,,,,,,,,,,,,,,,
1,EnUCTIoN,Rvolution,Pvescrition,EnUCA,Inquisition,EnUC,,,,,,,,,,,,,,,,,,
2,Voil,Voilh,Voila,Voili,,,,,,,,,,,,,,,,,,,,
3,thbeses,soltises,Ibes,ca,,,,,,,,,,,,,,,,,,,,
4,blama,rclama,claira,llamaria,Laclam-,,,,,,,,,,,,,,,,,,,
5,Champs-Elysees,pyse,Champs-lilysees,Champs-llyses,Champs-,,,,,,,,,,,,,,,,,,,
6,Frederic,Frederie,lFrederic,,,,,,,,,,,,,,,,,,,,,
7,AIin,Iinit,sV,Iin,,,,,,,,,,,,,,,,,,,,
8,d6flle,Flle,souflle,Fllo,,,,,,,,,,,,,,,,,,,,
9,Sauvagcsse,II',ouvragcs,Femnme-Sauvage,Sauvagcsse avit,eme-Sauvage,,,,,,,,,,,,,,,,,,
10,Aulnays,Maul-,Adieuln,M. des Aulnays,xL,paysn,,,,,,,,,,,,,,,,,,
11,Turc,Zoraide Turc,Mlurchux,Turcs,,,,,,,,,,,,,,,,,,,,
12,lLe,Nlle,mnolle,llle,Mlle,jurisconsulle,,,,,,,,,,,,,,,,,,
13,collres-forts,n0lres,prelres,aulres,,,,,,,,,,,,,,,,,,,,
14,Eure,malleureuse,l'Eure,W,Lheure,Ceur,glgeures,,,,,,,,,,,,,,,,,
15,retou,Creton,retoutr,etoupes,,,,,,,,,,,,,,,,,,,,
16,gasin,sinthe,Sinical,"des-
sin",,,,,,,,,,,,,,,,,,,,
17,mediocre,Samedi,Ia Comedie,mdiocre,iaon mediocre,,,,,,,,,,,,,,,,,,,
18,Mladame,Madamel,fe,damas,Notrc-Dame,,,,,,,,,,,,,,,,,,,
19,pllre,fenclre,laulre,colre,,,,,,,,,,,,,,,,,,,,
20,Iamour,A YOS,Amourl,,,,,,,,,,,,,,,,,,,,,
21,AIfaires-Etrangeres,AIfaires-Etrangres,Freres-Siamois,,,,,,,,,,,,,,,,,,,,,
22,tristel,Pwris,pris?n,scuris,mpris,l,soie gris,Puris,,,,,,,,,,,,,,,,
23,Iallait,Iallu,Ilfallait,,,,,,,,,,,,,,,,,,,,,
24,l'Empire,Empire,Empire cree pair de,L'E,eA,,,,,,,,,,,,,,,,,,,
25,prolites-cn,Dej,gnrosites,prolilt,,,,,,,,,,,,,,,,,,,,
26,Amerique,Amerique du Sud,h.,l'Amerique,Mriques,,,,,,,,,,,,,,,,,,,
27,ger,r6diger,Auger,Sait-tGervais,Algerie,gere,,,,,,,,,,,,,,,,,,
28,plateaua,Chateau,Chatelet,"Chateau-
d'Eau",Chate-,chteau,Chateau-,Chhteauroux,,,,,,,,,,,,,,,,
29,-  A,-  Ah,,,,,,,,,,,,,,,,,,,,,,
30,Limpu-,Limportance,importel,portunt,tanl,,,,,,,,,,,,,,,,,,,
31,papicr,OuY.rd,Papal,picd,A,meticr,,,,,,,,,,,,,,,,,,
32,Praslin,Baslin,Prado,,,,,,,,,,,,,,,,,,,,,
33,DUcATI0N,lesL' EDUCATI0N,L'EDUcATI0N,EDUcATI0N,i5,EUcATI0N,"dortoir,18
L' i:UCATI0N",EnDUCATI0N,v-,EnDUcATI0N,UcATI0N,"par-l.
L' iDUCCATI0N",,,,,,,,,,,,
34,jura,Vuraud,raudes,Iraucs,El,I35,A-,,,,,,,,,,,,,,,,,
35,Anglais,caufe Anglais,Mlais,Anglaise,porte du cafe Anglais,,,,,,,,,,,,,,,,,,,
36,cclui de Lamoricire,Lamoricire,"tic-tac de la
cnlule",,,,,,,,,,,,,,,,,,,,,
37,EDUcATI0N sENTIMENTALE,incATI0N SENTIMENTALE,L'EDUCATI0N SENTIMENTA,EDUCATI0N sSENTIMENTA ILE,L'EDUcATI0N sENTIMENTALE,EDUcATI0N SENTIMENTALE,.eL' iEnUCATI0N SENTIMENALE,EDUcATI0N sENTIIENTALE,EncATI0N sSENTIMENTALE 501,UcATI0N SENTIMENTA ILE,E nucATI0N SENTIMIENTAILE,pas-L'fncATI0N SENTIIENTALE,TI0N SENT1MIENTALE,L'EpUCATI0N SENTIMENTALE,L'EDUCATI0N sSENTIMENTALE,,,,,,,,,
38,ucune,mune,I17,brune,jecune,ucun,,,,,,,,,,,,,,,,,,
39,pos-L' fED,pos-L,,,,,,,,,,,,,,,,,,,,,,
40,ctre,vtre,.'etre,v0tre,peut-tetre,v0trel o,avaitrecu,geomtre,Iichtre,Mattre,,,,,,,,,,,,,,
41,quai d'Orsay,Orsay,gie,quai Voltaire,,,,,,,,,,,,,,,,,,,,
42,Cancane,Vatican,anca,canape,Toscane,cancan,renoncant,,,,,,,,,,,,,,,,,
43,Comimnent,mimi?n,MIme,Le comimnissire,Comines,l.,,,,,,,,,,,,,,,,,,
44,lologne,IPologne,yoix,II,Bologne,la Pologne,ixes,Ft,Pologne,,,,,,,,,,,,,,,
45,Aure,aureole,Dulaure,,,,,,,,,,,,,,,,,,,,,
46,rcelle,Celles,trulles,Celle-lh,Celles-lh,celle-lh,,,,,,,,,,,,,,,,,,
47,Dussar-,Dussardier,So-,Picardie,Grce  Dussardier,Dussardioer,Froissard,Dussarlier,Poissarde,,,,,,,,,,,,,,,
48,cheminde,cachemire,cheminee,,,,,,,,,,,,,,,,,,,,,
49,cntra,trafne,ntra,rultrapa,magistralture,Carpenltras,traglie,,,,,,,,,,,,,,,,,
50,gne,Eugne,Auvergne,Mazas,,,,,,,,,,,,,,,,,,,,
51,ILe,Gilet,Ccile,Ilesperides,soufIle,ILes,l3,Cecile,YVIIle sibcle,chile,Iler-,lile,,,,,,,,,,,,
52,Anjou,acajou,Ls,journce,jou,toujoursl,,,,,,,,,,,,,,,,,,
53,lDonc,Donc,I00,donc?n,,,,,,,,,,,,,,,,,,,,
54,troisime,croisales,Trois-Marics,troisiime,Troisibme,Cvroiz,Trois-,,,,,,,,,,,,,,,,,
55,rue Saint-Martin,porte Saint-Martin,Suint-Murtin,Porte-Saint-Martin,D,faubourg Saint-Martin,"rue
Saint-Mlartin",,,,,,,,,,,,,,,,,
56,Partezl,Sortezl,partez,,,,,,,,,,,,,,,,,,,,,
57,clle,et6e,lombreclle,cervclle,clle avuit reluse,17T1,Quclle,,,,,,,,,,,,,,,,,
58,Regardez,Gardes,regardit,gard,,,,,,,,,,,,,,,,,,,,
59,la Capitale,Capitale,Capitaine,Bengale,,,,,,,,,,,,,,,,,,,,
60,fier,Pierrot,Pradier,Canonniers,lIIerbigny,,,,,,,,,,,,,,,,,,,
61,systmnes,ommne,homnes,,,,,,,,,,,,,,,,,,,,,
62,eulemet,22I,bleme,eul,inegalemecnt,,,,,,,,,,,,,,,,,,,
63,Voyons,Voyez,Yoyonst,a.-,Lyon,,,,,,,,,,,,,,,,,,,
64,"tioi
Fe",Iois,tioi,,,,,,,,,,,,,,,,,,,,,
65,l-bas,l-bs,lh-bas,iE,la-basl,,,,,,,,,,,,,,,,,,,
66,sicnne,rue Vivicnne,sicnnes,on276,,,,,,,,,,,,,,,,,,,,
67,f-,Cite,Benedicite,celebrite,Dcs,Iratevnite,Chitelet,,,,,,,,,,,,,,,,,
68,Jesuites du Paraguay,siuges du Mluseum,Mluseum,gne du menage,,,,,,,,,,,,,,,,,,,,
69,Iit,ppieres entrc-closes,fenttres,fentres,,,,,,,,,,,,,,,,,,,,
70,Garde-Meuble,Frde-,Garde-Meubles,,,,,,,,,,,,,,,,,,,,,
71,wagon,gargon,cccccc.26,guargon,l'argecntl,,,,,,,,,,,,,,,,,,,
72,A05,- el,-  Eh,-  Est,IM,A Elbeuf,,,,,,,,,,,,,,,,,,
73,veaient,l1Orient,Ient,Bientot,NTIIENTA,Ctaient,bientl,,,,,,,,,,,,,,,,,
74,Gaillon,"porl
Maillot",chillonnires,Maillot,defaillir,place Gaillon,,,,,,,,,,,,,,,,,,
75,Conservatoire,Onse,-  Conservons-les,oratoir du Pape,onservatoire,,,,,,,,,,,,,,,,,,,
76,Barbs,Barbbs,-  Trbs,Eh,,,,,,,,,,,,,,,,,,,,
77,rue de Laval,rue de la Ferme,seuil de la lorette,rue de la Paix,place de la Bourse,ferme de Presles,rue de la Ferme ?,sphre de la salle,rue de la Ferme et de la rue Tronchet,,,,,,,,,,,,,,,
78,Temple,tempete,mpe,,,,,,,,,,,,,,,,,,,,,
79,rd,lonc,Poncif,Ablon,lonc?n,qulon,sulon,,,,,,,,,,,,,,,,,
80,Vatnazl,Mlle Vatnaz,Vatnaz,Q',Vntnaz,I.f,Vutnaz,,,,,,,,,,,,,,,,,
81,Vesuve,Ineuves,,,,,,,,,,,,,,,,,,,,,,
82,neme,mneme,Jcu-,Certainementl,cxcs,Mostaganem,,,,,,,,,,,,,,,,,,
83,Derrire,Suriret,derriire,rir,,,,,,,,,,,,,,,,,,,,
84,bDe,tibde,,,,,,,,,,,,,,,,,,,,,,
85,Fr6dic,silencicuse,musee,odicuse,Dbardcuse,M. Dumbrcuse,sricuse,adicu,-  Excuse,,,,,,,,,,,,,,,
86,Murcchale,Marchale,Arc,La Marchale,Mlurchale,Marcchale,Marchd,,,,,,,,,,,,,,,,,
87,Iierte,I6serte,Liberte,.:;;;.e,desert,curtel,,,,,,,,,,,,,,,,,,
88,revolta,Revo-,,,,,,,,,,,,,,,,,,,,,,
89,Persan,perse,Dumersan,,,,,,,,,,,,,,,,,,,,,
90,meltre,"maltresse1 Il
e la nie",pltre,abaltre,,,,,,,,,,,,,,,,,,,,
91,Bouquet-,debout li-bus,juqu',,,,,,,,,,,,,,,,,,,,,
92,-  Ouil,Ouil,Oui,,,,,,,,,,,,,,,,,,,,,
93,Allemagne,Halles,lez,Allez,Allemand,allees,,,,,,,,,,,,,,,,,,
94,lrges cuvettes,ttetc,llosnette,"detteln
-  lurbleu",laigrette,casqtette,Hosnette,chette,con nette,lettel,,,,,,,,,,,,,,
95,Aube,Rubens,ctzx,n1,l'Aube,,,,,,,,,,,,,,,,,,,
96,ypes,Alpes,,,,,,,,,,,,,,,,,,,,,,
97,Dbarleuse,Debardeuse,t0t. n,Debar-,ebahi,la Debardeuse,l Dehardeuse,Dbardeuse,,,,,,,,,,,,,,,,
98,Iixa,lanternes prbs des lanternes,Jardin des Plantes.ed,Jardin des Plantes,"Jardin des Plantes.ed
L' E","lanternes vnitiennes accrochees 
des poteaux iormaicnt",Jardin des llautes,Jrdin,,,,,,,,,,,,,,,,
99,Constantinople,Considerant,considera,MI,,,,,,,,,,,,,,,,,,,,
100,compgnie,pagnie,pagnon,coipagnie,,,,,,,,,,,,,,,,,,,,
101,EDUCATION,iDUCATION,EDUCATIoN,Dsualtevnisation,nUCATION,"musique20
L' i:nUCATIoN",Irequcntation,garles nationaux,xt'L' D UCATIoN,,,,,,,,,,,,,,,
102,Pourquoi ma lpublique,ourquoi,Pourquoi t'acharnes,Quoi?n,,,,,,,,,,,,,,,,,,,,
103,arrivel,barrirc,Arriv,Vive,enveloppee,,,,,,,,,,,,,,,,,,,
104,p1es-,Es-tu,Oi es-tu,Attendrais-tu ton lidalgo,,,,,,,,,,,,,,,,,,,,
105,Vlour,lourdes,veloursl,Loure,lout,Loulou,,,,,,,,,,,,,,,,,,
106,carre-,carreaix,,,,,,,,,,,,,,,,,,,,,,
107,ourgogne,bcsogne,Bourgogne,,,,,,,,,,,,,,,,,,,,,
108,Vanneroy,Van-,neroy,,,,,,,,,,,,,,,,,,,,,
109,paon,Flanque-la dehorslon,Salamanque,Flanque,Blanqui,Banque,J',,,,,,,,,,,,,,,,,
110,Cygne de la Cvroiz,cygne,Cygne,,,,,,,,,,,,,,,,,,,,,
111,L'EDUCA TI0N,L'EDUCA,EDUCA,,,,,,,,,,,,,,,,,,,,,
112,ecluir,huil,Sicelui-l,luil,Colui,pluic,.::,,,,,,,,,,,,,,,,,
113,Somme,sommc,Sombaz,Commcntl,hommcs,,,,,,,,,,,,,,,,,,,
114,lavie,rideuux,.A12,Avide,Savigny,,,,,,,,,,,,,,,,,,,
115,biographics,Provi-,Progrs,eprouva,,,,,,,,,,,,,,,,,,,,
116,Pouce,appouva,Pou,Pour-,pouIr,,,,,,,,,,,,,,,,,,,
117,linie,puncl inleliniment,Mlinistk,i.,,,,,,,,,,,,,,,,,,,,
118,Vicomte,vic,Appelle-moi Vicomte,vicomles,,,,,,,,,,,,,,,,,,,,
119,usqulau Louvre,Au Louvre,"exprs louvrage do
Gobet",d0me du Louvre,,,,,,,,,,,,,,,,,,,,
120,lanoblesse,eligibles,bles,blessee,lesiusils,Miserables,O,,,,,,,,,,,,,,,,,
121,qand,uand,candideslo,gand,Grand,brigand,,,,,,,,,,,,,,,,,,
122,poudrc,Oudry,voudrezn,pre Oudry,Odry,voudrezl,,,,,,,,,,,,,,,,,,
123,Opera,operer,perail,,,,,,,,,,,,,,,,,,,,,
124,Arrtte,mur arrtta,aerrtri,,,,,,,,,,,,,,,,,,,,,
125,Olympe,L'Olympe,,,,,,,,,,,,,,,,,,,,,,
126,rue Dauphine,rue d',rue Joubert,rue d'Anjou,rue Duphot,rue Transnonain,"rue du Marcle-aux-
hevaux",rue Paradis,rue Drouot,rue Jacob,rue du Bac,,,,,,,,,,,,,
127,pre Roque,oque,pre Hoque,,,,,,,,,,,,,,,,,,,,,
128,femmle,lemmcna,Iemmecs,,,,,,,,,,,,,,,,,,,,,
129,tais-toil,toil,ceoilfure,Toi,toilon,,,,,,,,,,,,,,,,,,,
130,reveni,Venise,do Venise,Wenise,venit,,,,,,,,,,,,,,,,,,,
131,Pnr,Unlustre,crpu,Gare ai lustrel,Tibi,Ministre,,,,,,,,,,,,,,,,,,
132,ex-pre-,Presi-,apres la bire,Presles,Pressel,Vepres,Presilent,,,,,,,,,,,,,,,,,
133,aisserie,serieux,Ptisserie,Ilbaissa,baissee,connaissez?n,,,,,,,,,,,,,,,,,,
134,liacre,nacre,fiacre,".,:ak---",sacree,,,,,,,,,,,,,,,,,,,
135,cblouie,llisbeth-Olympe-Louise HRoque,Louisefut,Louisel,,,,,,,,,,,,,,,,,,,,
136,I72,Desde,par-dessus des,rs do,par-dessus lahaie,,,,,,,,,,,,,,,,,,,
137,Salon,Salons,Ma-,lons i cercle dor,,,,,,,,,,,,,,,,,,,,
138,Cisy 2,Cisy?n,I,ii,Cisy,,,,,,,,,,,,,,,,,,,
139,"vis-i-vis de
lui-meme",vis-a-vis,a20,visagc,,,,,,,,,,,,,,,,,,,,
140,Percepteur,le Precepteur,Prcepteur,bDocteur,,,,,,,,,,,,,,,,,,,,
141,la chine,Chine,chicards,chine,el,Chine ct,Chinec,lchira,,,,,,,,,,,,,,,,
142,rue Sint-Anne,rue Saint-Hyacinthe,rue Saint-Denis,boulevard Saint-Denis,porte Saint-Denis,rue Saint-Victor,rue Sainte-Anne,de Saint-Denis,,,,,,,,,,,,,,,,
143,reparul,Irappces,Appar,Gaspardo,Parly,,,,,,,,,,,,,,,,,,,
144,vilure,Privilge,Vil,,,,,,,,,,,,,,,,,,,,,
