cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0.0,rue de Laval,rue de l'Empereur,rue de Marbueuf,rue de Richelieu,"tic-tac de la
cnlule",rue de la Paix,place de la Bourse,rue de l'Arcade,rue de Rivoli,sphre de la salle,rue de Valois,Laval,,,,,,,,,,,
1.0,blama,rclama,llamaria,Laclam-,,,,,,,,,,,,,,,,,,,
2.0,ayec,Irayeur,ayeec,,,,,,,,,,,,,,,,,,,,
3.0,Croix-Hlousse,yoix,,,,,,,,,,,,,,,,,,,,,
4.0,Champs-Elysees,pyse,Champs-lilysees,Champs-llyses,Champs-,,,,,,,,,,,,,,,,,,
5.0,Frederic,Frederie,lFrederic,,,,,,,,,,,,,,,,,,,,
6.0,AIin,Iinit,Iin,,,,,,,,,,,,,,,,,,,,
7.0,d6flle,Flle,souflle,Fllo,,,,,,,,,,,,,,,,,,,
8.0,Sncal,Sncall,,,,,,,,,,,,,,,,,,,,,
9.0,Aulnays,M. des Aulnays,paysn,,,,,,,,,,,,,,,,,,,,
10.0,Turc,Zoraide Turc,Turcs,,,,,,,,,,,,,,,,,,,,
11.0,jce,sujcet,,,,,,,,,,,,,,,,,,,,,
12.0,Eure,malleureuse,l'Eure,Lheure,Ceur,glgeures,,,,,,,,,,,,,,,,,
13.0,Cisy 2,Cisy?n,ciseax,Cisy,,,,,,,,,,,,,,,,,,,
14.0,liacre,nacre,fiacre,sacree,,,,,,,,,,,,,,,,,,,
15.0,Ton,Tond,-  Sortons,,,,,,,,,,,,,,,,,,,,
16.0,retou,Creton,retoutr,etoupes,,,,,,,,,,,,,,,,,,,
17.0,gasin,Gaspardo,Sinical,"des-
sin",,,,,,,,,,,,,,,,,,,
18.0,mediocre,Samedi,Ia Comedie,mdiocre,iaon mediocre,,,,,,,,,,,,,,,,,,
19.0,Mladame,Madamel,Notrc-Dame,,,,,,,,,,,,,,,,,,,,
20.0,Iamour,Amourl,Freres-Siamois,,,,,,,,,,,,,,,,,,,,
21.0,tristel,Pwris,pris?n,mpris,soie gris,,,,,,,,,,,,,,,,,,
22.0,Iallait,Iallu,Ilfallait,,,,,,,,,,,,,,,,,,,,
23.0,l'Empire,Empire,L'E,,,,,,,,,,,,,,,,,,,,
24.0,Amerique,Amerique du Sud,l'Amerique,Mriques,,,,,,,,,,,,,,,,,,,
25.0,ger,dunger,Auger,Algerie,gere,,,,,,,,,,,,,,,,,,
26.0,Voulez,voulitle,- Voulez,vOulez-Vus,circulezl,,,,,,,,,,,,,,,,,,
27.0,plateaua,Chateau,Chatelet,"Chateau-
d'Eau",Chate-,chteau,Chateau-,Chhteauroux,,,,,,,,,,,,,,,
28.0,Limpu-,Limportance,importel,portunt,tanl,,,,,,,,,,,,,,,,,,
29.0,papicr,Papal,picd,meticr,,,,,,,,,,,,,,,,,,,
30.0,Saint-Jacques,rue Saint-Jacques,tSaint-Jacques,Jacques,,,,,,,,,,,,,,,,,,,
31.0,Praslin,Baslin,,,,,,,,,,,,,,,,,,,,,
32.0,cntra,ntra,ncnt,l'argecntl,,,,,,,,,,,,,,,,,,,
33.0,jura,Vuraud,raudes,,,,,,,,,,,,,,,,,,,,
34.0,biographics,lithographiecel-bre,,,,,,,,,,,,,,,,,,,,,
35.0,Anglais,caufe Anglais,Mlais,Anglaise,porte du cafe Anglais,,,,,,,,,,,,,,,,,,
36.0,ecluir,cclui de Lamoricire,Lamoricire,,,,,,,,,,,,,,,,,,,,
37.0,Monsieurl,monsieti,Mlonsieur,Monsiecur,,,,,,,,,,,,,,,,,,,
38.0,ucune,jecune,ucun,,,,,,,,,,,,,,,,,,,,
39.0,pos-L' fED,pos-L,,,,,,,,,,,,,,,,,,,,,
40.0,ctre,vtre,.'etre,peut-tetre,avaitrecu,Lautre,geomtre,Iichtre,Mattre,,,,,,,,,,,,,,
41.0,Cancane,Vatican,Toscane,cancan,renoncant,,,,,,,,,,,,,,,,,,
42.0,lologne,IPologne,bois de Bologne,bcsogne,Bologne,la Pologne,Pologne,,,,,,,,,,,,,,,,
43.0,Aure,ceoilfure,aureole,Dulaure,,,,,,,,,,,,,,,,,,,
44.0,rcelle,Celles,trulles,Celle-lh,Celles-lh,celle-lh,,,,,,,,,,,,,,,,,
45.0,Dussar-,Dussardier,Picardie,Grce  Dussardier,Dussardioer,Froissard,Dussarlier,Poissarde,,,,,,,,,,,,,,,
46.0,lanoblesse,bles,blessee,ressemblancel A,,,,,,,,,,,,,,,,,,,
47.0,trafne,fnee,rultrapa,traglie,,,,,,,,,,,,,,,,,,,
48.0,ILe,lidolatrie imbecile del',Gilet,Ccile,Ilecou-,soufIle,ILes,Cecile,YVIIle sibcle,chile,Iler-,lile,,,,,,,,,,,
49.0,lDonc,Donc,ldont,,,,,,,,,,,,,,,,,,,,
50.0,monsicur,Monsicur,,,,,,,,,,,,,,,,,,,,,
51.0,rue Saint-Martin,porte Saint-Martin,Suint-Murtin,Porte-Saint-Martin,faubourg Saint-Martin,"rue
Saint-Mlartin",,,,,,,,,,,,,,,,,
52.0,Partezl,Sortezl,partez,mbes ecartees,,,,,,,,,,,,,,,,,,,
53.0,clle,lombreclle,cervclle,clle avuit reluse,Quclle,,,,,,,,,,,,,,,,,,
54.0,suischagrin,chagrin?n,,,,,,,,,,,,,,,,,,,,,
55.0,Mlle Ioque,ceudie e Ioe,le Iyve,,,,,,,,,,,,,,,,,,,,
56.0,Regardez,Gardes,regardit,gard,,,,,,,,,,,,,,,,,,,
57.0,la Capitale,Capitale,Capitaine,,,,,,,,,,,,,,,,,,,,
58.0,systmnes,ommne,homnes,,,,,,,,,,,,,,,,,,,,
59.0,rue Descartes,rue Dauphine,rue d',rue Joubert,rue d'Anjou,rue Duphot,"rue du Marcle-aux-
hevaux",rue Paradis,rue Drouot,rue Jacob,rue du Bac,rue des Irois-llois,,,,,,,,,,,
60.0,eulemet,bleme,eul,inegalemecnt,,,,,,,,,,,,,,,,,,,
61.0,Voyons,Yoyonst,Lyon,,,,,,,,,,,,,,,,,,,,
62.0,Suisse,Suissesse,Pvesse,Sagesse,,,,,,,,,,,,,,,,,,,
63.0,l-bas,l-bs,lh-bas,la-basl,,,,,,,,,,,,,,,,,,,
64.0,Iraucs,Irappces,claira,socqucs,lchira,,,,,,,,,,,,,,,,,,
65.0,sicnne,rue Vivicnne,sicnnes,,,,,,,,,,,,,,,,,,,,
66.0,elfraya,elfrne,,,,,,,,,,,,,,,,,,,,,
67.0,Jesuites du Paraguay,siuges du Mluseum,Mluseum,,,,,,,,,,,,,,,,,,,,
68.0,ppieres entrc-closes,fenttres,fentres,,,,,,,,,,,,,,,,,,,,
69.0,Garde-Meuble,Garde-Meubles,,,,,,,,,,,,,,,,,,,,,
70.0,wagon,gargon,guargon,,,,,,,,,,,,,,,,,,,,
71.0,- el,-  Eh,-  Est,A Elbeuf,,,,,,,,,,,,,,,,,,,
72.0,veaient,l1Orient,Ient,NTIIENTA,Ctaient,bientl,,,,,,,,,,,,,,,,,
73.0,MIis,MIise-,,,,,,,,,,,,,,,,,,,,,
74.0,Temple,tempete,mpe,,,,,,,,,,,,,,,,,,,,
75.0,-  Tapecz,-  Trente-sept,trentel,-  Trbs,laltirerent,"Ar-i
noux  trente mille francs",,,,,,,,,,,,,,,,,
