cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31
0,Voil,Voilh,Voila,moil,Voili,ceoilfure,,,,,,,,,,,,,,,,,,,,,,,,,,
1,laule,Maul-,laulre,paule,Dulaure,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Turc,Zoraide Turc,Mlurchux,Turcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,jce,nibce,ceda,Jcu-,sujcet,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,d6flle,lLe,Allemagne,clle,Mlle Ioque,A05,Halles,lElle,Allez,Allemand,glee,Nlle,trulles,lombreclle,mnolle,llle,Mlle,Flle,Quclle,allees,souflle,jurisconsulle,qulelle,lexislence,,,,,,,,
5,Eure,vilure,Irayeur,Aure,malleureuse,l'Eure,Lheure,aureole,bDocteur,eul,Ceur,meurs?n,Censure,currefour de 1Htel-,glgeures,,,,,,,,,,,,,,,,,
6,liacre,ecria,nacre,fiacre,sacree,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,retou,Creton,tombereitx,retoutr,toul,tout;-,etoupes,,,,,,,,,,,,,,,,,,,,,,,,,
8,mediocre,Samedi,Ia Comedie,mdiocre,P,meticr,iaon mediocre,,,,,,,,,,,,,,,,,,,,,,,,,
9,meltre,pltre,Gare ai lustrel,geometriel,attroupemenlts,magistralture,abaltre,,,,,,,,,,,,,,,,,,,,,,,,,
10,Amerique,Amerique du Sud,"damas rouge
Quatre domestiques",l'Amerique,Mriques,piqtue,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ger,dunger,r6diger,Auger,Algerie,blme d'exagere,Ver-,Gericault,gere,,,,,,,,,,,,,,,,,,,,,,,
12,Voulez,lez,voulitle,devouez-vouslo,- Voulez,vOulez-Vus,circulezl,Voyez,couleuu,,,,,,,,,,,,,,,,,,,,,,,
13,plateaua,Chateau,Chatelet,W,"Chateau-
d'Eau",Chate-,chteau,Chapeau,eA,Mr6chaux,ganse du chapeau,Chateau-,Chhteauroux,,,,,,,,,,,,,,,,,,,
14,l1l',1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Saint-Jacques,rue Saint-Jacques,tSaint-Jacques,Jacques,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,irus-gii;;i3It,I35,.:;;;.e,A59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Anglais,caufe Anglais,Anglaise,Irlandais,Languedoc,porte du cafe Anglais,languir,,,,,,,,,,,,,,,,,,,,,,,,,
18,Monsieurl,monsicur,Montpensier,Amourl,monsieti,Monsicur,Mlonsieur,Monsiecur,,,,,,,,,,,,,,,,,,,,,,,,
19,ucune,Z.,jecune,ucun,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Iierte,I6serte,intertts,Liberte,Oter,-,lIIerbigny,,,,,,,,,,,,,,,,,,,,,,,,,
21,designe,gne,Eugne,Dagneaux,Empoigne,Auvergne,ourgogne,cygne,rsignee,fnee,chtaigners,Bugneaux,bcsogne,Cygne,cltne,gne du menage,Bretagne,Seigneurl,Ligne,,,,,,,,,,,,,
22,Dussar-,Dussardier,Picardie,Caussidiere,Grce  Dussardier,Dussardioer,Dussarlier,Poissarde,,,,,,,,,,,,,,,,,,,,,,,,
23,ILe,Il1,femmle,Gilet,Ccile,Ilecou-,le soleil,soufIle,Autorile,lesiusils,ILes,Cecile,leil,YVIIle sibcle,chile,Iler-,,,,,,,,,,,,,,,,
24,filoselle,Belleville,Belle-,I,"rue
Iauteville","ruo
Iauteville",Bellevue,Grmonville,Surville,Seville,Appelle-moi Vicomte,Villeneuve-l'Archevque,Vaudeville,rue Bellefond,Villenauxe,Gremonville,,,,,,,,,,,,,,,,
25,rue Sint-Anne,rue Saint-Martin,rue Saint-Hyacinthe,rue Saint-Denis,rue Transnonain,porte Saint-Martin,Suint-Murtin,Porte-Saint-Martin,xL,rue Caumartin,rue Saint-Victor,faubourg Saint-Martin,"rue
Saint-Mlartin",rue Sainte-Anne,,,,,,,,,,,,,,,,,,
26,cntra,trafne,ntra,Carpenltras,traglie,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,raudes,Desde,Dej,bDe,lumides,par-dessus des,cuyde,desert,de382,"des-
sin",O,J',,,,,,,,,,,,,,,,,,,,
28,-  Tapecz,la Capitale,Capitale,.A12,Capitaine,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Pareils,reparul,ILaromiguire,Ls,Creil,Corbeil,,,,,,,,,,,,,,,,,,,,,,,,,,
30,rue Dauphine,rue d',rue de Marbueuf,rue d'Anjou,rue Duphot,"rue du Marcle-aux-
hevaux",rue de Breda,rue Drouot,rue Jacob,rue du Bac,,,,,,,,,,,,,,,,,,,,,,
31,lisire,Iu reussiras,Molire,tapissires,lissc,Le comimnissire,dlire,Freres-Siamois,,,,,,,,,,,,,,,,,,,,,,,,
32,Suisse,soltises,Suissesse,"maltresse1 Il
e la nie",Ecosse,terrsse,grosse,ressemblancel A,Russe,Pvesse,Sagesse,,,,,,,,,,,,,,,,,,,,,
