cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0,Voil,Voilh,Voila,moil,Voili,ceoilfure,,,,,,,,,,,,,,,,
1,suischagrin,Cmu,chagrin?n,l,,,,,,,,,,,,,,,,,,
2,l1l',l108,1L,J,,,,,,,,,,,,,,,,,,
3,Frederic,Frederie,lFrederic,,,,,,,,,,,,,,,,,,,
4,Sncal,Sinical,O,Sncall,,,,,,,,,,,,,,,,,,
5,Sauvagcsse,ouvragcs,Femnme-Sauvage,Sauvagcsse avit,eme-Sauvage,,,,,,,,,,,,,,,,,
6,Aulnays,M. des Aulnays,paysn,,,,,,,,,,,,,,,,,,,
7,Turc,Zoraide Turc,Mlurchux,Turcs,,,,,,,,,,,,,,,,,,
8,jce,nice,nibce,Jcu-,grace,A59,sujcet,,,,,,,,,,,,,,,
9,d6flle,lLe,clle,Halles,Allez,Allemand,Nlle,trulles,lombreclle,mnolle,cervclle,clle avuit reluse,llle,Mlle,Flle,Quclle,allees,souflle,jurisconsulle,,,
10,Eure,Suresne,malleureuse,l'Eure,Lheure,Ceur,meurs?n,Censure,glgeures,,,,,,,,,,,,,
11,liacre,nacre,fiacre,sacree,,,,,,,,,,,,,,,,,,
12,retou,Creton,retoutr,G,toul,etoupes,,,,,,,,,,,,,,,,
13,mediocre,Samedi,Ia Comedie,mdiocre,iaon mediocre,,,,,,,,,,,,,,,,,
14,Iamour,Amourl,I85,Freres-Siamois,,,,,,,,,,,,,,,,,,
15,Allard,Iallait,Iallu,Ilfallait,,,,,,,,,,,,,,,,,,
16,Pont-Neuf,Dupont,Ponts,le Pont-Neuf,,,,,,,,,,,,,,,,,,
17,Amerique,Amerique du Sud,piquees,l'Amerique,fabriquelo,Mriques,polytcchnique,piqtue,,,,,,,,,,,,,,
18,ger,dunger,Auger,Algerie,Gericault,gere,,,,,,,,,,,,,,,,
19,Voulez,lez,voulitle,- Voulez,vOulez-Vus,circulezl,Iouleuses,couleuu,,,,,,,,,,,,,,
20,plateaua,Chateau,Chatelet,"Chateau-
d'Eau",Chate-,chteau,eA,Chateau-,Chhteauroux,,,,,,,,,,,,,
21,papicr,Negricr,Papal,picd,meticr,,,,,,,,,,,,,,,,,
22,Saint-Jacques,A6,rue Saint-Jacques,tSaint-Jacques,Jacques,,,,,,,,,,,,,,,,,
23,Anglais,caufe Anglais,Mlais,Anglaise,porte du cafe Anglais,,,,,,,,,,,,,,,,,
24,cclui de Lamoricire,Lamoricire,,,,,,,,,,,,,,,,,,,,
25,EDUcATI0N sENTIMENTALE,incATI0N SENTIMENTALE,L'EDUCATI0N SENTIMENTA,"IL DUCAT10N SENTIMENTA LE
-  Moi?",EDUCATI0N sSENTIMENTA ILE,L'EDUcATI0N sENTIMENTALE,EDUcATI0N SENTIMENTALE,.eL' iEnUCATI0N SENTIMENALE,EDUcATI0N sENTIIENTALE,EncATI0N sSENTIMENTALE 501,UcATI0N SENTIMENTA ILE,E nucATI0N SENTIMIENTAILE,EDUCAT10N sENTIMENTALE,LipUCAT10N SENTIMENTALE,pas-L'fncATI0N SENTIIENTALE,L'EpUCATI0N SENTIMENTALE,EnUcAT10N sENTIMENTALE,L'EDUCATI0N sSENTIMENTALE,"cafe170
L EDUCAT10N SENTIMENTALE
Dagneaux",,,
26,ucune,jecune,ucun,,,,,,,,,,,,,,,,,,,
27,designe,Allemagne,gne,Eugne,Dagneaux,Empoigne,Auvergne,cygne,rsignee,chtaigners,Savigny,Bugneaux,scne,bcsogne,Cygne,cltne,gne du menage,Bretagne,Seigneurl,Ligne,,
28,pos-L' fED,pos-L,,,,,,,,,,,,,,,,,,,,
29,vilure,Vuraud,Aure,aureole,Dulaure,,,,,,,,,,,,,,,,,
30,Dussar-,Dussardier,Picardie,Grce  Dussardier,Dussardioer,A,Froissard,Dussarlier,Poissarde,,,,,,,,,,,,,
31,ILe,A05,lidolatrie imbecile del',Gilet,Ccile,Ilecou-,le soleil,soufIle,ILes,Cecile,leil,YVIIle sibcle,chile,Iler-,lile,,,,,,,
32,Belleville,llI0tel-de-Ville,Belle-,"rue
Iauteville","ruo
Iauteville",Bellevue,Grmonville,Fouquier-Tinville,Surville,Seville,levit,Villeneuve-l'Archevque,Vaudeville,rue Bellefond,Villenauxe,Gremonville,,,,,,
33,rue Sint-Anne,rue Saint-Martin,rue Saint-Hyacinthe,porte Saint-Martin,Suint-Murtin,Porte-Saint-Martin,rue Caumartin,rue Saint-Victor,faubourg Saint-Martin,"rue
Saint-Mlartin",rue Sainte-Anne,,,,,,,,,,,
34,cntra,trafne,ntra,rultrapa,Carpenltras,traglie,,,,,,,,,,,,,,,,
35,Partezl,Sortezl,partez,Appar,xL,,,,,,,,,,,,,,,,,
36,b6-,l6-,d6-,,,,,,,,,,,,,,,,,,,
37,la Capitale,Capitale,Capitaine,,,,,,,,,,,,,,,,,,,
38,Pareils,reparul,Ls,Creil,,,,,,,,,,,,,,,,,,
39,rue Descartes,rue Dauphine,rue d',rue de Marbueuf,rue d'Anjou,rue Duphot,"rue du Marcle-aux-
hevaux",rue Drouot,rue de Rivoli,rue Jacob,rue du Bac,,,,,,,,,,,
40,d6bordes  o,Bordelaise,Borlelais,Borde-,La Borlelaise,Bordelais,E,Iavseillaise,Bordeaux,,,,,,,,,,,,,
41,Suisse,Suissesse,ressemblancel A,Pvesse,Pressel,Sagesse,,,,,,,,,,,,,,,,
42,l-bas,l-bs,lh-bas,Bac,la-basl,,,,,,,,,,,,,,,,,
43,repondre,Londres,crepe,epndre,rpondre,Pomnadre,Flandres,prepondrance,Phedre,,,,,,,,,,,,,
44,sicnne,rue Vivicnne,sicnnes,.:;;;.e,,,,,,,,,,,,,,,,,,
45,Cite,Maternite,Benedicite,celebrite,Iratevnite,Chitelet,,,,,,,,,,,,,,,,
46,Iu,siuges du Mluseum,Mluseum,,,,,,,,,,,,,,,,,,,
47,ppieres entrc-closes,fenttres,fentres,-  Trente-sept,trentel,fe,,,,,,,,,,,,,,,,
48,Garde-Meuble,Garde-Meubles,,,,,,,,,,,,,,,,,,,,
49,wagon,gargon,guargon,,,,,,,,,,,,,,,,,,,
50,veaient,l1Orient,Ient,Bientot,NTIIENTA,Ibcrien,-  Bien,Ctaient,bientl,Combien,bien376,,,,,,,,,,,
51,licole,nole,colre,Colot,l1'Icole,Icoles,,,,,,,,,,,,,,,,
52,Barbs,Barbbs,-  Trbs,carbonaro,,,,,,,,,,,,,,,,,,
53,lonc,Poncif,on longca,Ablon,lonc?n,qulon,Longjumeau,sulon,,,,,,,,,,,,,,
54,Onse,Causons,Hlurons,-  Conservons-les,Monsei-,-  Sortons,l3,Oublions,Bonsoir,,,,,,,,,,,,,
55,eulemet,neme,mneme,emeute,Certainementl,Mostaganem,,,,,,,,,,,,,,,,
56,Derrire,barrirc,Suriret,derriire,aerrtri,,,,,,,,,,,,,,,,,
57,Dej,bDe,cuyde,de382,tibde,,,,,,,,,,,,,,,,,
58,Fr6dic,silencicuse,odicuse,M. Dumbrcuse,sricuse,adicu,-  Excuse,,,,,,,,,,,,,,,
59,Murcchale,Marchale,march aux Fleurs,Arc,La Marchale,Mlurchale,Marcchale,Marchd,,,,,,,,,,,,,,
60,revolta,Revo-,quai Voltaire,,,,,,,,,,,,,,,,,,,
61,ctre,meltre,vtre,.'etre,"maltresse1 Il
e la nie",pltre,geomtre,abaltre,,,,,,,,,,,,,,
62,tristel,Pwris,pris?n,aris,scuris,Charivari,Parisien,mpris,Paris,soie gris,llamaria,Lovarias,aristocratel,vee h Paris,l2aris,familiarite,,,,,,
63,Luxembourg,Luxembour,t3,,,,,,,,,,,,,,,,,,,
64,Commecnt,commenccr,Commerce,Almanach du Commerce,Commcntl,Iemmecs,inegalemecnt,l'argecntl,,,,,,,,,,,,,,
65,velle,lElle,glee,femmle,Mrelle,ellet,Bagatelle,qulelle,perpctuelle,Ellel,,,,,,,,,,,,
66,- el,-  Eh,-  Est,"amateursl o
-  Eh",Eh,,,,,,,,,,,,,,,,,
67,Aube,Rubens,l'Aube,,,,,,,,,,,,,,,,,,,
68,quai d'Orsay,Orsay,corset,,,,,,,,,,,,,,,,,,,
69,rideuux,Dbarleuse,Dbardcuse,Debardeuse,Debar-,ebahi,la Debardeuse,l Dehardeuse,Dbardeuse,,,,,,,,,,,,,
70,ecluir,irus-gii;;i3It,nir,Iraucs,IR,Irappces,claira,rir,,,,,,,,,,,,,,
71,lanternes prbs des lanternes,Jardin des Plantes.ed,Jardin des Plantes,"Jardin des Plantes.ed
L' E","lanternes vnitiennes accrochees 
des poteaux iormaicnt",Jardin des llautes,,,,,,,,,,,,,,,,
72,Iierte,I6serte,Berlin,Liberte,Ibes,tombereitx,Liban,Bertinaux,,,,,,,,,,,,,,
73,Considerant,considera,,,,,,,,,,,,,,,,,,,,
74,Aosanoe,Persan,Sanson,San,la Renaissance,san,pysan,sance,Dumersan,tanl,Sane-et-,,,,,,,,,,,
75,compgnie,pagnie,pagnon,coipagnie,,,,,,,,,,,,,,,,,,
76,soltises,So-,so,Soitl,son32,Sourdun,,,,,,,,,,,,,,,,
77,AIin,gasin,Norvins,Iinit,In,medecins,Iin,Deloin,nankin,cinabe,Jrdin,ain,Bobino,definitive,nins,Infin,,,,,,
78,SEN T IMENTALE,SE NT1MENTALE,SENTIME NTA,SENTIMENTALE,ENTALE,SENTI,puncl inleliniment,sSENTIMENTALE,sENTI E NIALE,i5,Vraimentl,SENTIMENTA IL E,SENTIMTENTAILE,sENTIMENTALE,Bengale,SENTIMENTAILLE,comnplimenter,,,,,
79,Pourquoi ma lpublique,ourquoi,Pourquoi t'acharnes,Quoi?n,,,,,,,,,,,,,,,,,,
80,arrivel,Arriv,Vive,,,,,,,,,,,,,,,,,,,
81,p1es-,Es-tu,Oi es-tu,Attendrais-tu ton lidalgo,"des-
sin",,,,,,,,,,,,,,,,,
82,dressce,Ormes,messc,lissc,"Armes,1",,,,,,,,,,,,,,,,,
83,Salon,Salons,-  Salut,,,,,,,,,,,,,,,,,,,
84,Morelly,el l,htel,El,Celutal,el,Elloe,h0tel,mero pueblo del mundo,elfrne,A Elbeuf,enveloppee,,,,,,,,,,
85,Vanneroy,Van-,neroy,,,,,,,,,,,,,,,,,,,
86,Flanque-la dehorslon,Salamanque,Flanque,Blanqui,Z.,Banque,,,,,,,,,,,,,,,,
87,L'EDUCA TI0N,L'EDUCA,L'EDUcATI0N,L'E,EDUCA,,,,,,,,,,,,,,,,,
88,Somme,ommne,sommc,Sombaz,hommcs,,,,,,,,,,,,,,,,,
89,Pouce,appouva,po,Pou,Pour-,pouIr,,,,,,,,,,,,,,,,
90,Vicomte,Appelle-moi Vicomte,vicomles,,,,,,,,,,,,,,,,,,,
91,fiamille,Lille,"lille Com-
ain",Iille,lille,tuille,Lillec,colonne de Juillet,nille,Vazeille,iille,,,,,,,,,,,
92,usqulau Louvre,Au Louvre,"exprs louvrage do
Gobet",D,d0me du Louvre,,,,,,,,,,,,,,,,,
93,lanoblesse,eligibles,bles,blessee,lesiusils,Diablel,bleme,Miserables,Iavorable,,,,,,,,,,,,,
94,poudrc,Oudry,voudrezn,pre Oudry,Odry,voudrezl,,,,,,,,,,,,,,,,
95,serpillire,Molibre,Molire,a20,Grange-Batelire,dlire,lip-fraoli,,,,,,,,,,,,,,,
96,pnrtit,Pnr,,,,,,,,,,,,,,,,,,,,
97,Opera,operer,perail,,,,,,,,,,,,,,,,,,,
98,ayec,layes,naiyes,balayes,ayeec,,,,,,,,,,,,,,,,,
99,h.,Olympe,llisbeth-Olympe-Louise HRoque,mpe,L'Olympe,MP,,,,,,,,,,,,,,,,
100,Essniens,Patience,Tiens,mens,Autrichiens,Amiens,P,Iense,vienslo,Deviens,censcur,,,,,,,,,,,
101,llosnette,Hosnette,Hosnelte,,,,,,,,,,,,,,,,,,,
102,t0t. n,t0t,,,,,,,,,,,,,,,,,,,,
103,Mlle Ioque,pre Roque,oque,pre Hoque,,,,,,,,,,,,,,,,,,
104,tais-toil,toil,Toi,toilon,,,,,,,,,,,,,,,,,,
105,reveni,Venise,do Venise,Wenise,venit,,,,,,,,,,,,,,,,,
106,aisserie,serieux,aisers,Ptisserie,baissee,connaissez?n,e,,,,,,,,,,,,,,,
107,Desde,par-dessus des,par-dessus lahaie,desert,,,,,,,,,,,,,,,,,,
108,quin,Qui?n,Eh 1 M. Mloreau m'inquiete,tqui,,,,,,,,,,,,,,,,,,
109,"vis-i-vis de
lui-meme",vis-a-vis,visagc,,,,,,,,,,,,,,,,,,,
110,etaitune,etune,discutaitla,"etait136
L",sortaitpar,,,,,,,,,,,,,,,,,
111,Percepteur,le Precepteur,Prcepteur,bDocteur,,,,,,,,,,,,,,,,,,
