cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
-1,Continent,Tunbridge,Fife,St. Abbsbury,Abbey,Canterbury,Rosemount Villa,Israel,Leeds,us,Canada,Fountain,Saul,Margate,Cape Madeira,Granby,F.R.S.,Spain,Geranium,Knaresborough,"mustachios,—crowds",turkey,wi
0,Crawfords,Oxford,,,,,,,,,,,,,,,,,,,,,
1,Jacob,Japan,,,,,,,,,,,,,,,,,,,,,
2,Notice,"not,—I","favor,—if",,,,,,,,,,,,,,,,,,,,
3,Holyrood,Byron,Holyrood House,,,,,,,,,,,,,,,,,,,,
4,thou,Thou,,,,,,,,,,,,,,,,,,,,,
5,Jesuitical,Jesuit,,,,,,,,,,,,,,,,,,,,,
6,Europe,Cowper,Louis,,,,,,,,,,,,,,,,,,,,
7,Friendship,TOWNSEND,bien,,,,,,,,,,,,,,,,,,,,
8,Milton,Plumpton,Melton,Brighton,the Arabian Nights,,,,,,,,,,,,,,,,,,
9,Geneva,Iphigenia,,,,,,,,,,,,,,,,,,,,,
10,Edinburgh,Van Amburgh,Unburden,Zoological Gardens,,,,,,,,,,,,,,,,,,,
11,"money,—a","excess,—a","room,—a",Rome,Montgomery,,,,,,,,,,,,,,,,,,
12,Limerick,Siberia,,,,,,,,,,,,,,,,,,,,,
13,Henry,Hebe,,,,,,,,,,,,,,,,,,,,,
14,Portsmouth,Davenport,Truth,Portobello,,,,,,,,,,,,,,,,,,,
15,"heart,—and","earth,—by",,,,,,,,,,,,,,,,,,,,,
16,china,China,,,,,,,,,,,,,,,,,,,,,
17,Dresden china,Dresden,,,,,,,,,,,,,,,,,,,,,
18,Sea,Seabeach Cottage,,,,,,,,,,,,,,,,,,,,,
19,England,Highland,"lang=""fr",Shetland,Scotland,New Zealand,NEW YORK,Ireland,Newfoundland,,,,,,,,,,,,,,
20,Lincolnshire,Argyleshire,Yorkshire,,,,,,,,,,,,,,,,,,,,
21,Jupiter,Macbeth,better!—'We,,,,,,,,,,,,,,,,,,,,
22,Infirmary,Birmingham,,,,,,,,,,,,,,,,,,,,,
23,Doncaster,m'est,Duvernay,Ernest,Chester,,,,,,,,,,,,,,,,,,
24,Colonies,Golconda,London,,,,,,,,,,,,,,,,,,,,
25,Watteau,Beaujolie Manor,beaux,,,,,,,,,,,,,,,,,,,,
26,Waterloo,Fatherly,,,,,,,,,,,,,,,,,,,,,
27,Trafalgar,Australia,Strand,,,,,,,,,,,,,,,,,,,,
28,Spitalfields,Italy,the Vicar of Wakefield's,Sheffield,,,,,,,,,,,,,,,,,,,
29,Bibles,Middlesex,,,,,,,,,,,,,,,,,,,,,
30,Studley,Agrippina,Ripon,Ripley,,,,,,,,,,,,,,,,,,,
31,Queensferry,Providence,Eloquence,Florence,,,,,,,,,,,,,,,,,,,
32,Dunbar,Espagne,Agnes,Agnes Dunbar,,,,,,,,,,,,,,,,,,,
33,Ill,Achilles,,,,,,,,,,,,,,,,,,,,,
34,the United Kingdoms of Great Britain,the United Kingdoms,Britain,Great Britain,,,,,,,,,,,,,,,,,,,
35,Caroline,Carlisle,,,,,,,,,,,,,,,,,,,,,
36,Charles,Charlotte,,,,,,,,,,,,,,,,,,,,,
37,Paradise,Christ,Paris,Huzzars,Park,,,,,,,,,,,,,,,,,,
38,inn,Finden,Windows,India,Dublin,,,,,,,,,,,,,,,,,,
39,France,Courant,,,,,,,,,,,,,,,,,,,,,
40,Mesdames,Thames,,,,,,,,,,,,,,,,,,,,,
41,Samaritan,Marion,,,,,,,,,,,,,,,,,,,,,
42,Satan,Sultan,,,,,,,,,,,,,,,,,,,,,
43,Russia,Brussels,Kelso,the King of Prussia,Poussin,,,,,,,,,,,,,,,,,,
44,Kings,Kinross,,,,,,,,,,,,,,,,,,,,,
45,St. John's,St. James',St. Leger,,,,,,,,,,,,,,,,,,,,
46,St. Cecilia,St.,,,,,,,,,,,,,,,,,,,,,
47,Clara Granville,Clara Granville's,Granville,,,,,,,,,,,,,,,,,,,,
48,Clara Novello,Clara,,,,,,,,,,,,,,,,,,,,,
