cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0.0,the Arabian Nights,Brighton,Fatherly,,,,,
1.0,Marion,Infirmary,Margate,Samaritan,,,,
2.0,Canada,Canterbury,,,,,,
3.0,Edinburgh,Van Amburgh,Unburden,,,,,
4.0,London,Colonies,Golconda,,,,,
5.0,Limerick,Siberia,,,,,,
6.0,Byron,Holyrood,Holyrood House,,,,,
7.0,Thames,Mesdames,Kelso,,,,,
8.0,Ripley,Agrippina,Ripon,,,,,
9.0,Oxford,Crawfords,,,,,,
10.0,thou,Thou,,,,,,
11.0,Ernest,Duvernay,m'est,,,,,
12.0,Beaujolie Manor,beaux,Cape Madeira,,,,,
13.0,Portobello,Truth,Portsmouth,Davenport,,,,
14.0,"excess,—a","money,—a","room,—a",,,,,
15.0,Friendship,TOWNSEND,bien,,,,,
16.0,Spain,Fountain,Rosemount Villa,,,,,
17.0,Granby,France,Courant,Geranium,,,,
18.0,"not,—I",Notice,"favor,—if",,,,,
19.0,Australia,Trafalgar,Strand,,,,,
20.0,Espagne,Agnes,Agnes Dunbar,Dunbar,Tunbridge,,,
21.0,Geneva,Iphigenia,,,,,,
22.0,Sea,Seabeach Cottage,,,,,,
23.0,Plumpton,Melton,Milton,,,,,
24.0,Providence,Florence,Eloquence,Queensferry,,,,
25.0,Britain,Great Britain,the United Kingdoms,the United Kingdoms of Great Britain,,,,
26.0,Windows,Abbey,India,Finden,,,,
27.0,Granville,Clara Novello,Clara,Clara Granville,Clara Granville's,,,
28.0,Charlotte,Charles,,,,,,
29.0,Scotland,Highland,Newfoundland,Ireland,"lang=""fr",England,New Zealand,Shetland
30.0,St.,St. Cecilia,St. Leger,St. John's,St. Abbsbury,St. James',,
31.0,Satan,,,,,,,
32.0,"heart,—and","earth,—by",,,,,,
33.0,Kinross,Kings,Birmingham,,,,,
34.0,Chester,Doncaster,,,,,,
35.0,Rome,Montgomery,Continent,,,,,
36.0,Studley,Bibles,Middlesex,,,,,
37.0,Carlisle,Caroline,Dublin,,,,,
38.0,the Vicar of Wakefield's,Italy,Sheffield,Spitalfields,,,,
39.0,Sultan,,,,,,,
40.0,Brussels,Poussin,the King of Prussia,Russia,,,,
41.0,"mustachios,—crowds",Ill,Achilles,,,,,
42.0,NEW YORK,Lincolnshire,Argyleshire,Yorkshire,,,,
43.0,Park,Christ,Paradise,Paris,,,,
44.0,Dresden,Knaresborough,china,China,Dresden china,,,
45.0,Jesuit,Zoological Gardens,Jesuitical,,,,,
46.0,Waterloo,Jupiter,Macbeth,Watteau,better!—'We,,,
