cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,Lili,normalisou,Lisbôa,Eulalia,familia,insensibilisa,equilibrio,,,,,,
1,mana,Havana,Many,Animais,monomaníaco,desmantelos,,,,,,,
2,Choravam,alongavam-se:--este,Chorava,Pôs,,,,,,,,,
3,Saltava,Fitava-a,Salvador,Tavares Cardoso,Salt Lake City,,,,,,,,
4,Additional,Redistribution,Title,Donations,,,,,,,,,
5,em Portugal,Portugal,Importa-me,,,,,,,,,,
6,terra,computer virus,Serra da Estrella,Inglaterra,,,,,,,,,
7,bôamente,Surrateiramente,Entroncamento,lamentassem,bôas,Presentimentos,,,,,,,
8,cemiterio,seminario,visinho cemiterio,cemiterio público,,,,,,,,,
9,lha,amimalhado,Olhava,nossa velha igreja,trambulhando,Olha,Zarôlha,,,,,,
10,Alemtejo,Tejo,,,,,,,,,,,
11,"cost and with
almost",Anda,vianda,Candia,escandalo da familia,understand,,,,,,,
12,Anninhas,cantarinha,Vinha,condessinha,cosinha,caldeirinha magica,Mariquinhas,Vergonhas,crescidinha,Espanha,,,
13,Senhora do Castelo,Senhora dos Verdes,Senhora Condessa,However,Mêses,Estados-Unidos,Ordem,,,,,,
14,vêr-me,Revoltar-se,revêr,revêr...,Vêr,,,,,,,,
15,Santo Deus,santo Deus,Convento das Bernardas,santos,praça louco de furia,pranto:--era,,,,,,,
16,Ama-Rita,Maleitas,"Ama-Rita,--",,,,,,,,,,
17,flôr,valôr,lôrpas,,,,,,,,,,
18,UT,espójar,Escrevia,Resignada,prescrutar,álacres,Sèvres,Crédo,,,,,
19,"vera pessôa
do bom padre Zé",bom do padre,álêm,V,Terezinha da Zéfa do Padre,Terezinha,"Luisa da
Roda",Zéfinha da horta,,,,,
20,Fôra,pavôr,sofredôra,fóra,,,,,,,,,
21,Chico,Chinas,dornas,,,,,,,,,,
22,Aninhei-me,Compreendia,Endireitei-me,Córei,Geitoso,,,,,,,,
23,U.S.,by U.S. federal laws,,,,,,,,,,,
24,Continuará,"Terezinha,--continuava convencedora",Eduarda,lua,Contos,,,,,,,,
25,Lembro-me,Coimbra,COIMBRA,,,,,,,,,,
26,Soror Gertrudes--Manoela,Gertrudes Zarôlha,Soror Gertrudes,"Soror
Gertrudes","Gertrudes
Zarôlha,--«corro",assim:--Ó Gertrudes,,,,,,,
27,"Clara do
Rezadeira",Clara do Rezadeira,"Clara de Rezadeira,--coitada!--mal",Clara,granadeiro,Rezadeira,,,,,,,
28,Some states do not allow disclaimers of certain,Farta,Aberta,Decerto,Project Gutenberg-tm,,,,,,,,
29,Infias,bemaventurança,desconfiança,,,,,,,,,,
30,Iria,Desprender,Sorria,Produced,Cederia,dôce,miserias!--tão,materialisar,,,,,
31,camponia,Estremoz,insónia,montão,ceremonia,,,,,,,,
32,Dahi,hade sahir,ahi,sahir,Sahi,Sahir,Sahira,,,,,,
33,Peniche,"work
with the phrase",Teresita,herdaste,Thus,There,,,,,,,
34,Socegasse,bom-senso,milagre do Senhor,Tenho,Nosso Senhor,,,,,,,,
35,Superiora,Madrid,Madre-Superiora,"Madre
Superiora",,,,,,,,,
36,céo azul,Barba Azul,Baixa,,,,,,,,,,
37,Podia,proprio Diabo,tragedia,Diabo,táboa,,,,,,,,
38,Estive,Paris,Christina,Christo,,,,,,,,,
39,Conseguira,rôxos,Conselhos,Aconselhava-a,rapazelho,,,,,,,,
40,saüdades,Vou,Desatou,,,,,,,,,,
41,Próspera,Dispensariam,!,Maria Augusta,Maria do Próspero,,,,,,,,
42,nova morgada,nevada,cadete,"IV

Sacrificada",Cacilda,Sacrificada,,,,,,,
43,braza,Abraçava,Brazil,,,,,,,,,,
44,Typographia França Amado,damasco,mamã sabe!,Camborço,mamã,Ama,Chamavam-no,Tambem,,,,,
45,Angelus,suor,Soror Angelica,Soror,Madre Angelica,,,,,,,,
46,Devia-lhes,Veja-lhe,Invejara,,,,,,,,,,
47,Tigre,alegre,Alegre,,,,,,,,,,
48,hipocrisia,Quasi,vasia,silvas,,,,,,,,,
49,Hontem,--«Tem,--«Eu heide,--«Perdão,,,,,,,,,
50,casa dos Carneiros,Esposas,santa casa,aquella santa casa,Santas,,,,,,,,
51,causticar,Africa,America,tisica,Maricas,Amérrica,Amérricana,,,,,,
52,véos,grande chapéo,chapéo,Chamou-a,,,,,,,,,
53,gárrulas,lages,proxima,Imaginava,lagrimas,,,,,,,,
54,Soror Manoela,enregelava,Manoel,"Soror
Manoela",Manoela,,,,,,,,
55,visinho,Miguel,Miguelsinho,Martinho,,,,,,,,,
56,Paraizo,roca,Trocaram-ma,tomara,,,,,,,,,
57,aféto,gôto,rétidão,této,Tonito,,,,,,,,
58,Dizia-me,Esquecia,Esquecia-me,,,,,,,,,,
59,Maud,Pobre Madre Claudea,saude,"Madre
Claudea",Claudea,,,,,,,,
60,plumeiras,FEITICEIRA,Paulino de Oliveira,capoeira!?--e,purpuras,palreiras,,,,,,,
61,Naquelle,nella,aquella calúnia,Aquellas,"Fôra
aquelle patife",aquelle,aquella grande,naquelle,Marques,aquella casa,daquelle,Aquella,aquella sineta
62,transigencia,opulencia,,,,,,,,,,,
63,nelle,Hãode,elle,volta delle,pé delle,delle,,,,,,,
