cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58
-1,Socegasse,Peniche,Some states do not allow disclaimers of certain,alongavam-se:--este,Lembro-me,Revoltar-se,"cost and with
almost",UT,lages,Angelus,álêm,hipocrisia,amimalhado,hade sahir,seminario,Estive,caldeirinha magica,Dispensariam,Fôra,Paulino de Oliveira,Vergonhas,tragedia,"Fôra
aquelle patife",Tenho,Produced,computer virus,praça louco de furia,Cacilda,Córei,aquella grande,dôce,Vou,However,Mêses,"Luisa da
Roda",Estados-Unidos,trambulhando,suor,Imaginava,enregelava,lua,purpuras,sofredôra,assim:--Ó Gertrudes,Decerto,rapazelho,Soror,lagrimas,pranto:--era,Geitoso,Ordem,Pôs,fóra,Martinho,monomaníaco,Crédo,Santas,desmantelos,aquella sineta
0,V,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,flôr,valôr,pavôr,lôrpas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,céo azul,Barba Azul,Baixa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Hãode,"IV

Sacrificada",Sacrificada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Infias,desconfiança,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Typographia França Amado,bemaventurança,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Maleitas,Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Additional,Redistribution,Donations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Alemtejo,Tejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,véos,rôxos,Project Gutenberg-tm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
