cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99
-1,desmantelos,computer virus,hipocrisia,aquella grande,Tenho,tomara,There,Revoltar-se,proxima,rapazelho,hade sahir,caldeirinha magica,Socegasse,álêm,Eduarda,Fitava-a,monomaníaco,sofredôra,"Fôra
aquelle patife",Endireitei-me,Imaginava,Mêses,Lembro-me,Chamavam-no,"work
with the phrase",Angelus,Estados-Unidos,Crédo,dôce,amimalhado,rétidão,Some states do not allow disclaimers of certain,However,"Terezinha,--continuava convencedora",Produced,Thus,Continuará,Aninhei-me,"Luisa da
Roda",insónia,"cost and with
almost",Escrevia,Santas,Vergonhas,lages,Project Gutenberg-tm,Compreendia,purpuras,Ordem,Decerto,Cacilda,suor,Martinho,Vou,alongavam-se:--este,lua,Senhora Condessa,--«Eu heide,Córei,Estive,Animais,Cederia,Paraizo,Saltava,Marques,prescrutar,V,Dispensariam,Geitoso,--«Perdão,montão,fóra,Abraçava,praça louco de furia,Serra da Estrella,seminario,Estremoz,enregelava,Title,Peniche,Hãode,pranto:--era,Paulino de Oliveira,Invejara,Candia,Chamou-a,Paris,Maleitas,Pôs,trambulhando,Fôra,lagrimas,!,Salt Lake City,Salvador,UT,miserias!--tão,cantarinha,Soror,aquella sineta
0,palreiras,FEITICEIRA,plumeiras,capoeira!?--e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Entroncamento,Surrateiramente,bôamente,lamentassem,Presentimentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Clara do
Rezadeira",Rezadeira,Clara,Clara do Rezadeira,granadeiro,"Clara de Rezadeira,--coitada!--mal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,crescidinha,Mariquinhas,condessinha,Vinha,cosinha,Anninhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Senhora dos Verdes,Senhora do Castelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Terezinha,Zéfinha da horta,Terezinha da Zéfa do Padre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"vera pessôa
do bom padre Zé",bom do padre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Maricas,Africa,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Amérrica,Amérricana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
