cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
0,ALGIERS,Algiers,Algeria,Pierre,,,,,,,,,,,,,,,,,,,,,,,
1,ARLINGTON,Warrington,Newington,Wellington,Arlington,Islington,Kensington,Mount Wellington,Garlick,,,,,,,,,,,,,,,,,,
2,edo,New Caledonia,Y'doa,I'Do,Edo,expel!ed,Wrsed,,,,,,,,,,,,,,,,,,,,
3,Wicks,Brunswick,Twickenham,thick-,ks,Knicker,,,,,,,,,,,,,,,,,,,,,
4,Throne,hebron,Byron,"throne,—a",,,,,,,,,,,,,,,,,,,,,,,
5,Holford,Holmesiord,Holborn,Holford east,Holuesford,folsom,Ashford,Oxford,the Marquis of Holmesford,,,,,,,,,,,,,,,,,,
6,atar,tara,Septa,niagara,Surah,Tarantini,Trafalgar,Taz,Zn,Sahara,Meara,,,,,,,,,,,,,,,,
7,Amelia,Isnhelia,@game,melt-,Mameluke,,,,,,,,,,,,,,,,,,,,,,
8,AI,spain,Cairo,haiti,Spain,Aim,éairé,Aisha,Fairer,,,,,,,,,,,,,,,,,,
9,Earth,Carthage,Death,earth,the Dead Sea,,,,,,,,,,,,,,,,,,,,,,
10,Gypsy Palace,Gypsy,THE GYPSY PALACE,Egypt,Palace,the Gypsy Palace,,,,,,,,,,,,,,,,,,,,,
11,the Herne Bay,"the New
Road",the Emerald Isle,Herne Bay,the Counts Horn,the Old Jewry,the Tower Hamlets,the Duke of York,the Isle of Man,,,,,,,,,,,,,,,,,,
12,Black,Blackheath,Clackamas,Black Veil,the Black Eagle,the Black Tower,Black Chamber,Glacier,,,,,,,,,,,,,,,,,,,
13,"the Resurrection
Man",Surrey,"reflections,—or","treasure,—he","the Resurrection
Map",Reformation,,,,,,,,,,,,,,,,,,,,,
14,Cambridge,Id.,Cambridgeshire,Budge Row,Judges,Knightsbridge,,,,,,,,,,,,,,,,,,,,,
15,New South,South Pole,Southsea Common,Glowiouth,the New Cut,sou,the South Sea Islands,New South Wales,Southampton,South-sea,"New South
Wales","mouth,—oh",,,,,,,,,,,,,,,
16,"the Holy Land,§","the Holy
Land",the Holy Land,,,,,,,,,,,,,,,,,,,,,,,,
17,Boulogne-sur-Mer,Boulogne,Melbourne,,,,,,,,,,,,,,,,,,,,,,,,
18,Sweden,SWEDEN,Derwent,,,,,,,,,,,,,,,,,,,,,,,,
19,"affectation,—in",Laffeur,"affected,—I","protfered,—a","devised,—he",,,,,,,,,,,,,,,,,,,,,,
20,England,england,England for America,ENGLAND,Old England,Tn England,Eng,Vandclenr,,,,,,,,,,,,,,,,,,,
21,St. James’s Park,St. James's,Saint James’s Park,,,,,,,,,,,,,,,,,,,,,,,,
22,Guilford,Guixry,Guildhall,gulf,Guildford,,,,,,,,,,,,,,,,,,,,,,
23,Chatham,Northampton,Thames,Gotha,dothan,Pakenham,po-shay,Havre,,,,,,,,,,,,,,,,,,,
24,Hoxton,Honour,Hoxton Old,Hoxton Old Town,Tokenhonse,Brixton,,,,,,,,,,,,,,,,,,,,,
25,Newgate,New,Jew,New York,NEW EPOCH,New Toad,,,,,,,,,,,,,,,,,,,,,
26,Alberto,Albion,Albeit,wy,Pemberton,Egerton,Talbot,Alberta,,,,,,,,,,,,,,,,,,,
27,daro,Harborough,Marlborough,Scarborough,Borough,Sawboues,Harborough to-day,Harborongh,,,,,,,,,,,,,,,,,,,
28,"curses,—their","jests,—their blasphemous jokes","pursuits,—yes",,,,,,,,,,,,,,,,,,,,,,,,
29,Labrador,Madras,Madonnas,Madrid,Madeira,Mascara,Dr,,,,,,,,,,,,,,,,,,,,
30,Tn,tn,Putney,,,,,,,,,,,,,,,,,,,,,,,,
31,SSSsSSSeSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS,Exquires,Essex,Holiness,Jessop,Middlesex,Brussels,Sussex,by'a posse,,,,,,,,,,,,,,,,,,
32,Woolwich,Toole,Wooloomooloo,Solera,Tooth,COOL.—Egerton,toledo,,,,,,,,,,,,,,,,,,,,
33,"Kentish
Town",Kentish,Kentish Town,"Cavendish
Square",Kent,kenosha,"Kentish

'",British Isles,Argentina,,,,,,,,,,,,,,,,,,
34,Finsbury Pavement,Finsbury,Finsbarj,Bloomsbury,"Finsbury
Pavement",Canterbury,Coffin,Malmesbury,Lothbury,Injury,,,,,,,,,,,,,,,,,
35,Button,Brompton,automaton,Maikbatou,Malklatoun,quito,Tommy,Maidstone,Kato-|,,,,,,,,,,,,,,,,,,
36,Dover,Fever,Ver~,verde,Hanover,Sovereigns,Govern-,Uncovered,,,,,,,,,,,,,,,,,,,
37,Birmingham,Bingham,S01,"the Ball Room of Buckingham
Palace",Nottingham,Xe,Hastings,Windham,,,,,,,,,,,,,,,,,,,
38,M.P.,M.P,,,,,,,,,,,,,,,,,,,,,,,,,
39,Aldgate,Waterloo,Waterford,the Waterloo Road,Terlizzi,pater=,Bayswater,Charlotte,,,,,,,,,,,,,,,,,,,
40,the aforesaid province,"Prince Albert,—thrilling",Prince Albert,"Prince Alberto lester-
day",Prince Alberto,the Prince of Wales,,,,,,,,,,,,,,,,,,,,,
41,Ireland,finland,po,Poland,angola,poland,Holland,highland,Scotland,Metropolitan,Neapolitan,,,,,,,,,,,,,,,,
42,Whiteoross Street,St. John-street,Friar Street,Curzon Street Chapel,notre,Street,Bow Street,Yee,King Street,"Jermyn
Street",Regent Street,Ada Street,Stratton Street,Essex Street,Jermyn Street,Flower Street,Gracechurch Street,Gerrard Street,"Piumptre
Street",Calthorpe Street,Whitecross Street,Smart Street,West Street,High Street,Pitfield Street,Oxford Street,Treviso
43,City Aegean,Lean,orleans,Levant,Lethean sea,Nepean,Lethean,Leary,,,,,,,,,,,,,,,,,,,
44,Mr,Mra,MR,Mrs,,,,,,,,,,,,,,,,,,,,,,,
45,Gibbs,BB,Gibbet,,,,,,,,,,,,,,,,,,,,,,,,
46,dri,RI,Rio,invari,Syria,Perigord,scribabie,putrid,,,,,,,,,,,,,,,,,,,
47,Pocket,Society,Packet,Jock,,,,,,,,,,,,,,,,,,,,,,,
48,sa0et,bhutan,Gaétano,"san

Tf",Satan,Titan,Sultan,nisatbanar San,,,,,,,,,,,,,,,,,,,
49,Katherine east,Katherine,Kathorin,CATHERINE STREET,Superin,in'theé,Prine,,,,,,,,,,,,,,,,,,,,
50,SUBTERRANEAN,Subterranean,"the Mediterranean

Sea",Serrano,,,,,,,,,,,,,,,,,,,,,,,
51,Kerala,Walmer,Palmerston,merced,Walmer Churchyard,Medway,,,,,,,,,,,,,,,,,,,,,
52,Hamburg,hamburg,"St.
Petersburg",Edinburgh,Butts,Buren,,,,,,,,,,,,,,,,,,,,,
53,tune;—bat,nepal,Imagine,Guinea,Noone,ne,Jonettes,Ne,One'of,NEED,Neame,Journey Nereuerm Italy,Geneva,,,,,,,,,,,,,,
54,France,Vengeance,france,Panctual,FRANCE,Cem=,cei va,St. Pancras,,,,,,,,,,,,,,,,,,,
55,harriman thon,MARIAN,harriman,Maria,mars,Marian,,,,,,,,,,,,,,,,,,,,,
56,Cape Horn,japonica,Petrarca,Cape,Capital,"Cape
Horn",pei,boca,Soap,Dapper,,,,,,,,,,,,,,,,,
57,Georgia,Georgian,,,,,,,,,,,,,,,,,,,,,,,,,
58,yonder grove,Yonder,andes,DECISION,Derby,Redeemer,Lyons,yonder corner,,,,,,,,,,,,,,,,,,,
59,Largo,largo,Margate,,,,,,,,,,,,,,,,,,,,,,,,
60,Belvidere,Clerkenwell,berkeley,Berkeley,,,,,,,,,,,,,,,,,,,,,,,
61,bering,lodgings,Joeding,Jostling,Keeping,Kingdom,brookings,King,Kingsdown,Vikings,Marking,beijing,Wapping,Tinge,,,,,,,,,,,,,
62,me;’—and,"wear,—and","her,—she","her,—and","daughter,—to","theatre,—an",buzzim!”—and,"joy,—and","danger,—when","fault,—an","him,—and",,,,,,,,,,,,,,,,
63,Scold,Golden,Bolder,Old Drury,"Golden
Lane",Golden Lane,,,,,,,,,,,,,,,,,,,,,
64,Mac Chile,Church,chile,Ohio,dunghills,Chile,Much Chile,,,,,,,,,,,,,,,,,,,,
