cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0,ALGIERS,&c.,Algiers,Trafalgar,Teynbam,Pierre,,,,,,,,,,,,,,,,,,
1,Imperative,Opera,aspirati,Timplore,,,,,,,,,,,,,,,,,,,,
2,MARKHAM,Thon Markham,+ Markham,Mark~,wy,"Mark
ham",Markham Plios,Marriot Markham,Markham,"Markham
Pince",Rice Markham,Markham Place,,,,,,,,,,,,
3,edo,Edo,toledo,,,,,,,,,,,,,,,,,,,,,
4,Ferdinand,Buffer,Sardinia,dinand,tain Fitshardinge,,,,,,,,,,,,,,,,,,,
5,tune;—bat,M3,Tunis,,,,,,,,,,,,,,,,,,,,,
6,aden,Jew,Baden-baden,Baden,S$.,Aden,,,,,,,,,,,,,,,,,,
7,timor,Morosino,Busby,Morcar,Morpheus,Morean,Tremordyns,moro,,,,,,,,,,,,,,,,
8,East,Eastern Counties Railway,Eastern Lon-,Holford east,nfoleastere,Eastwards,"the

 

 

 

   

    

 

 

 

 

  

 

 

 

  
  
 

 

 

   

 

 

Railway east",Aston,,,,,,,,,,,,,,,,
9,nepal,Nepean,palo,Limb,,,,,,,,,,,,,,,,,,,,
10,atar,barat,tara,niagara,Paradise,Tarantini,Mascara,Meara,,,,,,,,,,,,,,,,
11,"affectation,—in",Laffeur,"affected,—I",Reformation,invitation:—then,,,,,,,,,,,,,,,,,,,
12,Earth,Carthage,earth,"heard,—a",,,,,,,,,,,,,,,,,,,,
13,Gypsy Palace,Gypsy,THE GYPSY PALACE,Egypt,Palace,the Gypsy Palace,,,,,,,,,,,,,,,,,,
14,Wicks,Brunswick,,,,,,,,,,,,,,,,,,,,,,
15,handkerchiefs,me;’—and,"man,”—and",kind;—and,andes,Jand,buzzim!”—and,"account,’—And",,,,,,,,,,,,,,,,
16,lima,Imagine,mag~,,,,,,,,,,,,,,,,,,,,,
