cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
0,Aldgate,Newgate,Ramsgate,Margate,,,,,,,,,,,,,,,,,,,,,,,
1,MARKHAM,Thon Markham,+ Markham,Mark~,"Mark
ham",Markham Plios,Marriot Markham,Markham,"Markham
Pince",Rice Markham,Markham Place,,,,,,,,,,,,,,,,
2,ARLINGTON,Jostling,Warrington,Newington,Wellington,Arlington,Islington,Kensington,Mount Wellington,Garlick,,,,,,,,,,,,,,,,,
3,Ferdinand,Buffer,Sardinia,dinand,,,,,,,,,,,,,,,,,,,,,,,
4,aden,Camden,denver,Madeira,Baden-baden,Baden,Sugden,Aden,,,,,,,,,,,,,,,,,,,
5,Throne,hebron,Byron,"throne,—a",,,,,,,,,,,,,,,,,,,,,,,
6,MM,Tommy,,,,,,,,,,,,,,,,,,,,,,,,,
7,East,Eastern Counties Railway,Eastern Lon-,nfoleastere,Bastille,Eastwards,Hastings,"the

 

 

 

   

    

 

 

 

 

  

 

 

 

  
  
 

 

 

   

 

 

Railway east",,,,,,,,,,,,,,,,,,,
8,Holford,Holmesiord,Bordeaux,Holborn,Holford east,Holuesford,Ashford,Oxford,the Marquis of Holmesford,,,,,,,,,,,,,,,,,,
9,atar,barat,tara,Septa,niagara,Tarantini,Mascara,Taz,Meara,,,,,,,,,,,,,,,,,,
10,"affectation,—in",Laffeur,"affected,—I",Reformation,invitation:—then,,,,,,,,,,,,,,,,,,,,,,
11,Amelia,Isnhelia,@game,melt-,Mameluke,,,,,,,,,,,,,,,,,,,,,,
12,AI,Cairo,Maikbatou,haiti,Aim,éairé,Aisha,Fairer,SxLP,,,,,,,,,,,,,,,,,,
13,Hare,daro,Harpy,Sahara,Delaware,po-shay,Charlotte,Havre,,,,,,,,,,,,,,,,,,,
14,Gypsy Palace,Gypsy,THE GYPSY PALACE,Egypt,Palace,the Gypsy Palace,,,,,,,,,,,,,,,,,,,,,
15,the Herne Bay,"the New
Road",Bombay,Herne Bay,the Great Desert,,,,,,,,,,,,,,,,,,,,,,
16,Black,Blackheath,Clackamas,Black Veil,the Black Eagle,the Black Tower,Black Chamber,Glacier,,,,,,,,,,,,,,,,,,,
17,Imperative,Opera,Kerala,Solera,Penelope,,,,,,,,,,,,,,,,,,,,,,
18,spain,Spain,Plain,,,,,,,,,,,,,,,,,,,,,,,,
19,the East Indies,the East a few weeks ago,the Emerald Isle,Ladies,West Indian,the East Indians,the West Indies,,,,,,,,,,,,,,,,,,,,
20,Cambridge,Id.,Cambridgeshire,Knightsbridge,,,,,,,,,,,,,,,,,,,,,,,
21,New South,South Pole,Southsea Common,Glowiouth,the New Cut,sou,Portsmouth,New South Wales,NEW EPOCH,New Toad,South-sea,"New South
Wales","mouth,—oh",,,,,,,,,,,,,,
22,"the Holy Land,§","the Holy
Land",the Holy Land,Xe,wy,,,,,,,,,,,,,,,,,,,,,,
23,Stephen,phenix,Stephens,,,,,,,,,,,,,,,,,,,,,,,,
24,M.P.,M.P,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sweden,SWEDEN,Derwent,Redeemer,,,,,,,,,,,,,,,,,,,,,,,
26,France,Vengeance,france,Panctual,FRANCE,,,,,,,,,,,,,,,,,,,,,,
27,England,england,ENGLAND,Old England,Tn England,Eng,,,,,,,,,,,,,,,,,,,,,
28,the Victoria Park,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,
29,Israel,S$.,israel,,,,,,,,,,,,,,,,,,,,,,,,
30,St. James’s Park,ms’am,St. James's,Saint James’s Park,St. Pancras,,,,,,,,,,,,,,,,,,,,,,
31,Wicks,Brunswick,Twickenham,Tokenhonse,Pakenham,Knicker,Tottenham,,,,,,,,,,,,,,,,,,,,
32,Harborough,Marlborough,Scarborough,Borough,Harborough to-day,Harborongh,,,,,,,,,,,,,,,,,,,,,
33,Bt,"Bt,",,,,,,,,,,,,,,,,,,,,,,,,,
34,"curses,—their","jests,—their blasphemous jokes",brook:—then,,,,,,,,,,,,,,,,,,,,,,,,
35,Westminster,Westminster Abbey,Kidderminster,,,,,,,,,,,,,,,,,,,,,,,,
36,Madras,Madonnas,Madrid,Dr,,,,,,,,,,,,,,,,,,,,,,,
37,"Kentish
Town",Kentish,Kentish Town,Kent,kenosha,"Kentish

'",British Isles,Argentina,,,,,,,,,,,,,,,,,,,
38,Finsbury Pavement,Finsbury,Finsbarj,Bloomsbury,"Finsbury
Pavement",Canterbury,Malmesbury,Lothbury,Injury,,,,,,,,,,,,,,,,,,
39,Dover,Fever,Ver~,verde,Hanover,Sovereigns,Govern-,Uncovered,,,,,,,,,,,,,,,,,,,
40,Birmingham,Bingham,"the Ball Room of Buckingham
Palace",Nottingham,,,,,,,,,,,,,,,,,,,,,,,
41,Waterloo,Waterford,the Waterloo Road,Terlizzi,pater=,Bayswater,,,,,,,,,,,,,,,,,,,,,
42,Ireland,Poland,poland,Holland,highland,,,,,,,,,,,,,,,,,,,,,,
43,Whiteoross Street,St. John-street,Friar Street,Curzon Street Chapel,notre,Street,Bow Street,Yee,King Street,"Jermyn
Street",Regent Street,Ada Street,Stratton Street,Essex Street,Jermyn Street,Flower Street,Gracechurch Street,Gerrard Street,"Piumptre
Street",Calthorpe Street,Whitecross Street,Smart Street,West Street,High Street,Pitfield Street,Oxford Street,Treviso
44,Boulogne-sur-Mer,Toulon,Boulogne,Sawboues,,,,,,,,,,,,,,,,,,,,,,,
45,Lean,orleans,Levant,Nepean,Leary,Morean,,,,,,,,,,,,,,,,,,,,,
46,Gibbs,BB,Gibbet,,,,,,,,,,,,,,,,,,,,,,,,
47,dri,RI,Prisons,Rio,Friuli,scribabie,Turin,putrid,,,,,,,,,,,,,,,,,,,
48,Paris,Paradise,"the paris-|
tracy",invari,Paria,Baris,paris,,,,,,,,,,,,,,,,,,,,
49,po,Pocket,mn,Society,Packet,Jock,,,,,,,,,,,,,,,,,,,,,
50,Vernon la,Duvernay,Vernon,Nevernave,Honour,VERNON,,,,,,,,,,,,,,,,,,,,,
51,sa0et,Tn,bhutan,"san

Tf",Satan,Sultan,nisatbanar San,,,,,,,,,,,,,,,,,,,,
52,Katherine east,house’—Thereupon,Katherine,Kathorin,CATHERINE STREET,in'theé,Prine,,,,,,,,,,,,,,,,,,,,
53,SUBTERRANEAN,Subterranean,"the Mediterranean

Sea",Serrano,,,,,,,,,,,,,,,,,,,,,,,
54,Julia,gulf,Tulia,,,,,,,,,,,,,,,,,,,,,,,,
55,norfolk Island,ting Norfolk Island,Norfolk,Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,
56,Banks,ks,Millbank,,,,,,,,,,,,,,,,,,,,,,,,
57,MARIAN,Maria,mars,Marian,,,,,,,,,,,,,,,,,,,,,,,
58,Cape Horn,Cape,"Cape
Horn",pei,boca,Soap,,,,,,,,,,,,,,,,,,,,,
59,yonder grove,Belvidere,Yonder,Derby,Lyons,yonder corner,,,,,,,,,,,,,,,,,,,,,
60,Largo,largo,,,,,,,,,,,,,,,,,,,,,,,,,
61,Chick,thick-,the thick grove,,,,,,,,,,,,,,,,,,,,,,,,
62,Clerkenwell,berkeley,Berkeley,,,,,,,,,,,,,,,,,,,,,,,,
63,lodgings,Joeding,Keeping,Kingdom,brookings,King,Kingsdown,Vikings,Marking,beijing,Wapping,Tinge,,,,,,,,,,,,,,,
64,me;’—and,"wear,—and","her,—she","man,”—and","her,—and","theatre,—an","writing,—and",buzzim!”—and,"account,’—And","joy,—and","fault,—an","him,—and",,,,,,,,,,,,,,,
65,Scold,Golden,Bolder,"Golden
Lane",Golden Lane,,,,,,,,,,,,,,,,,,,,,,
66,Turkey,turkey,TuRN,,,,,,,,,,,,,,,,,,,,,,,,
67,ste,Ste,St,Teynbam,Benstead,Amsterdam,Gazette,,,,,,,,,,,,,,,,,,,,
68,agruff,Griffin,Coffin,,,,,,,,,,,,,,,,,,,,,,,,
69,Séilligalee,M3,Skilligalee,,,,,,,,,,,,,,,,,,,,,,,,
70,his’n,Mac Chile,chile,Ohio,Chile,Much Chile,Fieschi,,,,,,,,,,,,,,,,,,,,
71,mT,MT,,,,,,,,,,,,,,,,,,,,,,,,,
72,Ny,Calumny,ny,,,,,,,,,,,,,,,,,,,,,,,,
73,St. Patrick,trois,Austria,arctic,District,Sesostris,Jur district,,,,,,,,,,,,,,,,,,,,
