cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,n’,ñn’,,,,,,,,,,,,,,,,,
1,sabine,Säbine,Lausanne,D,Sabiné,,,,,,,,,,,,,,
2,J’,j’,,,,,,,,,,,,,,,,,
3,Certes-,Existence,cerTes-,Grèce,,,,,,,,,,,,,,,
4,Es,Vosges,Adresse-,Cest,Bruyères,Gravures,Suresnes,jardin des Vosges,Gênes,E,Espère,château des Bruyères,mouvanies,Messine,gesie,Indes,EsT814,eSPOIr,ES
5,cher,Clichy,m-,S“cherchait,He,hiVer,| cher,fächerie,moüstache,chamt,,,,,,,,,
6,Peffort,ef,Forbier,,,,,,,,,,,,,,,,
7,Louvre,du Louvre,fiévr2,,,,,,,,,,,,,,,,
8,Agrigente,E Henri,Régent,Genève,Cpélérinage,Noagrnr,,,,,,,,,,,,,
9,Égypte,Montez,Chantez,Pomone,Ponte,Remontée,Mont-Valérien,Quittez,,,,,,,,,,,
10,vigne,Pologne,kB,VI,Vienne,,,,,,,,,,,,,,
11,Assise,Suisse,Aise,Laisse,Lise,Anglais,d’,Jouissait,LC,,,,,,,,,,
12,"AH 
 X 

 
 
 

 J 
      

94","AH 
 X 
 

 

 X","AH 
 X","Fe

 X",,,,,,,,,,,,,,,
13,Curieuse,Docteur,Pheure,curinie,térieux,,,,,,,,,,,,,,
14,Dépuis,dEpuis,Puis-,Jui,A,,,,,,,,,,,,,,
15,"NOUVELLE ESPÉRANCE

li","NOUVELLE ESPÉRANCE

‘espagne",Mèke,de France,"CRÉEr 
e

266","L
 AH 

 iL avaiT l

LA NOUVELLE ESPÉRANCE 139

témoignée le soir de ses larmes",L|,,,,,,,,,,,,
16,joiie,Eiie,II,A1,Joie,,,,,,,,,,,,,,
17,Madäime,corime,coinpacte corime,Corinthe,,,,,,,,,,,,,,,
18,l'Espagne,Espagne,F,,,,,,,,,,,,,,,,
19,Roïée,Rozée,froïd,Rorée,,,,,,,,,,,,,,,
20,Où,æ Où,Eh,,,,,,,,,,,,,,,,
21,suelle,Kouvelle,Michelet,S,Ellé,barcarolle,Elle,demandaitelle,élle,Appelle,Élle,A NOUVELLE,‘aiguille,Madémoisèlle,ellE,Hérelle,Ælle,Séville,après-midi-elle
22,Jemais,jAmais,m'’aimais,Tais,aimais,jais,affirmait}.,Fais,maine,fêchait,,,,,,,,,
23,Hollande,Tolède,Anatolie,Mélancolie,Fa,Jolie,È,,,,,,,,,,,,
24,Autre,Au-,Fheauté,Rentrée,Autrefois,théètre,,,,,,,,,,,,,
25,Pun,l.,lune,jEune,jéune,fût|,,,,,,,,,,,,,
26,lapre,siRE,Loire,Asie Mineure,Piérre,sirE,sion,,,,,,,,,,,,
27,colombes,Be,Berlin,N.,,,,,,,,,,,,,,,
28,l'Italie,d'Italie,Italien,,,,,,,,,,,,,,,,
29,l’,lüi,L’,Ü,,,,,,,,,,,,,,,
30,cetle,LE,Versailles,Les,lesoir,Îles jours,Re Îles,Naples,Île,Îles,Ileest,mule,,,,,,,
31,tersps,Rs,Los Rs,perse,Âlors,Marsan,Leurs,rs,J,,,,,,,,,,
32,Ferney,Ferney qu’,hôtel de Ferney,,,,,,,,,,,,,,,,
33,Tyrol,Rous-,Rome,Trocadéro,Dété,Rose,sca,,,,,,,,,,,,
34,"la
Seine bleue",la Seine,Latin,Seine,,,,,,,,,,,,,,,
