cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0.0,Vois,Sois,"-

— Vois-tu",,,,,,
1.0,Anatolie,Jolie,Mélancolie,Tolède,,,,,
2.0,"4

 
 
 
 
 
 
 
 
 
 
 

 

 
 AH 

LA","ou-

 

 AH","AH 

LA",,,,,,
3.0,Pour-,Journées,Tournon,Courbée,,,,,
4.0,"NOUVELLE ESPÉRANCE

li",A NOUVELLE,"NOUVELLE ESPÉRANCE

‘espagne","L
 AH 

 iL avaiT l

LA NOUVELLE ESPÉRANCE 139

témoignée le soir de ses larmes",,,,,
5.0,Quelque,Quelqu,Quelquefois,Jean-Jacques,,,,,
6.0,Chantez,mettant,Quittez,fêchait,chamt,,,,
7.0,Florence,Penché,Existence,Âlors,,,,,
8.0,Laisse,Suisse,Jouissait,,,,,,
9.0,hôtel de Ferney,Ferney,Ferney qu’,mule,,,,,
10.0,ellE,Kouvelle,demandaitelle,suelle,Hérelle,Appelle,après-midi-elle,Elle,Ellé
11.0,perse,tersps,,,,,,,
12.0,joiie,Joie,Eiie,,,,,,
13.0,Rouen,Rous-,Cordoue,boue,ouest-de-ange,,,,
14.0,Certes-,cerTes-,,,,,,,
15.0,manche,Manuscrits,la manche,,,,,,
16.0,Assise,Messine,massif de myosotis,Lise,,,,,
17.0,barcarolle,Hollande,Tyrol,,,,,,
18.0,térieux,Curieuse,Veux-,ladieu,Cpélérinage,,,,
19.0,Pas,Passy,,,,,,,
20.0,curinie,Dominique,afrique,,,,,,
21.0,Fais,Aise,Tais,Anglais,voudrais,jais,,,
22.0,Marsan,Lausanne,mar-,,,,,,
23.0,Seine,"la
Seine bleue",la Seine,,,,,,
24.0,Vienne,Est Bien,TU Penses Bien,,,,,,
25.0,l'Espagne,Espagne,vigne,,,,,,
26.0,rue de,ensembie de,rue de Tournon,rue n’,rue de l'Ancienne-Comédié,,,,
27.0,Qu’'y,jusqu’,qu’,,,,,,
28.0,Mont-Valérien,Remontée,Montez,Pomone,,,,,
29.0,jalousie,gesie,Cousin,Saint-Cloud,bouscula,,,,
30.0,maine,Touraine,Aurait:>u,crainie,Tourainé,,,,
31.0,du Louvre,Louvre,mouvanies,,,,,,
32.0,Menacée,nacre,Grenade,,,,,,
33.0,Cetie,cetle,,,,,,,
34.0,"AH 
 X","AH 
 X 

 
 
 

 J 
      

94","AH 
 X 
 

 

 X",,,,,,
35.0,Philippeun,Philippé,Philivpe,,,,,,
36.0,sälon,Salon,,,,,,,
37.0,concre,conñu,Ancre,,,,,,
38.0,Buiné,Dauphiné,Phi-,,,,,,
39.0,Trocadéro,Madémoisèlle,Madäime,,,,,,
40.0,S“cherchait,| cher,fächerie,cher,,,,,
41.0,Los Rs,Rome,"—-
Elle promit de prendre ses repas",lapre,de Saxe,,,,
42.0,Collège de Frar,la France,de France,,,,,,
43.0,Agrigente,Fonvent,Régent,Noagrnr,Genève,,,,
44.0,Élle,élle,,,,,,,
45.0,"vinigt-trois

2",Bois,Bois de Boulogne,Pologne,,,,,
46.0,AVez,aVez,aVetses-,,,,,,
47.0,Partez,Wurtemberg,Berlin,colombes,,,,,
48.0,Naples,Les,lesoir,,,,,,
49.0,jEune,jéune,lune,,,,,,
50.0,Peffort,Forbier,"rue madame
Forbier",,,,,,
51.0,feuillage du Luxembourg,Luxembourg,Bourgogne,,,,,,
52.0,Clichy,moüstache,Michelet,,,,,,
53.0,deFontenay,Fon,Ponte,Fontenaÿ,Fonteray,tenaÿy,Fontenay,,
54.0,talle,aller-,Ælle,Allez,Pallée,Allemagne,alluma,,
55.0,Rorée,"CRÉEr 
e

266",Rentrée,,,,,,
56.0,Parme,État,Paris,Paris végétal,,,,,
57.0,corime,coinpacte corime,Corinthe,,,,,,
58.0,jardin de l’aventuRe’,Indes,jardin des Vosges,Vosges,,,,,
59.0,Puis-,Dépuis,dEpuis,,,,,,
60.0,Ans,dedans,,,,,,,
61.0,la pierre,Piérre,,,,,,,
62.0,EsT814,Ileest,Lucile,Cest,,,,,
63.0,Re Îles,Île,Îles jours,Îles,,,,,
64.0,eSPOIr,Espère,point voluptueuse,,,,,,
65.0,Säbine,Sabiné,sabine,,,,,,
66.0,mul oreiller,Versailles,‘aiguille,Séville,,,,,
67.0,hiVer,aimais,jAmais,m'’aimais,Jemais,affirmait}.,,,
68.0,Mossoul,s’assoupir,Soupirs,,,,,,
69.0,Gravures,Gênes,Adresse-,arbRes-,Suresnes,,,,
70.0,Obstinée,Latin,,,,,,,
71.0,Italien,l'Italie,d'Italie,,,,,,
72.0,Roïée,,,,,,,,
73.0,Voyez,voyäge,,,,,,,
74.0,froïd,,,,,,,,
75.0,théètre,Fheauté,Autrefois,Autre,,,,,
76.0,mole,Tsolée,le soleil,soleil,,,,,
77.0,bruni,château des Bruyères,Bruyères,,,,,,
78.0,Docteur,Leurs,candidsture,Pheure,Asie Mineure,,,,
79.0,sirE,siRE,Loire,,,,,,
