cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0,Vois,Sois,"-

— Vois-tu","vinigt-trois

2",Madémoisèlle,Bois,,,,,,,,,,,
1,Laisse,Suisse,Assise,Jouissait,Anglais,Lise,,,,,,,,,,,
2,Où,æ Où,,,,,,,,,,,,,,,
3,Anatolie,mMéna-,|,Jolie,Mélancolie,Tolède,,,,,,,,,,,
4,"4

 
 
 
 
 
 
 
 
 
 
 

 

 
 AH 

LA",S,"AH 

LA",,,,,,,,,,,,,,
5,Es,Gravures,EsT814,Journées,Gênes,Messine,gesie,Adresse-,Indes,Ü,Ileest,eSPOIr,Suresnes,ES,Espère,mouvanies,Cest
6,"NOUVELLE ESPÉRANCE

li","NOUVELLE ESPÉRANCE

‘espagne","L
 AH 

 iL avaiT l

LA NOUVELLE ESPÉRANCE 139

témoignée le soir de ses larmes",,,,,,,,,,,,,,
7,Quelque,Dominique,Quelqu,Quelquefois,Jean-Jacques,kB,afrique,,,,,,,,,,
8,Voyez,voyäge,A,,,,,,,,,,,,,,
9,hôtel de Ferney,Ferney,Ferney qu’,"F
 

 

238",Noagrnr,,,,,,,,,,,,
10,joiie,Joie,II,Eiie,,,,,,,,,,,,,
11,LE,mole,mule,Bengale,Leurs,cetle,Lucile,,,,,,,,,,
12,Certes-,Grèce,Wurtemberg,cerTes-,,,,,,,,,,,,,
13,Penché,manche,Manuscrits,la manche,,,,,,,,,,,,,
14,Pas,Atlas,Œ,Passy,,,,,,,,,,,,,
15,térieux,curinie,Curieuse,ladieu,E,point voluptueuse,,,,,,,,,,,
16,Fais,Is,Aise,Tais,Fa,voudrais,jais,,,,,,,,,,
17,Seine,"la
Seine bleue",la Seine,N.,Latin,ceiffé,L|,,,,,,,,,,
18,n’,ñn’,,,,,,,,,,,,,,,
19,rue de,ensembie de,rue de Tournon,rue n’,massif de myosotis,rue de l'Ancienne-Comédié,,,,,,,,,,,
20,ef,Peffort,,,,,,,,,,,,,,,
21,.:+,la pierre,lapre,Piérre,,,,,,,,,,,,,
22,Pour-,maine,Touraine,Aurait:>u,crainie,Tourainé,Tournon,Saint-Cloud,,,,,,,,,
23,et’,Cetie,mettant,t’,,,,,,,,,,,,,
24,"ou-

 

 AH",AH,bah,,,,,,,,,,,,,,
25,du Louvre,fiévr2,Louvre,,,,,,,,,,,,,,
26,sca,Trocadéro,Rome,Rose,Tyrol,Dété,,,,,,,,,,,
27,talle,aller-,État,Allez,Pallée,Allemagne,alluma,,,,,,,,,,
28,Ë,Philippeun,Philippé,Phi-,Philivpe,l.,,,,,,,,,,,
29,Mèke,concre,nacre,conñu,Ancre,,,,,,,,,,,,
30,Puis-,Dépuis,dEpuis,,,,,,,,,,,,,,
31,gènés,Buiné,Dauphiné,Jui,Obstinée,,,,,,,,,,,,
32,Florence,Existence,,,,,,,,,,,,,,,
33,Mont-Valérien,Chantez,Remontée,LC,Montez,Quittez,Ponte,Égypte,Pomone,,,,,,,,
34,perse,Marsan,Los Rs,Rs,rs,Âlors,tersps,,,,,,,,,,
35,m-,Qu’'y,jusqu’,qu’,au’,,,,,,,,,,,,
36,Collège de Frar,la France,de France,de Saxe,,,,,,,,,,,,,
37,Vienne,VI,vigne,,,,,,,,,,,,,,
38,Élle,Séville,Cpélérinage,élle,,,,,,,,,,,,,
39,hiVer,Veux-,AVez,aVez,aVetses-,,,,,,,,,,,,
40,fêchait,aimais,jAmais,J,m'’aimais,Jemais,affirmait}.,,,,,,,,,,
41,sirE,sion,siRE,Loire,,,,,,,,,,,,,
42,feuillage du Luxembourg,Luxembourg,Bourgogne,È,,,,,,,,,,,,,
43,j’,J’,Eh,,,,,,,,,,,,,,
44,deFontenay,Menacée,Fon,Fonvent,Fontenaÿ,Fonteray,Grenade,tenaÿy,Fontenay,,,,,,,,
45,m’,A1,Partez,Parme,Paris,Paris végétal,mar-,,,,,,,,,,
46,jalousie,Cousin,Courbée,Rous-,,,,,,,,,,,,,
47,D,corime,Madäime,coinpacte corime,Corinthe,,,,,,,,,,,,
48,Anzin,Hollande,Ans,dedans,,,,,,,,,,,,,
49,ia,Di,jardin de l’aventuRe’,jardin des Vosges,Vosges,,,,,,,,,,,,
50,l'Espagne,Pologne,Espagne,,,,,,,,,,,,,,
51,"J 

M",Forbier,"rue madame
Forbier",,,,,,,,,,,,,,
52,L’,l’,d’,,,,,,,,,,,,,,
53,Italien,l'Italie,d'Italie,,,,,,,,,,,,,,
54,Agrigente,Régent,Genève,Rentrée,,,,,,,,,,,,,
55,Re Îles,L,Île,Naples,Îles jours,Îles,Les,lesoir,,,,,,,,,
56,Lausanne,Säbine,Sabiné,sabine,,,,,,,,,,,,,
57,Mossoul,s’,s’assoupir,Soupirs,,,,,,,,,,,,,
58,Clichy,moüstache,He,E Henri,S“cherchait,| cher,Michelet,fächerie,chamt,"CRÉEr 
e

266",cher,,,,,,
59,ellE,Kouvelle,A NOUVELLE,barcarolle,demandaitelle,mul oreiller,Versailles,suelle,Hérelle,‘aiguille,"—-
Elle promit de prendre ses repas",Ælle,Appelle,après-midi-elle,Elle,Ellé,
60,Rorée,Rozée,Roïée,froïd,,,,,,,,,,,,,
61,J',J'ai,,,,,,,,,,,,,,,
62,théètre,Fheauté,Au-,Autrefois,Autre,,,,,,,,,,,,
63,Ïl,Berlin,colombes,lüi,Be,,,,,,,,,,,,
64,S|,fût|,,,,,,,,,,,,,,,
65,IL,Tsolée,le soleil,soleil,,,,,,,,,,,,,
66,Est Bien,TU Penses Bien,,,,,,,,,,,,,,,
67,château des Bruyères,Bruyères,,,,,,,,,,,,,,,
68,Docteur,candidsture,Pheure,Asie Mineure,,,,,,,,,,,,,
69,Rouen,Bois de Boulogne,Bohême,Cordoue,boue,bouscula,ouest-de-ange,,,,,,,,,,
70,Pun,jEune,jéune,F,lune,,,,,,,,,,,,
71,wagon,sälon,Alsace,Salon,,,,,,,,,,,,,
72,"AH 
 X","AH 
 X 

 
 
 

 J 
      

94","Fe

 X","AH 
 X 
 

 

 X",,,,,,,,,,,,,
73,bruni,BR,I,arbRes-,Br,,,,,,,,,,,,
