cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,"4

 
 
 
 
 
 
 
 
 
 
 

 

 
 AH 

LA",Mèke,"ou-

 

 AH","AH 

LA",,,,,,,
1,"NOUVELLE ESPÉRANCE

li",A NOUVELLE,"NOUVELLE ESPÉRANCE

‘espagne",Fa,"L
 AH 

 iL avaiT l

LA NOUVELLE ESPÉRANCE 139

témoignée le soir de ses larmes",,,,,,
2,Quelque,Dominique,Quelqu,Quelquefois,Jean-Jacques,I,afrique,J,,,
3,Chantez,Voyez,Is,Quittez,fêchait,t’,chamt,Piérre,froïd,,
4,Florence,Penché,Existence,cetle,Noagrnr,Grenade,mar-,Br,,,
5,Laisse,Suisse,j’,Jouissait,A,ES,,,,,
6,hôtel de Ferney,Ferney,Ferney qu’,Ü,,,,,,,
7,Rouen,Los Rs,J',Cordoue,boue,ouest-de-ange,,,,,
8,Certes-,Bengale,Wurtemberg,l’,arbRes-,Tyrol,cerTes-,Eiie,,,
9,manche,Rs,Manuscrits,N.,la manche,,,,,,
10,Assise,mettant,massif de myosotis,Lise,,,,,,,
11,curinie,crainie,Œ,F,Cpélérinage,,,,,,
12,Vienne,Lausanne,TU Penses Bien,,,,,,,,
13,térieux,Curieuse,ladieu,Tolède,,,,,,,
14,Marsan,Cetie,E,voyäge,,,,,,,
15,l'Espagne,VI,Espagne,eSPOIr,Roïée,,,,,,
16,Ë,hiVer,rue de,Atlas,ensembie de,bah,rue de Tournon,rue n’,rue de l'Ancienne-Comédié,,
17,Qu’'y,jusqu’,qu’,,,,,,,,
18,Mont-Valérien,m’,Remontée,Montez,lüi,Pomone,,,,,
19,sca,L’,Touraine,Aurait:>u,Trocadéro,Tourainé,Tournon,,,,
20,Docteur,Leurs,rs,Pheure,Asie Mineure,,,,,,
21,Philippeun,Philippé,Phi-,Philivpe,Latin,,,,,,
22,du Louvre,joiie,Louvre,"Fe

 X","F
 

 

238",Saint-Cloud,mouvanies,,,,
23,Seine,fiévr2,"la
Seine bleue",la Seine,"J 

M",ceiffé,,,,,
24,E Henri,LC,S,æ Où,,,,,,,
25,Ïl,Au-,talle,aller-,Ælle,Allez,Pallée,Allemagne,d’,alluma,
26,concre,nacre,Ancre,,,,,,,,
27,S|,Puis-,Dépuis,lapre,dEpuis,,,,,,
28,Buiné,Dauphiné,Obstinée,Sabiné,,,,,,,
29,Gênes,Rome,s’,Égypte,,,,,,,
30,.:+,BR,D,État,,,,,,,
31,Vois,Sois,"-

— Vois-tu","vinigt-trois

2",Madémoisèlle,Bois,,,,,
32,wagon,Collège de Frar,la France,gènés,de France,de Saxe,Lucile,,,,
33,ia,Anzin,Alsace,,,,,,,,
34,barcarolle,AH,Hollande,candidsture,Rose,,,,,,
35,sirE,siRE,Loire,,,,,,,,
36,Bois de Boulogne,Pologne,vigne,,,,,,,,
37,et’,jEune,jéune,lune,,,,,,,
38,la pierre,Peffort,Forbier,"rue madame
Forbier",,,,,,,
39,LE,maine,Messine,Säbine,dedans,sabine,Dété,,,,
40,feuillage du Luxembourg,Luxembourg,Bourgogne,,,,,,,,
41,Es,jardin de l’aventuRe’,AVez,aVez,Berlin,Âlors,aVetses-,,,,
42,mMéna-,conñu,,,,,,,,,
43,Di,deFontenay,Menacée,Fon,Ponte,Fontenaÿ,Ans,Fonteray,tenaÿy,Fontenay,
44,Partez,Parme,Paris,Paris végétal,au’,,,,,,
45,jalousie,Joie,Cousin,Rous-,bouscula,,,,,,
46,n’,sälon,Bohême,,,,,,,,
47,gesie,Indes,jardin des Vosges,point voluptueuse,Vosges,,,,,,
48,Anatolie,Jui,Jolie,Mélancolie,colombes,,,,,,
49,Fais,L,mule,Aise,Tais,Anglais,voudrais,jais,È,,
50,ellE,Kouvelle,demandaitelle,suelle,ef,Hérelle,"—-
Elle promit de prendre ses repas",Appelle,après-midi-elle,Elle,Ellé
51,Pour-,Journées,Courbée,,,,,,,,
52,Est Bien,Veux-,EsT814,Ileest,Cest,,,,,,
53,Agrigente,Fonvent,Régent,Genève,,,,,,,
54,Re Îles,Clichy,Pun,Île,Naples,Îles jours,Îles,Les,lesoir,,
55,mul oreiller,Versailles,‘aiguille,Élle,Séville,élle,,,,,
56,kB,aimais,jAmais,L|,m'’aimais,Jemais,affirmait}.,,,,
57,|,Rorée,"CRÉEr 
e

266",Be,Rentrée,,,,,,
58,moüstache,S“cherchait,| cher,J’,Michelet,fächerie,Rozée,cher,,,
59,Italien,l'Italie,d'Italie,ñn’,,,,,,,
60,IL,Grèce,J'ai,,,,,,,,
61,Mossoul,s’assoupir,Soupirs,,,,,,,,
62,théètre,Fheauté,Autrefois,Autre,,,,,,,
63,A1,l.,fût|,,,,,,,,
64,corime,Madäime,II,coinpacte corime,Corinthe,,,,,,
65,mole,sion,Tsolée,le soleil,soleil,,,,,,
66,Pas,He,Passy,,,,,,,,
67,Gravures,bruni,Adresse-,château des Bruyères,Suresnes,Bruyères,Espère,,,,
68,perse,tersps,,,,,,,,,
69,m-,Eh,Salon,,,,,,,,
70,Où,"AH 
 X","AH 
 X 

 
 
 

 J 
      

94","AH 
 X 
 

 

 X",,,,,,,
