cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0.0,mun’n’t,n’t,on’t,,,,
1.0,Linton Heathcliff,He’ll,seattle,Linton,Heathcliff,,
2.0,merced,America,erie,,,,
3.0,Ill,Zillah,,,,,
4.0,Blackphone,Black Art,,,,,
5.0,Iran,Range,france,Grange,,,
6.0,Hareton,Harcton,,,,,
7.0,Thrushcross park,Thrushcross,Thrushcross Grange,,,,
8.0,Satan,Titan,,,,,
9.0,a Slough of Despond,Sough,You’ll,Desert,,,
10.0,China,Hindley,west wind,,,,
11.0,"Wuthering

Heights",Hercules,"Wuthering
Heights",Catherine,WUTHERING HEIGHTS,Wuthering Heights,Heights
12.0,CAVENDISH Sq,tennessee,Christendom,,,,
13.0,’ york,Yorkshire,,,,,
14.0,London,LONDON,,,,,
15.0,Kirkland,Immersion,England,Immersion kirkland,"Pensioner
Crags",kirkland,
16.0,santa,Continent,Atlantic,,,,
17.0,North,fort,,,,,
18.0,dallas,Lascar,,,,,
