cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,America,erie,T.G.,B7ZAw,Goa,merced,,,,
1,Thrushcross,Miss.,Thrushcross Grange,Thrushcross park,us,,,,,
2,wy,He’ll,Ill,sicily,You’ll,Zillah,IL,,,
3,Linton Heathcliff,Continent,Heathcliff,Liverpool,Linton,seattle,,,,
4,Lockwood,LONDON,Christendom,Mr,London,,,,,
5,on’t,n’t,mun’n’t,,,,,,,
6,Immersion,Immersion kirkland,"Pensioner
Crags",,,,,,,
7,Lascar,dallas,ababa,,,,,,,
8,England,kirkland,Kirkland,Atlantic,,,,,,
9,he'd,"Wuthering

Heights",Heights,"Wuthering
Heights",WUTHERING HEIGHTS,Butts,Wuthering Heights,Hercules,Phenix,Catherine
10,fort,quad-,North,,,,,,,
11,Grange,france,Range,Iran,,,,,,
12,1’i,,,,,,,,,
13,Harcton,Earrshaw,gre2,Hareton,,,,,,
14,west wind,wi,tennessee,,,,,,,
15,i’m,Black Art,Oho,Blackphone,,,,,,
16,Hindley,inn,sum~-,Him,China,,,,,
17,santa,Titan,Satan,,,,,,,
18,’ york,Yorkshire,,,,,,,,
19,Sough,Desert,CAVENDISH Sq,a Slough of Despond,,,,,,
