cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
-1,wy,Lockwood,quad-,Miss.,Desert,Butts,Liverpool,T.G.,Mr,i’m,"Pensioner
Crags",Goa,gre2,Oho,sum~-,1’i,ababa,us,seattle,tennessee
0,he'd,Phenix,,,,,,,,,,,,,,,,,,
1,He’ll,You’ll,,,,,,,,,,,,,,,,,,
2,America,erie,Hercules,merced,,,,,,,,,,,,,,,,
3,"Wuthering

Heights",Heights,"Wuthering
Heights",WUTHERING HEIGHTS,Wuthering Heights,Catherine,,,,,,,,,,,,,,
4,Sough,a Slough of Despond,,,,,,,,,,,,,,,,,,
5,LONDON,London,,,,,,,,,,,,,,,,,,
6,Ill,sicily,Lascar,Zillah,dallas,IL,,,,,,,,,,,,,,
7,Christendom,CAVENDISH Sq,,,,,,,,,,,,,,,,,,
8,Black Art,Blackphone,,,,,,,,,,,,,,,,,,
9,on’t,n’t,mun’n’t,,,,,,,,,,,,,,,,,
10,Immersion,Immersion kirkland,,,,,,,,,,,,,,,,,,
11,England,kirkland,Kirkland,,,,,,,,,,,,,,,,,
12,Continent,santa,Titan,Satan,Atlantic,,,,,,,,,,,,,,,
13,Linton Heathcliff,Heathcliff,Linton,,,,,,,,,,,,,,,,,
14,Harcton,Hareton,,,,,,,,,,,,,,,,,,
15,Earrshaw,B7ZAw,,,,,,,,,,,,,,,,,,
16,Hindley,inn,Him,west wind,wi,China,,,,,,,,,,,,,,
17,france,Iran,,,,,,,,,,,,,,,,,,
18,Grange,Range,,,,,,,,,,,,,,,,,,
19,Thrushcross,Thrushcross Grange,Thrushcross park,,,,,,,,,,,,,,,,,
20,fort,North,,,,,,,,,,,,,,,,,,
21,’ york,Yorkshire,,,,,,,,,,,,,,,,,,
