cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0,he'd,Hindley,Ill,Lascar,You’ll,Goa,
1,"Wuthering

Heights",Heights,"Wuthering
Heights",WUTHERING HEIGHTS,Wuthering Heights,Hercules,Catherine
2,America,inn,erie,merced,,,
3,wy,Lockwood,santa,Earrshaw,North,IL,
4,Thrushcross,Thrushcross Grange,Thrushcross park,Blackphone,tennessee,,
5,Continent,Desert,ababa,,,,
6,Sough,LONDON,sicily,Christendom,London,a Slough of Despond,
7,Linton Heathcliff,Heathcliff,Oho,seattle,,,
8,on’t,n’t,mun’n’t,T.G.,Satan,,
9,Miss.,Immersion,"Pensioner
Crags",CAVENDISH Sq,,,
10,Harcton,Linton,Hareton,,,,
11,England,Immersion kirkland,Butts,kirkland,Kirkland,Atlantic,
12,Liverpool,Black Art,gre2,sum~-,,,
13,quad-,Mr,west wind,,,,
14,fort,Grange,i’m,Range,1’i,,
15,france,Iran,Yorkshire,,,,
16,He’ll,’ york,Titan,Him,us,China,
17,Zillah,B7ZAw,dallas,Phenix,wi,,
