cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,he'd,"Wuthering

Heights",Heights,Sough,"Wuthering
Heights",WUTHERING HEIGHTS,Butts,Wuthering Heights,Hercules,Phenix,ababa,Catherine
1,America,erie,Immersion,Lascar,merced,,,,,,,
2,fort,Desert,’ york,North,,,,,,,,
3,Thrushcross,Miss.,Thrushcross Grange,Thrushcross park,us,,,,,,,
4,He’ll,Ill,sicily,You’ll,Zillah,dallas,IL,,,,,
5,Linton Heathcliff,Continent,Heathcliff,Liverpool,Linton,,,,,,,
6,Lockwood,LONDON,"Pensioner
Crags",London,a Slough of Despond,,,,,,,
7,on’t,n’t,mun’n’t,B7ZAw,,,,,,,,
8,Christendom,CAVENDISH Sq,tennessee,,,,,,,,,
9,wy,Goa,,,,,,,,,,
10,Grange,quad-,france,Range,Iran,,,,,,,
11,i’m,sum~-,1’i,,,,,,,,,
12,Harcton,Earrshaw,gre2,Hareton,,,,,,,,
13,Black Art,Oho,Blackphone,,,,,,,,,
14,west wind,wi,,,,,,,,,,
15,Hindley,inn,Him,China,,,,,,,,
16,santa,Titan,Satan,seattle,Atlantic,,,,,,,
17,England,Immersion kirkland,kirkland,T.G.,Mr,Kirkland,Yorkshire,,,,,
