cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
-1,"Pensioner
Crags",us,ababa,Goa,i’m,Liverpool,Desert,Oho,sum~-,England,wy,seattle,Mr,Lockwood,1’i,Butts,gre2,T.G.,quad-
0,Yorkshire,’ york,,,,,,,,,,,,,,,,,
1,fort,North,,,,,,,,,,,,,,,,,
2,China,west wind,Him,Hindley,wi,Miss.,inn,,,,,,,,,,,,
3,france,Iran,,,,,,,,,,,,,,,,,
4,Range,Grange,,,,,,,,,,,,,,,,,
5,Thrushcross park,Thrushcross Grange,Thrushcross,,,,,,,,,,,,,,,,
6,n’t,on’t,mun’n’t,,,,,,,,,,,,,,,,
7,Black Art,Blackphone,,,,,,,,,,,,,,,,,
8,B7ZAw,Earrshaw,,,,,,,,,,,,,,,,,
9,Ill,Lascar,Zillah,dallas,IL,sicily,,,,,,,,,,,,,
10,Hareton,Harcton,,,,,,,,,,,,,,,,,
11,Christendom,tennessee,CAVENDISH Sq,,,,,,,,,,,,,,,,
12,Atlantic,Continent,Titan,santa,Satan,,,,,,,,,,,,,,
13,Linton Heathcliff,Heathcliff,Linton,,,,,,,,,,,,,,,,
14,a Slough of Despond,Sough,,,,,,,,,,,,,,,,,
15,London,LONDON,,,,,,,,,,,,,,,,,
16,Immersion kirkland,Immersion,,,,,,,,,,,,,,,,,
17,Kirkland,kirkland,,,,,,,,,,,,,,,,,
18,He’ll,You’ll,,,,,,,,,,,,,,,,,
19,he'd,Phenix,,,,,,,,,,,,,,,,,
20,Catherine,WUTHERING HEIGHTS,"Wuthering

Heights",Heights,Wuthering Heights,"Wuthering
Heights",,,,,,,,,,,,,
21,Hercules,merced,,,,,,,,,,,,,,,,,
22,America,erie,,,,,,,,,,,,,,,,,
