cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0.0,du Nord,Nord,ligne du Nord,,,,,,,,,,,,,,,,,,,,,
1.0,ÉDUCATION SENTIMENTALE,senti=-,Gitimer,SENTIMENTALE,l’'éduca-,ÉDUCATION SENTIMENTALE A1,"ÉDUCATION SENTIMENTALE

Ligne","ÉDUCATION SENTIMENTALE

Quelquefois",,,,,,,,,,,,,,,,
2.0,Madeleine,& Madeleine,Made-,,,,,,,,,,,,,,,,,,,,,
3.0,rue Saint-Martin,rue Caumartin,Porte-Saint-Martin,porte Saint-Martin,faubourg Saint-Martin,Martinon,théâtre de la Porte-Saint-Martin,,,,,,,,,,,,,,,,,
4.0,jurisconsulle,gascon,,,,,,,,,,,,,,,,,,,,,,
5.0,Californie,porn,caleçon,nie,,,,,,,,,,,,,,,,,,,,
6.0,Deslauri,Dulaure,Deslauriers,,,,,,,,,,,,,,,,,,,,,
7.0,Suisse,suischagrin,la têbaisser,suisse,Suissesse,la Pâtisserie,,,,,,,,,,,,,,,,,,
8.0,A Bray,Bray,,,,,,,,,,,,,,,,,,,,,,
9.0,Tues,Turque,Lesurques,,,,,,,,,,,,,,,,,,,,,
10.0,"rue de

Choiseul",Choiseul,rue de Choiseul,"rue de
Choiseul",,,,,,,,,,,,,,,,,,,,
11.0,Somme,La somme,Comment,,,,,,,,,,,,,,,,,,,,,
12.0,Regis=,Regis-,Gis,,,,,,,,,,,,,,,,,,,,,
13.0,Capitale,la Capitale,Capitaine,,,,,,,,,,,,,,,,,,,,,
14.0,Pradier,"Hôtél-
Dieu",Prado,,,,,,,,,,,,,,,,,,,,,
15.0,Mnamnés,Gymnase,,,,,,,,,,,,,,,,,,,,,,
16.0,Cong-Héron,"rue
Coq-Héron",Chérubin,,,,,,,,,,,,,,,,,,,,,
17.0,XII° arrondissement,XI° arrondissement,III arrondissement,Girondins,,,,,,,,,,,,,,,,,,,,
18.0,"ha-
ward",gard,Gardes,Regardez,Gare,Niagara,Allard,Pardon,Savoyard,,,,,,,,,,,,,,,
