cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29
0,Constantinople,Jons,jurisconsulle,Bonsoir,Considérant,Jonc,Flocons,Ons’,Dijon,,,,,,,,,,,,,,,,,,,,,
1,du Nord,du=,Nord,ligne du Nord,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ÉDUCATION SENTIMENTALE,senti=-,SENTIMENTALE,l’'éduca-,ÉDUCATION SENTIMENTALE A1,Vraiment,"ÉDUCATION SENTIMENTALE

Ligne","ÉDUCATION SENTIMENTALE

Quelquefois",,,,,,,,,,,,,,,,,,,,,,
3,Madeleine,& Madeleine,I,Made-,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Joux,Luoux,Ledoux,Anjou,Arnoux,Hnoux,Pidoux,,,,,,,,,,,,,,,,,,,,,,,
5,Mille,Hauteville,Æcharmilles,Millier,Vazeille,Vaudeville,Grémonville,Séville,s’éveille,Etille,Hôtel-de-Ville,Surville,Milles,Villeneuve-l'Archevèque,Fouquier-Tinville,Lille,,,,,,,,,,,,,,
6,Deslauri,Dulaure,Deslauriers,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"rue de

Choiseul",Choiseul,rue de Choiseul,bois de Crancé,M. de Cisy,"rue de
Choiseul",,,,,,,,,,,,,,,,,,,,,,,,
8,Somme,so,La somme,Comment,Sombaz,,,,,,,,,,,,,,,,,,,,,,,,,
9,brigand,Caverne-des- Brigands,Bri=,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Capitale,Pitié,caleçon,la Capitale,Bengale,Capitaine,,,,,,,,,,,,,,,,,,,,,,,,
11,Cong-Héron,"rue
Coq-Héron",,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,madras,Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"ha-
ward",gard,Gardes,Regardez,Gare,Pardon,Savoyard,,,,,,,,,,,,,,,,,,,,,,,
14,Ambreuse,Rieuse,Dambreuses,M,fosse de M. Dambreuse,hôtel Dambreuse,breuse,,,,,,,,,,,,,,,,,,,,,,,
15,bosquet,vesque,bour de basque,jusqu’,Parquet,Bouquet-,,,,,,,,,,,,,,,,,,,,,,,,
16,lâquelle,Celles,Elle,Pellerin,nelle,moselle,Mlle,Pellerin.-,rue Bellefond,Fortelle,Leloir,Belle-,Della,Bellevue,àelle,".——.

LL",el,Te rappelles,Belle-n,Belleville,Bagatelle,Nouvelles,Pelle-,Pelle,a-t-ellen,,,,,
17,Ace,Efface-toi,grimace,aCcäs,Bac,,,,,,,,,,,,,,,,,,,,,,,,,
18,Is,PUis,buis,Mois,Législative,Gis,Assis,Isle,Cisy,,,,,,,,,,,,,,,,,,,,,
19,Gauloises,Gaulois,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Polonaise,Prolong,Polonais,La Polonaise,,,,,,,,,,,,,,,,,,,,,,,,,,
21,J1,du Havre,Havrais,Hâvre,gare du Havre,au Havre,le Havre,BH HG,,,,,,,,,,,,,,,,,,,,,,
22,él,"Hôtél-
Dieu",Lélia,Léloges,Æ,A,,,,,,,,,,,,,,,,,,,,,,,,
23,Blackstone,Creton,Ton,Meudon,pont de Charenton,Tons,wagon,Odéon,commanderas ton ca,Antony,,,,,,,,,,,,,,,,,,,,
24,XII° arrondissement,XI° arrondissement,Mrodigieusement,III arrondissement,Rond-Point,Girondins,,,,,,,,,,,,,,,,,,,,,,,,
25,Parlotte,Marmotte,Parly,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,théätre,tre,Mitre,môtres,Refusaël,Greenwald,Ministre,Gare aù lustre!,Trône,Autre,Reynolds,s’étreindre,,,,,,,,,,,,,,,,,,
27,Aïnsi,B,Sion,Albion,Religion,Gionalé,Summa division personarum,SiOn,,,,,,,,,,,,,,,,,,,,,,
