cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
0,Laisse,Anglais,la têbaisser,Père-Lachaise,Anglaise,Lamennais,la Pâtisserie,Ecossais,Marseillais,"Pas
lais",,,,,,,,,,,,,,,,,,,
1,Maré-,Fré-,Pé-,la Maré-,Margot,,,,,,,,,,,,,,,,,,,,,,,,
2,fiacre,ter le fiacre,nacre,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cour,Ambrecicourt,Nonancour,Nonancourt,Pour-,Flacourt,jurisconsulle,Oury,Sourdun,Betancourt,Véfour,coucou,,,,,,,,,,,,,,,,,
4,Château-d'Eau,Chapeau,"Château
d'Eau",Ù,Mrinceaux,Châte-,le Château-d'Eau,Châteauroux,,,,,,,,,,,,,,,,,,,,,
5,Somme,La somme,l’'Almanach du Commerce,Comment,so,Rome,Sombaz,hôtel du Commerce,Hippodrome,,,,,,,,,,,,,,,,,,,,
6,MU,Muséum,murmus,Muet,communauté M,,,,,,,,,,,,,,,,,,,,,,,,
7,Jardin des plantes,boulevards des Gobelins,Jardin des Plantes,"boulevard des
Capucines",HR,,,,,,,,,,,,,,,,,,,,,,,,
8,Brie,Pie,gie,Rieuse,Rir,Burrieu,Série,Négrier,nie,Hongrie,Rience,brigand,Algérie,Bri=,Ibérien,,,,,,,,,,,,,,
9,sailles,salle-des-fêtes,bataill,Ilest,musée de Versailles,Canailles,Sainville,volaille,Versailles,Travaillez,corbeillesde,,,,,,,,,,,,,,,,,,
10,Ecoutez,R,Écoutez,Vicomte,Foute,S,,,,,,,,,,,,,,,,,,,,,,,
11,Palais-Royal,théâtre du Palais-Royal,Palais-Royal !,"Palais-
Royal",pont Royal,falbalast,Palais,croyais,galais,,,,,,,,,,,,,,,,,,,,
12,ÉDUCATION SENTIMENTALE,"ÉDUCATION SENTIMENTALE

Quelquefois",ÉDUCATION SENTIMENTALE A1,SENTIMENTALE,senti=-,"ÉDUCATION SENTIMENTALE

Ligne",,,,,,,,,,,,,,,,,,,,,,,
13,du Nord,du=,ligne du Nord,Nord,,,,,,,,,,,,,,,,,,,,,,,,,
14,Restez,Irez,retirez,Le Vicaire,Affaires-,pälir,Occupez,SiRe,rez,Foire,,,,,,,,,,,,,,,,,,,
15,Arrêté,Arroux,Carrousel,"place du
Carrousel",carre-,place du Carrousel,Carousel,,,,,,,,,,,,,,,,,,,,,,
16,Odéon,Ton,commanderas ton ca,Creton,wagon,Conservatoire,"VI

Son",Antony,Tons,Blackstone,,,,,,,,,,,,,,,,,,,
17,SiOn,Inquisition,Summa division personarum,Albion,Religion,Sion,Gionalé,,,,,,,,,,,,,,,,,,,,,,
18,Peuple,Leurs,l’'examinateur,Feu,Meurs,Rs,jeué,l'Europe,Onleur,Fleurs,,,,,,,,,,,,,,,,,,,
19,Arc de triomphe et la grande avenue,Bande avenue,Arc de triomphe,Arc de triomphe un cheval mort,,,,,,,,,,,,,,,,,,,,,,,,,
20,Pont-Neuf,Meudon,pont Neuf,J1,le Pont-Neuf,,,,,,,,,,,,,,,,,,,,,,,,
21,Saint-Gervais,Saint-,Saint-Jacques,chapelle Saint-Satur-,Saint-Paul,Sainte-Vierge,île Saint-Louis,Saint-Anne,Saint-Thomas,Saint-Cloud,Saint-Antoine,Saint-Honoré,quai Saint-Bernard,rue Saint-Hyacinthe,Sainte-,Saint-Marceau,Saint-Louis,Saint-Germain,"Saint-Satur-""
nin",Saint-Nicolas,Saintonge,"Saint
Ferdinand","Sainte-
Chapelle",Saint-Valéry,Mont-Saint-Michel,Saint-Roch,,,
22,él,"Hôtél-
Dieu",Léloges,Lélia,,,,,,,,,,,,,,,,,,,,,,,,,
23,Entrez,Greenwald,Rentrons,É,Rendez,entr’,Présentez,Carpentras,Nogent,Enivrez,,,,,,,,,,,,,,,,,,,
24,"au-
re",au-,ru-,pau,"au-
res",Gorge-au-Loup,au-#,"au-

F

b",Figu-,"au-
tre",Au-,Au- P,,,,,,,,,,,,,,,,,
25,Poissards,Poisson,Poissarde,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Cavaignat,Vatnaz,Ile Vatnaz,Mile Vatnaz,La Vatnaz,,,,,,,,,,,,,,,,,,,,,,,,
27,Jette,Attends,violette,Mettes,chette,Mettez,lorette,,,,,,,,,,,,,,,,,,,,,,
28,Percepteur,proies$eur,Docteur,Précepteur,Précep,,,,,,,,,,,,,,,,,,,,,,,,
29,hasta,As-tu,As,Mazas,Pas,Las,bazas,Vas-1,ask,Gymnase,As-tu cent,madras,gascon,,,,,,,,,,,,,,,,
30,Æs,Naples,Îles,Écoles,bles,iglesia,Æ,Île,Îles prunelles ardentes,,,,,,,,,,,,,,,,,,,,
31,Gouvernement,Gouver-,Gouverne-,Doucement,Gou,Fouvent,Le Gouvernement,,,,,,,,,,,,,,,,,,,,,,
32,rue de Paradis,rue Paradis,Rue Paradis,Paradis,RD  Pe 2,rue Paradis-Prisonnière,,,,,,,,,,,,,,,,,,,,,,,
33,Morelly,Belle-n,Nouvelles,Fortelle,Pelle-,Elle,Della,Celles,Te rappelles,Belleville,Pellerin,a-t-ellen,Mlle,Hôtel-de-Ville,nelle,Pelle,lâquelle,àelle,moselle,Bagatelle,Pellerin.-,rue Bellefond,".——.

LL",Belle-,el,Leloir,Bellevue,,
34,Etille,Surville,Missile,Mille,Milles,Millier,Grémonville,Marseille,ile,Lille,s’éveille,Vaudeville,Vazeille,Æcharmilles,Séville,le soleil,,,,,,,,,,,,,
35,Dussar-,Samedi,Dussardier,Dumersan,Picardie,Pussardier,Pradier,,,,,,,,,,,,,,,,,,,,,,
36,esprit-de-vin,Caverne-des- Brigands,Notre-Dame-des-Victoires,gorge-de-pigeon,"Notre-Dame de
lorette",Dame-des-Victoires,Notre-Dame,pierre de Notre-Dame,,,,,,,,,,,,,,,,,,,,,
37,"Pr-
cédure !",Prisonnière,Pre,Reprit,Vêpres,re=,Prends,Reynolds,Comprenez,comprend#r,Premières,Prado,,,,,,,,,,,,,,,,,
38,Lavergne,Vésuve,nerve,laïve,Ver,Auvergne,trouverez,Ver-,Sauver-,bouleversa,,,,,,,,,,,,,,,,,,,
39,ws’,E,s’,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Madrid,Ma-,la manche,Maman,Salamanque,manche,damas,Normandes,Mably,,,,,,,,,,,,,,,,,,,,
41,LU,Melun,Clubstick,alluma,voluplueux,Lu,Malus,Lune,Luxe-,Salut,,,,,,,,,,,,,,,,,,,
42,Maillot,Mail,M,"porte
Maillot",Chaillot,,,,,,,,,,,,,,,,,,,,,,,,
43,etâle,châle,Let,bn,Châtelet,etle,Gilet,lèle,leé,Etle,,,,,,,,,,,,,,,,,,,
44,Rosanelte,Rosa-,Rosanette,"|

Rosanette",Rosannette,Vanneroy,Rosanetle,Toscane,,,,,,,,,,,,,,,,,,,,,
45,sesi,Hespérides,hôtel des Affaires-Étrangères,Desolmes,corées,Sèvres,Tues,Es,Aumônes,cémoines,Où es,Lesurques,Ormes,Comines,Presles,Armes,Mesdames,Alpes,,,,,,,,,,,
46,Guirlande,Hollande,Irlandais,Languedoc,languir,,,,,,,,,,,,,,,,,,,,,,,,
47,la Capitale,Capitale,boulevard de l'Hôpital,caleçon,Pitié,Capitaine,,,,,,,,,,,,,,,,,,,,,,,
48,Godefroy,la Croix-Rousse,Proté-,Rossini,Ro,Roméo,Trocadéro,"rue
Coq-Héron",Prodi-,Ro-,rouen,lip-froid,Rose Bron,Croix-,Rogérius,Pierrot,Troyes,trot,,,,,,,,,,,
49,la Sauvagerie,Sauvages,T3,Femme-Sauvage,Avantages,Sauvagerie,"vi-
Mages",,,,,,,,,,,,,,,,,,,,,,
50,Suisse,Suissesse,suisse,Écosse,SE,Colosse,Presse,Passe,,,,,,,,,,,,,,,,,,,,,
51,santerre,angleterre,ete er N,serrure,Terre,Angleterre,s’exalter,Mar terre,,,,,,,,,,,,,,,,,,,,,
52,sach@æ,aCcäs,Ace,Bac,grimace,Acceptez,Efface-toi,,,,,,,,,,,,,,,,,,,,,,
53,rue de la Harpe,"ou-

     
 

D LOS Me Cr",rue de la Paix,rue Tronche,Art et de la Nature !,rue de la Ferme et de la rue Tronche,rue de la Ferme,statue de la Liberté,bêtise de la Ligne,colonne de Juillet,e Tronche,®,ferme de Presles,"la der-f
nière lettre du mot",rue Transnonain,seuil de la lorette,Cygne de la Croix,porte de l'Alhambra,Préfecture de police,pont de la Boucherie,hôtel de la rue Tronche,,,,,,,,
54,Mécoupaient,Orientaux,Æpouvaient,Misaient,Laient,Soient,Sainte-Pélagie,Corroboraient,Gà,Nogentais,Vraiment,,,,,,,,,,,,,,,,,,
55,Grammont,Mondor,Montez,Montebello,Pharamond,Montreuil-Nantua,Panthéon,vermont,mo=,Dupont,Mont,"Pié-\
mont",Rond-Point,s’harmonica,pont d’Arcole,Montpensier,Ponts,Montagne,la Daumont,Laédémone,"Mont-
charron",pont de Charenton,Saumon,Aspremont,,,,,
56,Gotha,Change,Etranger !,Changer-,angeles,Grange-Batelière,Changarnier,,,,,,,,,,,,,,,,,,,,,,
57,._.,delan,Bordelaise,Bordelais,Relais-,Bordes,Bordeaux,,,,,,,,,,,,,,,,,,,,,,
58,4 Pomadère,Pouce,Pom,"Pom
padoue",Impossible,po,Oppos-,Po,Poncif,Oppo=,porn,pol,,,,,,,,,,,,,,,,,
59,Gauloises,Gaulois,Aulnay,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Isle,PUis,Mobilis,Ise,Mois,Is,sais,tamise,buis,Devise,Venise,Législative,Gis,Cisy,Assis,,,,,,,,,,,,,,
61,Vezou,Avez,Venez,A,Savez,,,,,,,,,,,,,,,,,,,,,,,,
62,fJ,Geneviève,Sainte-Geneviève,Genève,Villeneuve-l'Archevèque,,,,,,,,,,,,,,,,,,,,,,,,
63,Allemagne,Halles,lez,Allez,Allemand,Bengale,Canalïlle,,,,,,,,,,,,,,,,,,,,,,
64,therot,Rochefort,chaperon,Chevalier,cherie,HE,cherchais,Cher,orchestr,Boucher,Long-Rocher,coucher,cher,,,,,,,,,,,,,,,,
65,port de Montereau,Montereau,Valle-de-Montereau,Longjumeau,Moreau,,,,,,,,,,,,,,,,,,,,,,,,
66,notre République,République,"République b

me paraît vieille",Lique,République b,È,République !,,,,,,,,,,,,,,,,,,,,,,
67,l'Empire,Temple,Empire,cachemire,,,,,,,,,,,,,,,,,,,,,,,,,
68,Ohé,Bohême,Bohème,,,,,,,,,,,,,,,,,,,,,,,,,,
69,orang-outan,Constantinople,Liban,Cancane,Sanson,Considérant,Ans,An=,"gueule
Chanson",bannissement des d'Orléans,Orléans,san,expansif,Aïnsi,,,,,,,,,,,,,,,
70,Hydre,Fanfares,Londres,Flandres,fl,La Fougère,Nolan-,,,,,,,,,,,,,,,,,,,,,,
71,Beauté,Bertinaux,Aube,l'Aube,BE,conseil général de l'Aube,Rubens,,,,,,,,,,,,,,,,,,,,,,
