cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
0,Costa,Arcos,Post-Serviu,costernado,Costa ue,Encostou,acostiadu,Conselheiro Costa Barroso,Christaos,,,,,,,,,,,,,,,,,,,,
1,Ramires,Mes Amis,Rtires,Ramires-,"Paio Ramires
Pe","Mendes
Hamires",HAMIES,Clamores,ncio Ramires,"IAMIIIES
General Mendes lamires",RAMIES,lamiras,Pires,Mioirama,Iaires,"Glacial Mlecles
Iamires",Ramiros,Iamires,Ramiresl,"Hnmi-
res","Remires
Es",des Ramires,,,,,,,
2,Joaquim da Porta,N3,"Joaquim da
Ca",Joaquim da pArte,Joaquim da Porta noticias dos senhores,,,,,,,,,,,,,,,,,,,,,,,,
3,Fidalgo da Torre,Fidalgo da orro,Fidalgo la Torre,"Fidalga da
Torre","Fidalgo
la Torre","Fidalgo da
Torre","alvoroto da bra-
ga curta",Fidalgo da Torr,"Fidalgo da Torre Mette
o Cavalleiro","Fidalgo
la Torre dshontol",,,,,,,,,,,,,,,,,,,
4,sinha,lherzinha,gallinha cosida,Andorinha,MAriquinhas,cstantosinha,cosinha,D,Pintainhan,"Pinhal
de Estoevinha",1Minha,janellinha,sia risonha,azinhal,Yendinha,Venha,Minha,,,,,,,,,,,,
5,N0,"OU Go-
vCn0",n0 fundo,n0,,,,,,,,,,,,,,,,,,,,,,,,,
6,Santa Direita,Torre de anta Direita,dc sAnta Direita,Direita,"rehentar dum
mnorteiro",Cavalleiros de Santa Direita,Tallan Honra de anta Direita,"Santa
Direita",Santa Ireneial,Direita-,Santa Direita Iielmente,"Santa Irm-
eia","santa
Direita",torre le Santa Direita,santa Direita,Santa-Direita,Santu Direita,,,,,,,,,,,,
7,Pau-,"pau-
1",pau.n,,,,,,,,,,,,,,,,,,,,,,,,,,
8,baix,Ai,Bayaiot,bAixo,Baixo,"Lopo de
bAixo",AI,BAixa,paix profundo,,,,,,,,,,,,,,,,,,,,
9,Ponte,u roponte n'ossa,Ponto,piponice,Ponto Nio,N5o,ponte2,d ponte,Ponte mourisceas,"ponte2
Vint",U Ponto,Pontinha,Tempos,,,,,,,,,,,,,,,,
10,Case,CAS,Casimiras,cacarolas,Acaso,Bancas,Oracas,"Se-
ricas",Caso,Cascaes,Visigothicas,caevas,Cas-,Obras Publicas,Ca,Castro,,,,,,,,,,,,,
11,Gago,Agora-,gagujo,afaga4am,alagoVa,Aga-,Praga,-Ag0r,Agosto,aggolrd,Gonzaga,,,,,,,,,,,,,,,,,,
12,Cinto,toicinhos,Iiccesvinto,Cintra,Iecesvinto,Intoleravel,paschoal do cinto-anno,"Cintra
Il",Sinto,,,,,,,,,,,,,,,,,,,,
13,sa face mis,Face,Palacete inaccessivel,Faces,Ceo accusa,ce,face,macedo,,,,,,,,,,,,,,,,,,,,,
14,Claro-Sol,dcclaro,Est claro,C1 UI1 hu Claro ma,dc,,,,,,,,,,,,,,,,,,,,,,,,
15,cha-,ha-de,"Ir-
cha",Funchal,Achas,Rocha,chamma,hrchanja,,,,,,,,,,,,,,,,,,,,,
16,branduras,brasil,brandura,tntcndra,Bras,Brando,lacradu,Sobras,Ihraganeas,,,,,,,,,,,,,,,,,,,,
17,Aquelle,"S.
ulgenciol ue aquelle careea obeso",n'aquelle,Aquillo,affronta daquelle cnjado,-Aquelle Ande,esialludo daquelle,"S. eX.
Aquelle",aquelle,N'aquelle,"Goncale reino
aquelle intoleravel escandalo",quelle,naquelle,,,,,,,,,,,,,,,,
18,Castello,cautella,Caslello,Castelhano,castello bens-,Castella,Castellos,aquella noite de Castello,Mloscatel,,,,,,,,,,,,,,,,,,,,
19,hE,cahe,Hem,hehendu,omhebid,HE,Thereza,Ihe,,,,,,,,,,,,,,,,,,,,,
20,Ns,Ins,Uns,us confins,incans,sao insensieis,insignia,rins,,,,,,,,,,,,,,,,,,,,,
21,Santa Maria de Duraque,Santa Maria de Craquede,Santa Maria de Crauede,Santa Maria de Craquedel,Santa Maria de Craqutde,Torre ma fallada maravilha de cora,santa Maria de Craquede,VILLA CaSA DE MAIS,sAnta maria de Duraque,Santa Maria de aquelle,"triumpho dessa mi-
seria-- cnsadores",Santa maria de Craquede:-aS6,Santa maria de Cra-,tanque de marmore,,,,,,,,,,,,,,,
22,india,India,InDigna,Lindo,"sa-
cudindo",Diabinhos,explondidus1 l,vindima,balburdia,fundia,,,,,,,,,,,,,,,,,,,
23,Concelho,Conecelho,Sr. dminislradur do Concelho affirmo,a3,Concelho affirmo,Velhos,"Conselhos do
Banco Ilypotluecario:-e",,,,,,,,,,,,,,,,,,,,,,
24,lArgo,"Largo d`Fl-
ei",lages do Largo,largu,alargne,"alargne
form",cearla,LArgo,Largo do Chalariz,Largo d'El-Rei,Largo d'El-el,l.arg,es solarenggos,Slarem,bru larga,Goela,largueza dos campos,Largo,Largo dEl-lei,,,,,,,,,,
25,Dr.,Sr.,I(6,Sr,,,,,,,,,,,,,,,,,,,,,,,,,
26,Er,herva,Ferida,Deter,berou,l'poder,Cter,cerro,lEra,Erguera,ER,Fervor,vergel,Dizer,,,,,,,,,,,,,,,
27,dEpois,Pois,"Id
Bitos  Depois",DEpois,Ilopois,,,,,,,,,,,,,,,,,,,,,,,,
28,Emfim,eMfim,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,goa,Froalengo,go,tegoa,"eagoar om V. LHe,1 gRupos-",coa,legoas,ogoa,Iagoas,nodoa,Pego,Go-,Joao Gou-,l'ego,IJoa,,,,,,,,,,,,,,
30,s V0s0s,V0s0s,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ir,Irm-,Inquirir,IR,Irmio,tiro,IutIuUira,Iructczindo Iamircs,mudira u,Ir I-,Ir-,Sair,Moira-,irm,Iria,toira,,,,,,,,,,,,,
32,appareci,Apezar,nio appareceu,apelrechar,apparecia,lieapparecend0,rio appareceu,desappareceu,,,,,,,,,,,,,,,,,,,,,
33,Triste,tristeza,Triunfo,Ministerio,Districto,TRiste Filha,,,,,,,,,,,,,,,,,,,,,,,
34,foi?l santo,santos,Santos,oiYCrsatos,Santo,Iahoriosanwnte,Netos,Hspantos,santo,,,,,,,,,,,,,,,,,,,,
