cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29
0,improssiono,rossio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cemiterio,cemiterio da Villa,"Culo novo do
cemiterio",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Dizer,"ma revoa-
da de perdizes",Dize I.,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Forte,Sorte,Cortes,Mlunforte,fortaleza,Norte,Fortes,Civil de Monforte,Corte,3E,Morte,,,,,,,,,,,,,,,,,,,
4,Mias,MIas,MIa-,Ias,.-MIas,Ias l,,,,,,,,,,,,,,,,,,,,,,,,
5,Praga,afaga4am,gagujo,desgragal,braga,Ihraganeas,,,,,,,,,,,,,,,,,,,,,,,,
6,anda,Mtandarim,esponda,BAnD0,Landim,Iracejandao,Abandonada,Al Ainda,vianda,mand,Lenda,,,,,,,,,,,,,,,,,,,
7,Il,Til,Ils,ILl,Cil,ILLILSTIE,Filas,eil,IL.1,Ilbeiiula,Sil,Mlathilds,IL,Ilncntld,Silves,,,,,,,,,,,,,,,
8,convento de Santa,Convento de anta-dIrigida do Oliveira,Convento de Santa Bra-,Convento de anta-dIrigida,lnveneao,convento de Santa thereza,Tor de Santa,Senhor de Santa,Convento de Santa,venho de Reis,Solar de Santa Ironia-resistente,convento de S.,,,,,,,,,,,,,,,,,,
9,alegre,Egre-,Alegrias Fiaccns,bocca d alegre,Alegres,1r,regress0,,,,,,,,,,,,,,,,,,,,,,,
10,Goneal,tonealinho,Gonea-,Gonealol,Nio Goneal,Guonealo,Gioneale,Gonealinho,,,,,,,,,,,,,,,,,,,,,,
11,MiL0,1E,IL0g0,RMIlS,l0,MIL1.T CA  RWIIER,MIl-,,,,,,,,,,,,,,,,,,,,,,,
12,CAS,casal lE,Oracas,toscas0s,Casal Novo,"Se-
ricas",casaes,Acaso,Casas,Bancas,Case,Cas-,Visigothicas,Caso,Casa dos Chzes,Castro,,,,,,,,,,,,,,
13,Sul,n'ult,"nio ha sulti-
Ileas",suhissult us S,do Sul,,,,,,,,,,,,,,,,,,,,,,,,,
14,"murm-
rou","hom-
ro","com-
ro vernelh",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Te,elteger,Cter,mctte,hntea,Iute,te,Te0,,,,,,,,,,,,,,,,,,,,,,
16,Ilereules,hule,Ilereulanos,inleressnd,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Diga,Obrigada,brigada0,Obrigado,Wriga,Obriga-,,,,,,,,,,,,,,,,,,,,,,,,
