cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
0.0,Bispo,bIspo,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Costa,Costa ue,Encostou,acostiadu,,,,,,,,,,,,,,,,,,,,,,,,
2.0,sc eh0Passo,SC Io,Passou,io passeio,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Ramires,Ramires-,"Paio Ramires
Pe","Mendes
Hamires",ncio Ramires,"Glacial Mlecles
Iamires",Ramiros,Iamires,Ramiresl,"Remires
Es",des Ramires,,,,,,,,,,,,,,,,,
4.0,Joaquim da Porta,"Joaquim da
Ca",Joaquim da pArte,Joaquim da Porta noticias dos senhores,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Fidalgo da Torre,Fidalgo da orro,Fidalgo la Torre,"Fidalga da
Torre","Fidalgo
la Torre","Fidalgo da
Torre",Fidalgo da Torr,"Fidalgo da Torre Mette
o Cavalleiro","Fidalgo
la Torre dshontol",,,,,,,,,,,,,,,,,,,
6.0,Casa dos Chzes,Expediao dos Pardais,Casa do Comercio,"langgr dos seus olhos humidos
amullecia coraes",IILLLSTIE CASA D DIMENS,largueza dos campos,,,,,,,,,,,,,,,,,,,,,,
7.0,justificaya,Justiga,Justica,Fic-,,,,,,,,,,,,,,,,,,,,,,,,
8.0,sinha,rainha2,lherzinha,gallinha cosida,cstantosinha,"nio podia p
amor le rainha",SIN,cosinha,"Pinhal
de Estoevinha",1Minha,Gravinha,lgrejinha,azinhal,Graeinha,Yendinha,Minha,,,,,,,,,,,,
9.0,Rico-,Misericordia,Rico Homem,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Pau-,"pau-
1",pau.n,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Ponte,u roponte n'ossa,Ponto,Ponto Nio,Fronteira,ponte2,d ponte,Ponte mourisceas,"ponte2
Vint",U Ponto,Pontinha,Ponte...,,,,,,,,,,,,,,,,
12.0,Fntao,tao,kntao,Entao,Intao,Nntao,,,,,,,,,,,,,,,,,,,,,,
13.0,Case,CAS,Casas,Acaso,Bancas,Caso,casaes,Visigothicas,Cas-,Castro,,,,,,,,,,,,,,,,,,
14.0,Vede,Succedeu,Guedes,Crede,cederamn,,,,,,,,,,,,,,,,,,,,,,,
15.0,Creia,"Areia
cegas",Creio,Rei,Creia voc,Areia,,,,,,,,,,,,,,,,,,,,,,
16.0,Manches Lucena,Lucena,Manches lUcena,Sanches LUcena,Sanehes lUcena,,,,,,,,,,,,,,,,,,,,,,,
17.0,Balsas,CCrlptlsas,Ilalsuas,Cousas,,,,,,,,,,,,,,,,,,,,,,,,
18.0,sa face mis,Face,Faces,face,macedo,,,,,,,,,,,,,,,,,,,,,,,
19.0,Divino,divan,DIVIS,divinamentel,,,,,,,,,,,,,,,,,,,,,,,,
20.0,Claro-Sol,dcclaro,Est claro,C1 UI1 hu Claro ma,lamina clara da adega,Clara,,,,,,,,,,,,,,,,,,,,,,
21.0,cha-,Charneca,ha-de,apelrechar,Rocha,hrchanja,,,,,,,,,,,,,,,,,,,,,,
22.0,gloria,Alem-gloria,Santa-gloria,"ale-
gloria",,,,,,,,,,,,,,,,,,,,,,,,
