cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
0,Bispo,Ai,Ir,bIspo,,,,,,,,,,,,,,,,,,,,,,
1,Costa,N3,Arcos,PUxou,Costa ue,Encostou,,,,,,,,,,,,,,,,,,,,
2,sc eh0Passo,E0,N6s,assumpto,SC Io,Passou,io passeio,,,,,,,,,,,,,,,,,,,
3,Ramires,Ramires-,"Paio Ramires
Pe","Mendes
Hamires",ncio Ramires,"Glacial Mlecles
Iamires",Ramiros,Iamires,Ramiresl,"Remires
Es",des Ramires,,,,,,,,,,,,,,,
4,Joaquim da Porta,"Joaquim da
Ca",Joaquim da pArte,Joaquim da Porta noticias dos senhores,,,,,,,,,,,,,,,,,,,,,,
5,Fidalgo da Torre,Fidalgo da orro,Fidalgo la Torre,"Fidalga da
Torre","Fidalgo
la Torre","Fidalgo da
Torre",Fidalgo da Torr,"Fidalgo da Torre Mette
o Cavalleiro","Fidalgo
la Torre dshontol",,,,,,,,,,,,,,,,,
6,Casa dos Chzes,Expediao dos Pardais,Casa do Comercio,Scrpftu-,"langgr dos seus olhos humidos
amullecia coraes",IILLLSTIE CASA D DIMENS,largueza dos campos,,,,,,,,,,,,,,,,,,,
7,justificaya,Justiga,Justica,Ti16,Fic-,,,,,,,,,,,,,,,,,,,,,
8,sinha,lherzinha,s6,MAriquinhas,cstantosinha,SIN,cosinha,Audrcsinho,"Pinhal
de Estoevinha",1Minha,Gravinha,lgrejinha,azinhal,Graeinha,LYra,Yendinha,Minha,,,,,,,,,
9,bom it,pa,A2s,Bom Ieus.l,bom narr)lo,bom Jogo da,,,,,,,,,,,,,,,,,,,,
10,terra,Serras,Serra Moderna,sublerraneol,Terra,aterrado,Terras,Guerra-,lyra,,,,,,,,,,,,,,,,,
11,Santa Direita,Torre de anta Direita,dc sAnta Direita,Direita,Cavalleiros de Santa Direita,Tallan Honra de anta Direita,"Santa
Direita",Direita-,Santa Direita Iielmente,"santa
Direita",torre le Santa Direita,santa Direita,Santa-Direita,Santu Direita,,,,,,,,,,,,
12,Rico-,Misericordia,Arco-,Rico Homem,,,,,,,,,,,,,,,,,,,,,,
13,Pau-,hlss,V,"pau-
1",pau.n,,,,,,,,,,,,,,,,,,,,,
