cluster,elem_0,elem_1,elem_2,elem_3,elem_4
0.0,Limerick,Windermere,rich~,,
1.0,Britain,Spain,Great Britain,,
2.0,Agrippina,china,,,
3.0,London,LONDON,,,
4.0,Clara Novello,Portobello,Clara,,
5.0,Argyloshire,Argyleshire,Yorkshire,,
6.0,Holyrood,,,,
7.0,Srveran,Courant,Geranium,verde,
8.0,Score,Scotland,SCOTLAND,Shetland,
9.0,"Louis De
Crespigny",Louis de Crew-,Louis,piggy,
10.0,Adeline,DUBLIN,Caroline,Dublin,
11.0,St Cecilia,Julian,Australia,,
12.0,Granville,Clara Granville’s,"Clara Gran-
ville",Clara Granville,"Clara
Granville"
13.0,Kilmarnock,inn,Pinnock,,
14.0,"heart,—and","earth,—by","room,—a",,
15.0,Rosemount,Rosemount Villa,,,
16.0,Holyrood House,,,,
17.0,Highland,Ireland,England,GLASGOW,
18.0,Galloway,"quakers,—a",Tattersall,Doncaster,
19.0,Ernest,MoDERN,,,
20.0,Monsieur D’Ambereau,beaux,,,
21.0,Agnes,Agnes Dunbar,Dunbar,Agnes.,"Agnes
Dunbar"
22.0,Bibles,Charles,,,
23.0,Marion,parnell,Paris,,
