cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
-1,Providence,United Ser-,Laugh,Ernest,Windermere,juve-,Survival,Saul,Tattersall,Fife,Score,L,Sea,Canada,Courant,Galloway,"L.60,000",verde,Oxford,MoDERN,Edinburgh,"St
John’s Lodge",wi,Jacob,Portobello
0,Caroline,Adeline,,,,,,,,,,,,,,,,,,,,,,,
1,Dublin,DUBLIN,,,,,,,,,,,,,,,,,,,,,,,
2,Kelso,Melton,Israel,,,,,,,,,,,,,,,,,,,,,,
3,Srveran,Geranium,,,,,,,,,,,,,,,,,,,,,,,
4,Limerick,rich~,,,,,,,,,,,,,,,,,,,,,,,
5,Agnes,Agnes.,,,,,,,,,,,,,,,,,,,,,,,
6,Dunbar,"Agnes
Dunbar",Agnes Dunbar,,,,,,,,,,,,,,,,,,,,,,
7,parnell,Marion,Paris,,,,,,,,,,,,,,,,,,,,,,
8,Kilmarnock,Pinnock,inn,,,,,,,,,,,,,,,,,,,,,,
9,beaux,Monsieur D’Ambereau,,,,,,,,,,,,,,,,,,,,,,,
10,Hebe,Abbey,Henry,,,,,,,,,,,,,,,,,,,,,,
11,Agrippina,china,,,,,,,,,,,,,,,,,,,,,,,
12,Shetland,Scotland,SCOTLAND,,,,,,,,,,,,,,,,,,,,,,
13,Ireland,Highland,England,GLASGOW,,,,,,,,,,,,,,,,,,,,,
14,"earth,—by","heart,—and",,,,,,,,,,,,,,,,,,,,,,,
15,"quakers,—a","room,—a",,,,,,,,,,,,,,,,,,,,,,,
16,Clara Novello,Clara,,,,,,,,,,,,,,,,,,,,,,,
17,"Clara Gran-
ville",Clara Granville,Granville,"Clara
Granville",Clara Granville’s,,,,,,,,,,,,,,,,,,,,
18,Argyloshire,Argyleshire,Yorkshire,,,,,,,,,,,,,,,,,,,,,,
19,Charles,Bibles,,,,,,,,,,,,,,,,,,,,,,,
20,Leeds,nile,,,,,,,,,,,,,,,,,,,,,,,
21,Holyrood,Holyrood House,,,,,,,,,,,,,,,,,,,,,,,
22,St Cecilia,us,Julian,Australia,,,,,,,,,,,,,,,,,,,,,
23,LONDON,London,Doncaster,,,,,,,,,,,,,,,,,,,,,,
24,Great Britain,Britain,Spain,,,,,,,,,,,,,,,,,,,,,,
25,Rosemount Villa,Rosemount,,,,,,,,,,,,,,,,,,,,,,,
26,Louis de Crew-,"Louis De
Crespigny",ny,piggy,Louis,,,,,,,,,,,,,,,,,,,,
