cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Srveran,juve-,Survival,Canada,Courant,Israel,Geranium,,
1,Great Britain,Britain,Spain,Agrippina,rich~,,,,
2,Providence,Rosemount Villa,Rosemount,,,,,,
3,Holyrood,Holyrood House,"room,—a",,,,,,
4,Limerick,United Ser-,Windermere,Tattersall,verde,MoDERN,wi,,
5,Ernest,parnell,Kelso,Kilmarnock,Galloway,Paris,Portobello,,
6,Dunbar,"Agnes
Dunbar",Agnes,Agnes.,Oxford,Agnes Dunbar,,,
7,Fife,,,,,,,,
8,Clara Novello,"Clara Gran-
ville",Clara,Clara Granville,Granville,"Clara
Granville",nile,Clara Granville’s,
9,Louis de Crew-,"Louis De
Crespigny",ny,piggy,"St
John’s Lodge",Louis,,,
10,"earth,—by","quakers,—a","heart,—and",Henry,,,,,
11,LONDON,Melton,Marion,L,London,Doncaster,,,
12,"L.60,000",,,,,,,,
13,Charles,Argyloshire,Argyleshire,Leeds,Yorkshire,Bibles,,,
14,Laugh,Saul,Hebe,Sea,Abbey,beaux,Monsieur D’Ambereau,,
15,Shetland,Score,Ireland,Scotland,Highland,SCOTLAND,England,GLASGOW,Jacob
16,Caroline,Dublin,Adeline,DUBLIN,,,,,
17,St Cecilia,us,Julian,Australia,,,,,
18,Pinnock,Edinburgh,inn,china,,,,,
