cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Srveran,juve-,Survival,Canada,Courant,verde,Israel,Geranium,
1,Great Britain,Britain,Spain,,,,,,
2,Providence,Rosemount Villa,Rosemount,,,,,,
3,Holyrood,Holyrood House,"room,—a",,,,,,
4,LONDON,Melton,London,Doncaster,,,,,
5,Limerick,United Ser-,Windermere,Tattersall,MoDERN,wi,,,
6,Dunbar,Ernest,"Agnes
Dunbar",Agnes,Agnes.,Agnes Dunbar,,,
7,Caroline,Dublin,Edinburgh,Adeline,DUBLIN,china,,,
8,Fife,,,,,,,,
9,Clara Novello,"Clara Gran-
ville",Clara,Clara Granville,Granville,"Clara
Granville",nile,Clara Granville’s,
10,Shetland,Score,Ireland,Scotland,Highland,SCOTLAND,England,GLASGOW,Jacob
11,Louis de Crew-,"Louis De
Crespigny",ny,piggy,"St
John’s Lodge",Louis,,,
12,"earth,—by","quakers,—a","heart,—and",Henry,,,,,
13,Kilmarnock,Pinnock,Agrippina,inn,,,,,
14,L,,,,,,,,
15,Charles,Argyloshire,"L.60,000",Argyleshire,Leeds,Yorkshire,Bibles,,
16,Laugh,Saul,Hebe,Sea,Abbey,beaux,Monsieur D’Ambereau,,
17,parnell,Marion,rich~,Paris,,,,,
18,St Cecilia,us,Julian,Australia,,,,,
19,Kelso,Galloway,Oxford,Portobello,,,,,
