cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
-1,wy,hssty,Lancashire,IM,Ihresks,Ihther,
0,noiselesaly,Blesayoul,,,,,
1,creatura,RBen Sturgis,dra,Fura,,,
2,butnewe,tn,Weltl,,,,
3,La n.s,pasrl,"na pa
ut",,,,
4,sls,plsy,thls,,,,
5,Davenport,Liverpool,,,,,
6,"morn-
intg church",moro,,,,,
7,erie,riech,grieva,ns nevar,,,
8,Io,sf ks-makie.,Iob Iegh,,,,
9,Manchester,chester,Manchestes,,,,
10,Waterloo,the United States,YlO,Yates,,,
11,symnathy,mn,Diclhy,,,,
12,denr,hennd,nndenr,,,,
13,Halifh,Halifax,Lifa,CALIFORNIA,Hlalifix,palin,
14,thou,Abont,Thon,Thou,,,
15,Hrton,lgitor--,eOh,tOh,,,
16,inn,Iamished,nnguish,,,,
17,"L
II",WiIl,Ild,XXXIII,wi,CnotaIin,ths ilark
18,mannar.,anl,Canada,,,,
19,Samaritan,comarison,,,,,
20,informatiaon,Miry,Miary,Infirmary,hMary,,
21,Nc,enceh,,,,,
22,peid,pece,,,,,
