cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,Waterloo,YlO,Liverpool,wy,pasrl,,,,,
1,peid,pece,,,,,,,,
2,IM,,,,,,,,,
3,creatura,dra,Fura,RBen Sturgis,,,,,,
4,Abont,informatiaon,Infirmary,moro,,,,,,
5,Halifh,CALIFORNIA,Halifax,Hlalifix,Lifa,palin,,,,
6,Diclhy,symnathy,mn,,,,,,,
7,Io,Iob Iegh,,,,,,,,
8,Davenport,hennd,nndenr,denr,nnguish,inn,,,,
9,anl,Canada,comarison,Samaritan,mannar.,,,,,
10,"na pa
ut",tn,butnewe,Weltl,,,,,,
11,Lancashire,enceh,Nc,,,,,,,
12,thls,plsy,sls,,,,,,,
13,Ihresks,Yates,Manchester,"morn-
intg church",noiselesaly,the United States,Manchestes,hssty,Ihther,chester
14,CnotaIin,"L
II",Ild,XXXIII,wi,WiIl,,,,
15,Miry,hMary,Iamished,Miary,,,,,,
16,Thon,thou,Blesayoul,Thou,,,,,,
17,riech,grieva,sf ks-makie.,erie,,,,,,
18,ths ilark,La n.s,ns nevar,,,,,,,
19,lgitor--,Hrton,eOh,tOh,,,,,,
