cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,thou,symnathy,YlO,Thon,Thou,Ihther,,
1,Manchester,hssty,chester,Manchestes,anl,,,
2,sls,plsy,thls,,,,,
3,noiselesaly,Blesayoul,,,,,,
4,Halifh,Halifax,Lifa,CALIFORNIA,Diclhy,Hlalifix,palin,
5,wy,erie,Liverpool,sf ks-makie.,riech,grieva,,
6,"morn-
intg church",Abont,moro,,,,,
7,informatiaon,Waterloo,the United States,Yates,Ihresks,,,
8,"L
II",WiIl,Ild,XXXIII,wi,CnotaIin,ths ilark,
9,mn,butnewe,tn,Weltl,,,,
10,Io,Iob Iegh,,,,,,
11,Iamished,nnguish,,,,,,
12,peid,pece,,,,,,
13,Lancashire,Nc,enceh,IM,,,,
14,creatura,RBen Sturgis,dra,Fura,,,,
15,Hrton,lgitor--,eOh,tOh,,,,
16,denr,inn,hennd,Davenport,nndenr,,,
17,mannar.,Miry,Samaritan,comarison,Miary,ns nevar,Infirmary,hMary
18,La n.s,pasrl,Canada,"na pa
ut",,,,
