cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,mannar.,Manchester,Blesayoul,hennd,Liverpool,Lancashire,Iob Iegh,chester,Manchestes,Fura
1,wy,Miry,pasrl,dra,,,,,,
2,erie,riech,grieva,Canada,,,,,,
3,peid,hssty,CnotaIin,ths ilark,,,,,,
4,mn,Diclhy,Weltl,,,,,,,
5,"morn-
intg church",Abont,YlO,Davenport,plsy,Ihther,,,,
6,thou,lgitor--,Thon,Iamished,RBen Sturgis,Thou,,,,
7,Waterloo,the United States,Yates,,,,,,,
8,denr,WiIl,nnguish,eOh,Nc,,,,,
9,sls,"L
II",creatura,Ild,,,,,,
10,Halifh,Halifax,symnathy,Lifa,CALIFORNIA,IM,Hlalifix,Ihresks,palin,
11,informatiaon,Hrton,sf ks-makie.,pece,XXXIII,moro,,,,
12,inn,Io,tn,nndenr,,,,,,
13,noiselesaly,La n.s,enceh,anl,wi,,,,,
14,Samaritan,comarison,thls,Miary,ns nevar,Infirmary,hMary,"na pa
ut",,
15,butnewe,tOh,,,,,,,,
