cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0.0,quaes,Quauto,puae,quawo,,,,,,,,,,,,,,,,,,
1.0,Rohoredo,Credol,gloho,Roloredo,crredor,arredoun,,,,,,,,,,,,,,,,
2.0,Quetino,"ule-
tino",quet,"Quieutino-sguro-ll
u",Eti,,,,,,,,,,,,,,,,,
3.0,bom rir,om fogo,Valbom,,,,,,,,,,,,,,,,,,,
4.0,Vae,Vae-me,vae,"t
vae",vae;-,,,,,,,,,,,,,,,,,
5.0,Luizn,Luiza,lLuiz,alui,,,,,,,,,,,,,,,,,,
6.0,ialle,Iallou,Iallo,Ialle,"Allen-
nha",ialleneia,,,,,,,,,,,,,,,,
7.0,Peel,Meel,pee.-,peeurls9,,,,,,,,,,,,,,,,,,
8.0,possiel,Ipossiveis,Fiel-,inipossiel,Posso,sieu,"obieets de
impossivel enumeracio",,,,,,,,,,,,,,,
9.0,ibeira,Ribeira,Queira,tonselheira om,traicoeira emboscada,engommadeira,ligeirama,Inaneira,bein,,,,,,,,,,,,,
10.0,NAMILI INGLEZA,IM RAMILI INGLEZA,"RAILI INGLEZA1
Phrase insignilicante",MA FAMIILI INGLEEA,MA RMIIL.I IN6LEZA,PILI INGLEZA,"IILI INGLIEZIA
3I",PAMILI INGLBEA,"FAMILI1 INGLEIA
hem fraca",ILI INCLEZA,"FMILI INGLEZA
3s
p","MA AMILI INGLEEA
I1",,,,,,,,,,
11.0,thesouro dos,procisso dos,lerro d0,"secco dos
annuncios",cmpo dos alliados,Douro,ro ee,,,,,,,,,,,,,,,
12.0,Deculpa,cujn decurso,Ecuto,ulpis2,,,,,,,,,,,,,,,,,,
13.0,Eituam,Itu-,ctltsz,"r nals
poeurdo nelos capitualisis",lloem huabituado,"torminara
leitur",sist r aceitur,,,,,,,,,,,,,,,
14.0,Cecilia,Queira sentar-se-disse Cecilia,Cvecilia,Cecilio,Cecili,Cecilias,ecilia,Ccecilin,Cecilin,proscguiuCecilia,Cecilii,NEo2-interrogou Cecilia,Ioss Cecilia,"di
Cecilia",Gecilia,cecilia,Cecilit,,,,,
15.0,Yimol-a,Proeuremol-a,Seguimol-a,,,,,,,,,,,,,,,,,,,
16.0,Achilles,"escudo de
Achilles",Boxhill,Cachimbo,,,,,,,,,,,,,,,,,,
17.0,escripl,escripturaco d0s liro,"dcscripes de
desastraes",descripgao,quc,ul co  escripiuicao,escripluragao,Escriplura,escripturaeo?-,escriporio,escript,,,,,,,,,,,
18.0,therolyic,perola,"Dos Theriakisl
Horror",Igather,,,,,,,,,,,,,,,,,,
19.0,soare,dislfuarear,Gabarem,tarelas,roar  salao,,,,,,,,,,,,,,,,,
20.0,"taio de madrugadal
-Encarreguei-me",Encarrego,encardenagi5es,go otuir tma carrugem,rreganhol,,,,,,,,,,,,,,,,,
21.0,Anniaha,nia,extrenia,Anlnia,niaiee:.;gEE,nia o er,genia,,,,,,,,,,,,,,,
22.0,Eramn,Deramn,ramp,,,,,,,,,,,,,,,,,,,
23.0,iralaho honridao,Honris,iralaho,,,,,,,,,,,,,,,,,,,
24.0,Frana,canar,Franea,Iiana,fra,,,,,,,,,,,,,,,,,
25.0,Decnnsa,cnntigs,Nns,,,,,,,,,,,,,,,,,,,
26.0,cilia,Cilil,Cccilia,"Ce-
cili",Cucilia,Cncilia,Ccilia,Cocilia,,,,,,,,,,,,,,
27.0,timilez,Ile,Ilein,senilee,Ilesnl,haile,Ilepaniha,Ioriiles,Ilesciai,milenor,Agilem,Ilem,,,,,,,,,,
28.0,Pennot,Emfim,panno,penna,Pennor,,,,,,,,,,,,,,,,,
29.0,anle,Anl,duranle,instanle,pensanlento,egocianle,melianle,,,,,,,,,,,,,,,
