cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0,bom rir,g-,Valbom,"oe
nrir",,,,,,,,,,,,,,,,,,
1,iri,gloho,Irins,"u2-
recairi",virinde,,,,,,,,,,,,,,,,,
2,Iniar,irginia,puae,ainia,ne opinia .es,,,,,,,,,,,,,,,,,
3,Luizn,Luiza,lLuiz,alui,prr,,,,,,,,,,,,,,,,,
4,ialle,Iallo,Salles,mae,f6ra,Ialle,"Allen-
nha",ialleneia,Iallira,,,,,,,,,,,,,
5,possiel,Ipossiveis,Fiel-,iiyp,inipossiel,Posso,sieu,"obieets de
impossivel enumeracio",,,,,,,,,,,,,,
6,ibeira,Mr,verdudeira,Ribeira,Queira,tonselheira om,traicoeira emboscada,engommadeira,ligeirama,Inaneira,a2,,,,,,,,,,,
7,thesouro dos,procisso dos,lerro d0,"secco dos
annuncios",cmpo dos alliados,Douro,ro ee,,,,,,,,,,,,,,,
8,le,Deculpa,Decnnsa,cujn decurso,Ecuto,,,,,,,,,,,,,,,,,
9,Cecilia,Queira sentar-se-disse Cecilia,Cvecilia,Cecilio,Cecili,Cecilias,ecilia,Mns,Ccecilin,Cecilin,proscguiuCecilia,Cecilii,NEo2-interrogou Cecilia,Ioss Cecilia,"di
Cecilia",Gecilia,cecilia,Cecilit,,,,
10,Yimol-a,Proeuremol-a,issol-A,Seguimol-a,,,,,,,,,,,,,,,,,,
11,Achilles,O0,"escudo de
Achilles",Boxhill,Cachimbo,,,,,,,,,,,,,,,,,
12,escripl,escripturaco d0s liro,"dcscripes de
desastraes",descripgao,ul co  escripiuicao,escripluragao,Escriplura,escripturaeo?-,escriporio,escript,,,,,,,,,,,,
13,s6 d'elles,casa d'elle,nenhmm d'elles,1E,submersaio d'elles,encurreg-me d'ella,d'elle,,,,,,,,,,,,,,,
14,therolyic,perola,"Dos Theriakisl
Horror",Igather,,,,,,,,,,,,,,,,,,
15,soare,dislfuarear,Gabarem,tarelas,Ig,XXKYV-,ionare,,,,,,,,,,,,,,,
16,"taio de madrugadal
-Encarreguei-me",Encarrego,encardenagi5es,arrauca,go otuir tma carrugem,rreganhol,,,,,,,,,,,,,,,,
17,nia,Anlnia,niaiee:.;gEE,e:-,nia o er,genia,,,,,,,,,,,,,,,,
18,Eramn,Deramn,ramp,examne,,,,,,,,,,,,,,,,,,
19,Frana,canar,sc,Franea,fra,,,,,,,,,,,,,,,,,
20,fanilia,cilia,Cilil,Cccilia,"Ce-
cili",Cucilia,Cncilia,Ccilia,U AILIA,Ruy,Cocilia,,,,,,,,,,,
21,timilez,Ile,Ilein,pu,senilee,Ilesnl,haile,Ilepaniha,Ioriiles,milenor,ii,Agilem,Ilem,,,,,,,,,
22,Pennot,panno,penna,Pennor,Bu,,,,,,,,,,,,,,,,,
