cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,Vois,L’,Voilà,Cavois,Dubois,,,,,,,,,,
1,tour,toul,tourménter,J2À.,douai,Tout-à-coup,Tours,Journée,,,,,,,
2,MAis-,Sis-,Mais-,Jaquais,aimais,sais,jaMais-,Jamais,,,,,,,
3,Voyez,sayez,Croyez-,Moyenbrie,,,,,,,,,,,
4,ellE,quellesil,Klle,tonnelle,Élle,brielle,el,Etle,Fayel,Tcielle,Ellé,crièreni-elles,Quelle,,
5,Lameth,Lamibeït,Bussy-Lameth,Larneth,Lamethr,Mets,Aussi-Lameth,Plût,A,,,,,,
6,CHATEAU DE PINON,CHATTAU DE PINON,CHATEAU DÉ PINON,"ON ee mere

ee age me

126 LE CHATEAU DË PINON",CHATEAU DE,CHÂTEAU DE PINON,GHATEAË DE,GHAÏEAU DE BINON,CHATEAU DE PIFON,CHATEAU,CHATEAU DE BINON,CHATEAU DE PENON,CHATEAU DE PIKON,LE CHÂTEAU DE PINON,CHATEUA DE PINON
7,mademoiselle,b59,Mademoiselle,Mesdemoiselles,Made-,t’,proménade,moiselle,,,,,,,
8,séduire,Suivrez,sès,Sire,Cédéz,,,,,,,,,,
9,Cour,Courval,cousine ger-,Couey,Jour,cOurage,Hennecourt,Lanissecourt,Heudicourt,Coucy,Mothe-Houdancourt,Couëy,,,
10,Albret,breF,"AI-

bret",j’,N|,Retz,,,,,,,,,
11,maine,Émineñce,palais de la reine,Devinez,Madainè,Eh,Fontainebleau,,,,,,,,
12,Ouest,Est,"de

Est",St,Majesté,Estrées,,,,,,,,,
13,moi,Garde-moi,MOI,Choi-,,,,,,,,,,,
14,Beaupré,Dangeau,GEAR,mmaudant,,,,,,,,,,,
15,As-tu parlé,perlé,Orléans,perle,LÉ,,,,,,,,,,
16,Väimera,subjügüer,la Porte,supporterai,po,Manquerai,,,,,,,,,
17,La Vallière,"Haï-
val",Derrière,"49

Vallière",Lavallère,baïlli,,,,,,,,,
18,—- J',J',,,,,,,,,,,,,
19,Ursulines,Bouvines,couvent des Ursulines,,,,,,,,,,,,
20,Rochefort,|,Hautefort,Cherche,Rochetort,,,,,,,,,,
21,AIMÉE JUSQU'A LA MORT,La Mothe,Mothe,,,,,,,,,,,,
22,125,Adien,vienne,Normandie,adIeu,,,,,,,,,,
23,Pinon,PINON,PINOX,Noñ,dePinon,PINON.-,M|,,,,,,,,
24,jura,Ilaura,Lauzun,,,,,,,,,,,,
25,Ga-,Na-,matu,Cria-,Ma-,Pa-,Ja-,,,,,,,,
26,m-,s’,,,,,,,,,,,,,
27,qu’,D,Quincy,vêque,,,,,,,,,,,
28,Dis=,pälissant,vis-à-,Is,"Hon-

gris",Venise,YISEON,Paris,Puisqu,Choïisissez-enNemi,blis,,,,
29,Îls,Îlme,L|,,,,,,,,,,,,
30,IL,Etil,Etils,Nsetut,,,,,,,,,,,
31,"madaMe 

Corcy",Corcy,"237

— Encore",,,,,,,,,,,,
32,"église

— Certainement",Parfaitement,Hement,Comment,,,,,,,,,,,
33,"Écu

de France",tyranme,la France,Cour de France,Écu de France,Providence,de France,France,M,"Cour de France dans.le vieux
château de François",,,,,
34,écuriés,Thurin,l.,CU,,,,,,,,,,,
35,"repliqua Pi-

326",Pi-,Hui-,d’,,,,,,,,,,,
36,Houx,houx,,,,,,,,,,,,,
37,sainT,Chapelain,auberge de Saint-Gabriel,Maintenant,rue Saint-Honoré,Saint,Terre-Sainte,Saint-Jean-d'Ancre,Saint-Quentin,Rhin,,,,,
38,Soyons,SOISSONS,Sissone,Soissons,,,,,,,,,,,
39,Trouvez-,Avez,Venez,avac,Savez,,,,,,,,,,
40,Flandre,Vousprendrez,Fépondre,rendré,Tarenie,Rentrée,,,,,,,,,
41,N E,pp ee Emme,| ET—,j-,,,,,,,,,,,
42,italie,FautAl,Faut,,,,,,,,,,,,
43,MOn Beau-père,Causa,au-,| Pauvre,,,,,,,,,,,
44,abbaye de Prémoniré,selle de Roucy,continua M. de Roucy,Mademoiselle de Roucy,chambre de mademoiselle de Roucy,moiselle de Roucy,TE Se,Roucy,,,,,,,
45,Je,JE,P,,,,,,,,,,,,
46,"théâtre de
Oreille",Surveillée,Ilen,mérveille,soleil,,,,,,,,,,
47,château de Fayel,Versailles,château de Versailles,lüi,"château
de Versailles",ae Ven nae,,,,,,,,,
48,Carrousel,Ver-,verroux,verras,Rou-,,,,,,,,,,
49,Etsi,piers,Villers-Cotterets,Villers-Cotierets,Villeroi,,,,,,,,,,
50,sion,"va-
sion",Passionnément,,,,,,,,,,,,
51,Prononcez,Laon,pIXON,Hon-,Desmonté,Chavignon,confianée,ON,Monsei-,c1,Rémond,Noyon,,,
52,Roï,croisée,Crois-tu,cRois,,,,,,,,,,,
53,Gardez,Picarde,Picardie,,,,,,,,,,,,
54,Bussy-La-,M. de Bussy,Bussy-Laméth,"M. de
Aussi",Bussy,"Bussy
d'Amboise",Arquebuse,nôus,,,,,,,
55,sallon,Allons,fallüt,postillon,,,,,,,,,,,
56,PEL TE,I,A TE,,,,,,,,,,,,
57,Chaïlés,chard,Tonnay-Charente,Char-,Piéhard,Argus,,,,,,,,,
58,Mouy,mouy,,,,,,,,,,,,,
59,Mortagne,Pignerol,Craignez,Allemagne,gne,Bourgogne,,,,,,,,,
60,"auberge

de la Croix-Blanché",Croix-Blanché,Croïx-Blanche,,,,,,,,,,,,
61,Clany,Vivant,continua-t,galantin,,,,,,,,,,,
62,pagna,sur-le-champ,Champagne de Navarre,Espagne,Champagne,,,,,,,,,,
63,jéunesse,"com-

-

tesse",iesse,"| -
Vers le soir la comtesse",Fiesque,La!comtesse,Abbesse,,,,,,,,
64,Bohémiens,gie,Imsensée,miens,Conscience,Enfer-,,,,,,,,,
65,Ramasse,passe-t-1l,1l,Chose-,LT Pas,,,,,,,,,,
66,Cossé,AS,Lassée,,,,,,,,,,,,
67,CHATAU,AÀ,Côté,CHATÉAU,LE.CHATFAU,,,,,,,,,,
68,Votre,Fêtre,Lambertremit,étre,,,,,,,,,,,
69,Henrietie,Henneite,terie,riette,CettE,Attends,Delette,Henriette,,,,,,,
