cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,Vois,Voilà,Cavois,Dubois,,,,,,,,,,,,
1,tour,toul,tourménter,Tout-à-coup,N|,Tours,Jour,Peur,Journée,Nousdemeureronstouteslesdeux,meuré,,,,,
2,ellE,quellesil,PEL TE,Klle,tonnelle,Élle,brielle,el,Etle,ainsi-le-Hôtel,Tcielle,Delette,Ellé,crièreni-elles,Quelle,
3,Lameth,Lamibeït,Bussy-Lameth,Larneth,Lamethr,Mets,c1,Aussi-Lameth,,,,,,,,
4,CHATEAU DE PINON,CHATTAU DE PINON,CHATEAU DÉ PINON,"ON ee mere

ee age me

126 LE CHATEAU DË PINON",CHATEAU DE,CHÂTEAU DE PINON,Chavignon,GHATEAË DE,GHAÏEAU DE BINON,CHATEAU DE PIFON,CHATEAU DE BINON,CHATEAU DE PENON,CHATEAU DE PIKON,LE CHÂTEAU DE PINON,CHATEUA DE PINON,
5,mademoiselle,Mademoiselle,125,Mesdemoiselles,Made-,Demandes,moiselle,,,,,,,,,
6,séduire,m’,Suivrez,Sire,Cédéz,,,,,,,,,,,
7,Cour,Courval,Cossé,Couey,cOurage,Hennecourt,Lanissecourt,Heudicourt,Coucy,Mothe-Houdancourt,Couëy,léur,,,,
8,Albret,breF,"AI-

bret",Retz,,,,,,,,,,,,
9,Pinon,PINON,PINOX,Pi-,Noñ,dePinon,PINON.-,j-,Noyon,,,,,,,
10,la Porte,AIMÉE JUSQU'A LA MORT,L’,supporterai,po,A TE,,,,,,,,,,
11,Ouest,Est,"de

Est",St,Majesté,Estrées,,,,,,,,,,
12,moi,Garde-moi,MOI,Choi-,,,,,,,,,,,,
13,Je,Lejeune,JE,,,,,,,,,,,,,
14,Beaupré,Dangeau,GEAR,mmaudant,vingtans,,,,,,,,,,,
15,perlé,Orléans,perle,LÉ,,,,,,,,,,,,
16,La Vallière,"repliqua Pi-

326","Haï-
val",Derrière,"49

Vallière",Lavallère,baïlli,,,,,,,,,
17,Rochefort,Hautefort,Cherche,Rochetort,M|,,,,,,,,,,,
18,La Mothe,Mothe,P,J,,,,,,,,,,,,
19,Adien,gie,Normandie,adIeu,adorable Hen.,L|,,,,,,,,,,
20,jura,Ilaura,Lauzun,Plût,,,,,,,,,,,,
21,Ga-,Na-,matu,Cria-,Ma-,Pa-,Ja-,,,,,,,,,
22,Dis=,Sis-,pälissant,vis-à-,Is,Venise,sais,Paris,Puisqu,Choïisissez-enNemi,blis,,,,,
23,Väimera,AÀ,Îls,Îlme,I,,,,,,,,,,,
24,IL,Etsi,Etil,Etils,postillon,Nsetut,,,,,,,,,,
25,"madaMe 

Corcy",Corcy,"237

— Encore",,,,,,,,,,,,,
26,Voyez,b59,Causa,sayez,Croyez-,Fayel,M,,,,,,,,,
27,"église

— Certainement",Parfaitement,Hement,Séulemiënt,Passionnément,,,,,,,,,,,
28,"Écu

de France",tyranme,la France,Cour de France,Écu de France,Providence,de France,France,"Cour de France dans.le vieux
château de François",,,,,,,
29,D,écuriés,t’,Thurin,CU,,,,,,,,,,,
30,sainT,Chapelain,maine,Maintenant,rue Saint-Honoré,Saint,Terre-Sainte,galantin,Madainè,Saint-Jean-d'Ancre,Saint-Quentin,Fontainebleau,Ainsi,Rhin,,
31,—- J',J',,,,,,,,,,,,,,
32,Lopison,Soyons,SOISSONS,Sissone,Soissons,lüi,,,,,,,,,,
33,subjügüer,cousine ger-,s’,Ver-,verroux,verras,Enfer-,,,,,,,,,
34,Avez,Venez,avac,Savez,,,,,,,,,,,,
35,Flandre,Vousprendrez,Fépondre,rendré,Rentrée,,,,,,,,,,,
36,abbaye de Prémoniré,"théâtre de
Oreille",selle de Roucy,auberge de Saint-Gabriel,continua M. de Roucy,Champagne de Navarre,Mademoiselle de Roucy,chambre de mademoiselle de Roucy,moiselle de Roucy,palais de la reine,TE Se,proménade,,,,
37,N E,pp ee Emme,| ET—,ae Ven nae,,,,,,,,,,,,
38,italie,FautAl,Faut,fallüt,,,,,,,,,,,,
39,Surveillée,Ilen,mérveille,soleil,,,,,,,,,,,,
40,château de Fayel,Versailles,château d'Ainsi,château de Versailles,"château
de Versailles",,,,,,,,,,,
41,piers,Villers-Cotterets,Villers-Cotierets,Villeroi,,,,,,,,,,,,
42,sès,,,,,,,,,,,,,,,
43,MAis-,Mais-,Jaquais,aimais,jaMais-,Jamais,,,,,,,,,,
44,MOn Beau-père,Prononcez,Laon,pIXON,Hon-,"Hon-

gris",sallon,continua-t,YISEON,confianée,sion,ON,Allons,"va-
sion",Monsei-,Rémond
45,croisée,Crois-tu,cRois,,,,,,,,,,,,,
46,Gardez,Picarde,Picardie,,,,,,,,,,,,,
47,m-,Le - Une,Comptez,"com-

-

tesse","| -
Vers le soir la comtesse",La!comtesse,,,,,,,,,,
48,qu’,|,Manquerai,vêque,Fiesque,,,,,,,,,,,
49,Bussy-La-,M. de Bussy,Bussy-Laméth,"M. de
Aussi",Bussy,"Bussy
d'Amboise",Arquebuse,nôus,Argus,,,,,,,
50,sur-le-champ,Chaïlés,chard,Tonnay-Charente,Adorable Charlotte,chavannes,Char-,Piéhard,,,,,,,,
51,Mouy,mouy,,,,,,,,,,,,,,
52,Mortagne,Pignerol,pagna,Craignez,Émineñce,Espagne,Devinez,Allemagne,gne,Champagne,Bourgogne,June,,,,
53,Clany,"auberge

de la Croix-Blanché",J2À.,Croix-Blanché,Croïx-Blanche,,,,,,,,,,,
54,l.,,,,,,,,,,,,,,,
55,Bohémiens,vienne,Tarenie,Imsensée,miens,Conscience,,,,,,,,,,
56,Ramasse,passe-t-1l,Lassée,1l,Chose-,,,,,,,,,,,
57,CHATAU,CHATEAU,Côté,d’,CHATÉAU,LE.CHATFAU,,,,,,,,,,
58,Votre,Fêtre,Lambertremit,noîre,étre,bure,,,,,,,,,,
59,Houx,houx,,,,,,,,,,,,,,
60,sou,douai,Louis-le-Grand,Jui,Hui-,Quincy,Oui,Louison,,,,,,,,
61,Henrietie,Henneite,terie,riette,CettE,Attends,Henriette,,,,,,,,,
62,jéunesse,longues,Grâces,Cerbères,dese,gesie,Desmonté,Carmélites,Aucunes,Îles,iesse,"Ai-
y. Les lumières",Abbesse,ES,jardin des Hespérides,Maures
63,Où,Où voulez,,,,,,,,,,,,,,
64,Anisy,Anizy,Vivant,nir,Aniy,,,,,,,,,,,
65,As-tu parlé,j’,AS,| Pauvre,LT Pas,,,,,,,,,,,
66,Moyenbrie,homrie,raccommoda,Comrient,Comment,,,,,,,,,,,
67,nature.de,A,Cœur-de-Roy,M.CŒur-de-Roy,,,,,,,,,,,,
68,Ursulines,Bouvines,Eh,couvent des Ursulines,,,,,,,,,,,,
69,Acceptez,Écoutez,Partez,Jo-,lout,Ajoutez,,,,,,,,,,
70,Roï,Carrousel,Trouvez-,au-,Roucy,Rou-,,,,,,,,,,
