cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135,elem_136,elem_137,elem_138,elem_139,elem_140,elem_141
-1,P,AIMÉE JUSQU'A LA MORT,Quincy,Jo-,Le - Une,1l,Mortagne,Imsensée,douai,J2À.,M. de Bussy,italie,sou,palais de la reine,Où voulez,Carrousel,sès,m-,Craignez,"ON ee mere

ee age me

126 LE CHATEAU DË PINON",galantin,tonnelle,Cria-,longues,château de Fayel,Fayel,Dubois,Côté,vingtans,125,Ellé,Conscience,écuriés,Jui,"237

— Encore",Où,Tarenie,N|,Väimera,aimais,Moyenbrie,Prononcez,Nousdemeureronstouteslesdeux,Émineñce,Carmélites,Attends,"théâtre de
Oreille",Puisqu,b59,l.,Partez,Madainè,fallüt,sur-le-champ,tyranme,Larneth,château d'Ainsi,proménade,Mothe-Houdancourt,| ET—,d’,auberge de Saint-Gabriel,piers,I,CHATEAU,Cédéz,lüi,subjügüer,t’,Lanissecourt,vienne,maine,confianée,CU,Séulemiënt,po,Desmonté,Henneite,pp ee Emme,"Haï-
val",ae Ven nae,Rentrée,Chapelain,j’,Made-,Chaïlés,Jaquais,Allemagne,nir,Demandes,baïlli,Rou-,L|,Trouvez-,CHATEUA DE PINON,Roï,gie,GHATEAË DE,sais,Rhin,Hennecourt,M,Îles,D,lout,AÀ,YISEON,Tout-à-coup,cousine ger-,crièreni-elles,c1,M|,Choïisissez-enNemi,Pignerol,Vivant,brielle,Derrière,Fontainebleau,A,L’,Hui-,gesie,Suivrez,Thurin,Eh,m’,Normandie,el,Paris,s’,Venez,"Bussy
d'Amboise","M. de
Aussi",TE Se,terie,Providence,j-,N E,J,|,Plût,Orléans
0,Lopison,Louison,Louis-le-Grand,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ON,pIXON,Laon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Dis=,Is,pälissant,Venise,blis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MAis-,Mais-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Jamais,jaMais-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Maintenant,sainT,Saint-Quentin,Saint,rue Saint-Honoré,Terre-Sainte,Saint-Jean-d'Ancre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,vis-à-,Sis-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Croix-Blanché,Croïx-Blanche,"auberge

de la Croix-Blanché",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fépondre,Flandre,Clany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
