cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0,Street,Yee,Bow Street,Smart Street,Curzon Street Chapel,Areecss,Friar Street,Regent Street,Stratton Street,West Street,King Street,Gerrard Street,Whitecross Street,Jeemetries,St. John-street,Pitfield Street,Essex Street,Whiteoross Street,"Jermyn
Street",Ada Street,Gracechurch Street,Jermyn Street,Rennets,
1,Cambridge,Knightsbridge,Judges,Cambridgeshire,,,,,,,,,,,,,,,,,,,,
2,District,Jur district,Belect Vestry,trois,Sesostris,St. Patrick,arctic,Victoria,Hurrict,,,,,,,,,,,,,,,
3,Crockey,Pocket,Jock,Turkey,Crankey,Scrofula,,,,,,,,,,,,,,,,,,
4,East,"the

 

 

 

   

    

 

 

 

 

  

 

 

 

  
  
 

 

 

   

 

 

Railway east",deceasod,nfoleastere,BREAKFAST,Belfast,Breakfast,Hastings,Strasburg,Eastern Lon-,Eastern Counties Railway,,,,,,,,,,,,,
5,Kentish,Aurentin,Kent,"Kentish
Town",Bishops-,"Kentish

'","Qavendish
Square",Kentish Town,British Isles,,,,,,,,,,,,,,,
6,isu,disquisl-,Isubel,Israel,Suez,supp.y,his’n,Surah,,,,,,,,,,,,,,,,
7,IU,Vesuvius,Friuli,Piumptre,,,,,,,,,,,,,,,,,,,,
8,Bir,Birchin,Biihe,Biimself,Birmingham,Bird-Cage Walk,,,,,,,,,,,,,,,,,,
9,Us,Tuscany,Illustrious,Aus,uso,Busby,Venus,Janus,Gradus,Louse,Ausband,houso,Tus,us,"justice,—I",indus,,,,,,,,
10,Castelcicala,Castelicicala,Casteletcala,telcicala,Castelricala,Casielcicala,Eustelicala,Custeleicala,Castel,Jastelcicala,the Grand Duchy of Castelcicala,Castcleicala,Castolcicala,Custelcicala,Casteicicala,Elica,Castelelcala,Casteleicala,Castolcicalan,Icast,"Castel
Gicala",Calcutta,the State of Castelcicala,
11,the Zin,the Herne Bay,"the New
Road",Herne Bay,the Tower Hamlets,"the samo
day!",the Old Jewry,the Emerald Isle,the Duke of York,,,,,,,,,,,,,,,
12,Naples,Temple,NAPLES,SxLP,,,,,,,,,,,,,,,,,,,,
