cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20
0.0,admira,Madeira,aspirati,Mira,,,,,,,,,,,,,,,,,
1.0,differont,Gifferent,Buffer,jiffey,,,,,,,,,,,,,,,,,
2.0,Mossop,passod,Ossoro,Jessop,by'a posse,Ossore,Jossica,,,,,,,,,,,,,,
3.0,the United States,Romau States,Ab!—the United States,"inmates,—a","the United
States",,,,,,,,,,,,,,,,
4.0,Britain,British Isles,Tainps,Great Britain,,,,,,,,,,,,,,,,,
5.0,Dover,Zove,overa,Ver~,Hanover,Govern-,Sovereigns,,,,,,,,,,,,,,
6.0,sont,prosont,Dawson,,,,,,,,,,,,,,,,,,
7.0,Gibbs,Gibbet,,,,,,,,,,,,,,,,,,,
8.0,Transylvania,Vanity,,,,,,,,,,,,,,,,,,,
9.0,Jersey,perseroro,Wrsed,,,,,,,,,,,,,,,,,,
10.0,Zingary,Zingarees,Hungary,Zinyary,King Zingary,Zingarces,Zingaress,,,,,,,,,,,,,,
11.0,Saint Theodosia,St. Theodosia,Saint Theo-,Saint Theodosla,,,,,,,,,,,,,,,,,
12.0,Castelcicala,Casielcicala,Casteicicala,the State of Castelcicala,telcicala,Eustelicala,Castolcicala,"Castel
Gicala",Castolcicalan,Castelricala,Jastelcicala,Castelicicala,Custelcicala,the Grand Duchy of Castelcicala,,,,,,,
13.0,"thelr cave,—Hunt",thun,thelr disposi-,thelr marble representa,,,,,,,,,,,,,,,,,
14.0,Rotterdam,Intter,Amsterdam,,,,,,,,,,,,,,,,,,
15.0,Eliza Sydney,Eliza Ssducy,Pliza Sydney,Sydney,Elizabethan,ELIZA SYDNEY,Eliza Syduey,Putney,Miza,,,,,,,,,,,,
16.0,Meriag,Fiago,Miss.,Redeemer,Mesmerists,Algeria,,,,,,,,,,,,,,,
17.0,St. David's,Saint David's,"St, David’s",,,,,,,,,,,,,,,,,,
18.0,wasa,pasa,mo asa,,,,,,,,,,,,,,,,,,
19.0,Bayswater,Waterloo,Waterford,swan,,,,,,,,,,,,,,,,,
20.0,Gaétano,tanh Jady,plano,eompértancé,Satan,Bazzano,,,,,,,,,,,,,,,
21.0,polish’d,Englishinen,polis,Lis,Bishops-,,,,,,,,,,,,,,,,
22.0,Prisons,sonses,Aprit,Imprisonment,,,,,,,,,,,,,,,,,
23.0,PanaDisE,Paradise,Panama,,,,,,,,,,,,,,,,,,
24.0,Fington,Mount Wellington,Newington,Wellington,Aruington,Kensington,Islington,Warrington,ARLINGTON,Arlington,Warringtoa,,,,,,,,,,
25.0,Walmer Churchyard,Church,Walmer,,,,,,,,,,,,,,,,,,
26.0,nota,Nota,Notan,,,,,,,,,,,,,,,,,,
27.0,"daughter,—to","Jupiter,—Leda","monster,—I",Hight,Faugh,,,,,,,,,,,,,,,,
28.0,Oberland,Cumberland,Berlin,Switzerland,,,,,,,,,,,,,,,,,
29.0,the Yellow Drawing-room,the Yellow Drawing Room,Yellow,the Yellow Drawing-Room,,,,,,,,,,,,,,,,,
30.0,beautifal gardens,Spring Gardens,Spring Gagdens,"the Zoological
Gardens",Spring-Gardens,"Spring
Gardens",Spring Gardena,,,,,,,,,,,,,,
31.0,samo,"the samo
day!",flamo,,,,,,,,,,,,,,,,,,
32.0,Persia,Persiat,personu,,,,,,,,,,,,,,,,,,
33.0,Breakfast,Dreak,BREAKFAST,Belfast,,,,,,,,,,,,,,,,,
34.0,Superin,Perigord,Superintendent,supp.y,,,,,,,,,,,,,,,,,
35.0,"throne,—a",Throne,throe,Threc,,,,,,,,,,,,,,,,,
36.0,Surah,Surango,,,,,,,,,,,,,,,,,,,
37.0,Holloway,Medway,Lower Holloway,,,,,,,,,,,,,,,,,,
38.0,Somersetshire,Lancashire,Berkshire,Somersetshiro,Somers Town,,,,,,,,,,,,,,,,
39.0,"him,—and","vame,—and",kind;—and,"behind,—and","joy,—and",me;’—and,"fault,—an","theatre,—an",buzzim!”—and,"wildly,—at","sin,—a","man,”—and","writing,—and",,,,,,,,
40.0,Windham,Windsor,bees’-win,indus,Kinds,,,,,,,,,,,,,,,,
41.0,Roman,oman,the Roman States,,,,,,,,,,,,,,,,,,
42.0,Brummagem,Fobruary,Brussels,Parsonage,Lageur,mag~,agen,,,,,,,,,,,,,,
43.0,Bonn,Madonnas,Abont,Ballonné,,,,,,,,,,,,,,,,,
44.0,"wi
sult",Sultan,"wi
dor",,,,,,,,,,,,,,,,,,
45.0,"the
moon",Theu,Thebes,they’reno,"mo
ther",thev,the Zin,Lethean,Ifthen,,,,,,,,,,,,
46.0,Hobart,Hobart Town,Bart,,,,,,,,,,,,,,,,,,
47.0,Edmonton,Onton,Wigginton,Bosumont,Manton,Beaumont,Montonk,Montoni,Montont,,,,,,,,,,,,
48.0,Joosely,Biimself,himseli ina,Biihe,Iimb,,,,,,,,,,,,,,,,
49.0,No:—through,Harborough,Tiarborough,Harborongh,Scarborough,Borough,Harborough to-day,Marlborough,,,,,,,,,,,,,
50.0,TELL,Tell mo,Sellis,,,,,,,,,,,,,,,,,,
51.0,the united kingdom,United Kingdom,the United Kingdom,,,,,,,,,,,,,,,,,,
52.0,Staffordshi,Stafford,lordsbip,Staffordshire,,,,,,,,,,,,,,,,,
53.0,Barracks,Cracksman,,,,,,,,,,,,,,,,,,,
54.0,Femain,Tremain,maine,,,,,,,,,,,,,,,,,,
55.0,Kilbarn,Baris,barat,Barbican,invari,Paris,,,,,,,,,,,,,,,
56.0,Stamford Stroot,Stamford Streot,Stamford,,,,,,,,,,,,,,,,,,
57.0,Fields,Field,Field Mar,Spitalfields,Pitfield Streot,Sheffield,Field Oflicer,Titchfield,,,,,,,,,,,,,
58.0,mo trom,trois,Rome,mo seo,,,,,,,,,,,,,,,,,
59.0,Budge Row,Judges,,,,,,,,,,,,,,,,,,,
60.0,shapo,japonica,po-shay,,,,,,,,,,,,,,,,,,
61.0,Sawbones,Sawboues,,,,,,,,,,,,,,,,,,,
62.0,Constitution-,consta-,Gutity,Constitution Hill,Jution,,,,,,,,,,,,,,,,
63.0,Austria,Illustrious,Australia,Sesostris,,,,,,,,,,,,,,,,,
64.0,aly,Tealy,Journey Nereuerm Italy,unsucceafaly,lesaly,Italy,oaly,satiicaly,lemaly,firmaly,Traly,,,,,,,,,,
65.0,Louis,Loujsa,Louisa,,,,,,,,,,,,,,,,,,
66.0,Ferdinand,dinand,Sardinia,,,,,,,,,,,,,,,,,,
67.0,Tus,Tuscany,can’I,Scancezy,Mascara,,,,,,,,,,,,,,,,
68.0,Rio,Geir,"Rio
Janeiro",enunei»-,Janeiro,,,,,,,,,,,,,,,,
69.0,Rossville,jilley,Pentonville,Lille,Piccadilly,Ill,Bastille,,,,,,,,,,,,,,
70.0,Upper Claptou,Upper Clapton,clapsod,Clapton,,,,,,,,,,,,,,,,,
71.0,Aus,Ausband,band:—no,Busby,,,,,,,,,,,,,,,,,
72.0,Todance,france,Brance,France,FRANCE,,,,,,,,,,,,,,,,
73.0,Sasket,Pocket,Jock,Crockey,,,,,,,,,,,,,,,,,
74.0,King Street,Jermyn Street,West Street,Suffolk Strect,Essex Street,Ada Street,Street,"Jermyn
Street",Oxford Street,St. John-street,Gerrard Street,Whitecross Street,Whiteoross Street,Curzon Street Chapel,Friar Street,Gracechurch Street,Bow Street,Pitfield Street,Smart Street,Regent Street,Stratton Street
75.0,Knightsbridge,Cambridge,Cambridgeshire,,,,,,,,,,,,,,,,,,
76.0,seech,Greece,huge;piece,Areecss,,,,,,,,,,,,,,,,,
77.0,Piacere,el rere,Piaccre,Piacore,Piscere,,,,,,,,,,,,,,,,
78.0,Parlia,Uarly,Garlick,Parneseus,,,,,,,,,,,,,,,,,
79.0,Fgerton,Egerton,Bgerton,Egertou,Pomberton,,,,,,,,,,,,,,,,
80.0,Saffron Hill,Ludgato Hill,dunghills,Snow Hill,Saffron,,,,,,,,,,,,,,,,
81.0,Speak,Npeak,,,,,,,,,,,,,,,,,,,
82.0,Inn,inn,,,,,,,,,,,,,,,,,,,
83.0,Vinciblo,Tho province,repro-,provo,the aforesaid province,Ho ia,,,,,,,,,,,,,,,
84.0,White,Whitechapel,whirls,Whitefriars,,,,,,,,,,,,,,,,,
85.0,Havannah,Havre,Hannah,,,,,,,,,,,,,,,,,,
86.0,futuro,Urox,Turin,TuRN,puro,Turkey,,,,,,,,,,,,,,,
87.0,Quillotines,Holiness,Tinea,Guinea,,,,,,,,,,,,,,,,,
88.0,Imagine,Imay,,,,,,,,,,,,,,,,,,,
89.0,howevor,the Tower Hamlets,Lower,Lower Union,elysian bower,,,,,,,,,,,,,,,,
90.0,Jiaizon,Lorizontally,,,,,,,,,,,,,,,,,,,
91.0,Algiers,ALGIERS,,,,,,,,,,,,,,,,,,,
92.0,Icast,Castle,"Castle
Ghichor",,,,,,,,,,,,,,,,,,
93.0,Gotha,Lothbury,Sfalmebury,Bloomebury,Tooth,Canterbury,,,,,,,,,,,,,,,
94.0,"penitence,—he",Istence,hai,Penitentiary,,,,,,,,,,,,,,,,,
95.0,Yes:—in,businers:—if,loaf:—it,,,,,,,,,,,,,,,,,,
96.0,Belect Vestry,West,West-End,desth,west.,,,,,,,,,,,,,,,,
97.0,Jonettes,Gazette,Zorjone,Rennets,,,,,,,,,,,,,,,,,
98.0,St.,St. Leger,Leg,St. Luke's,,,,,,,,,,,,,,,,,
99.0,Sqnar,nisatbanar San,,,,,,,,,,,,,,,,,,,
100.0,Duvernay,Nevernave,Fever,,,,,,,,,,,,,,,,,,
101.0,whoro,horo,whonco,,,,,,,,,,,,,,,,,,
102.0,Semele,Amelia,Isnhelia,Mameluke,Iame,,,,,,,,,,,,,,,,
103.0,yonder corner,Yonder,yonder grove,Derby,,,,,,,,,,,,,,,,,
104.0,’—'For,Frankfort,fort,Tilbury Fort,fortin,Fort,Beaufort,Misfortunes,,,,,,,,,,,,,
105.0,Yoted,Duteh,Scoteh,Scold,,,,,,,,,,,,,,,,,
106.0,iden,Providence,Iden,Idemand,Sugden,,,,,,,,,,,,,,,,
107.0,sirt,"sir,—I",Gipsie,"low,—I",,,,,,,,,,,,,,,,,
108.0,Popo,Sopo,,,,,,,,,,,,,,,,,,,
109.0,"Dr, Wilmot",Wilmot,+L wil,,,,,,,,,,,,,,,,,,
110.0,the New Cut,New Caledonia,"the New
Road",New Cut,the North Pole,,,,,,,,,,,,,,,,
111.0,Tokenhonse,Twickenham,Twig Foiiy,Tottenham,Wicks,Pakenham,,,,,,,,,,,,,,,
112.0,Cornwall,Cornhill,walla,Gcorgu,Corpso,Swallowing,,,,,,,,,,,,,,,
113.0,Finsbury,Finsbury Pavement,Finsbarj,"Finsbury
Pavement",,,,,,,,,,,,,,,,,
114.0,Tex Lacifer,Incifer,"Pacific,—I",,,,,,,,,,,,,,,,,,
115.0,Georgian,Georgia,,,,,,,,,,,,,,,,,,,
116.0,wero,wero pursaing,ero,,,,,,,,,,,,,,,,,,
117.0,Butmy,puton,Buton,Tong,automaton,,,,,,,,,,,,,,,,
118.0,Atlength,Jength,Iength,,,,,,,,,,,,,,,,,,
119.0,"Wy
vil",CCXVIL,,,,,,,,,,,,,,,,,,,
120.0,Palace,palo,,,,,,,,,,,,,,,,,,,
121.0,Melbourne,Tesources,Isbour,Stour,Almoury,,,,,,,,,,,,,,,,
122.0,Compter,xccompany,Piumptre,,,,,,,,,,,,,,,,,,
123.0,Telioved mo,sev mo,Ghaste moon,mado mo,Leave mo,Unhand mo,,,,,,,,,,,,,,,
124.0,Lambeth,Camberwell,Bethnal,Lambkin,Bethlem,,,,,,,,,,,,,,,,
125.0,"Qavendish
Square",Gravesend,"Belgrave
Square",,,,,,,,,,,,,,,,,,
126.0,Hehest,Rochester,Manchester,chester,Gamester,Chichester,steraly,Gloucester,,,,,,,,,,,,,
127.0,Skilligalee,Séilligalee,,,,,,,,,,,,,,,,,,,
128.0,Morcar,Morear,Preach,Morea,Morean,Tremordyns,Morpheus,,,,,,,,,,,,,,
129.0,Secing,secing mo,Receiving Ward,,,,,,,,,,,,,,,,,,
130.0,tune;—bat,Tunatic,MoTunn,,,,,,,,,,,,,,,,,,
131.0,"the Governor
Generat",Vernon,Vernon la,VERNON,Vornon,Enon,,,,,,,,,,,,,,,
132.0,Giltspur,elso!—Yes,"pursuits,—yes",Teynbam,,,,,,,,,,,,,,,,,
133.0,Hounslow,Mounseer,,,,,,,,,,,,,,,,,,,
134.0,Tinge,tain Fitshardinge,Whittinghs,Hastings,,,,,,,,,,,,,,,,,
135.0,Ne ite,Limite,imita-,,,,,,,,,,,,,,,,,,
136.0,m2>—pardon mo,Pardon,,,,,,,,,,,,,,,,,,,
137.0,Bustle,bustlo,stl,,,,,,,,,,,,,,,,,,
138.0,"seat,—“it",Glowiouth,Southsea Common,South-sea,sou,,,,,,,,,,,,,,,,
139.0,Bohemia,"curses,—their","jests,—their blasphemous jokes",,,,,,,,,,,,,,,,,,
140.0,Jects,"atfected,—I","devised,—he","protfered,—a","affectation,—in",,,,,,,,,,,,,,,,
141.0,Keeping,appoint~,Wapping,,,,,,,,,,,,,,,,,,
142.0,New South Wales,"New South
Wales",New South,,,,,,,,,,,,,,,,,,
143.0,Vandclenr,Scotland,Ireland,"Van
Diernen’s Land",Holland,Poland,andat,Milan,New Zealand,"New
Zealand",plander,,,,,,,,,,
144.0,Aquarter,Garter,Quad-,,,,,,,,,,,,,,,,,,
145.0,aleng,Quoen,Eng,Brvgeng,tbat rovenge,Bvoeng,,,,,,,,,,,,,,,
146.0,Hoxton,Hoxton Old,Brixton,Hoxton Old Town,,,,,,,,,,,,,,,,,
147.0,Eugeno,Eugono,& tono,,,,,,,,,,,,,,,,,,
148.0,SMITHFIELD,Smithfield Market,Smithfield,,,,,,,,,,,,,,,,,,
149.0,Maikbatou,Malklatoun,Latona,,,,,,,,,,,,,,,,,,
150.0,deciero mo,isin,DECISION,mansion,,,,,,,,,,,,,,,,,
151.0,Drury Lane,"Chick Lane,§",Brick-lane,Brick Lane,,,,,,,,,,,,,,,,,
152.0,Rottenborough Union,Rotteuborough,Rottenborpugh,Rottenbordugh,Rottenborough,,,,,,,,,,,,,,,,
153.0,Levant,Eva,Geneva,,,,,,,,,,,,,,,,,,
154.0,Old England,England,Bogland,Tn England,ENGLAND,Hngland,England asa,,,,,,,,,,,,,,
155.0,queens,Scsphens,phenix,Stephens,Stepbens,,,,,,,,,,,,,,,,
156.0,Isubel,isu,,,,,,,,,,,,,,,,,,,
157.0,Hurrict,District,Jur district,,,,,,,,,,,,,,,,,,
158.0,York,the Duke of York,NEW EPOCH,New York,New Itoad,,,,,,,,,,,,,,,,
159.0,"Lady
Cecilia",Ceciiia,Cecili,Cecilia,"the

 

 

  

 

 

 

Cecilia",Gecilia,,,,,,,,,,,,,,,
160.0,e City,mighty city,the Casualty Ward,"the

  

 

 

   

City",the City,the Island of the City,the City Road,The City,the City of London,the twe capitals,tho City,,,,,,,,,,
161.0,thr Inhabitants,Hants,Rechabites,,,,,,,,,,,,,,,,,,
162.0,ia London,NDON,Londou,THE MY6TERIES OF LONDON,LONDOND,splondour,London,CONDON,LONDON,Richmond,"&
ond",,,,,,,,,,
163.0,Cape,"Cape
Horn",Cape Horn,,,,,,,,,,,,,,,,,,
164.0,Loxpon,LOXDON,LoXDON,,,,,,,,,,,,,,,,,,
165.0,withont,thou,Anothor,Tho,Thon,methodist,,,,,,,,,,,,,,,
166.0,"Saint
Nepomecenus",sequaint mo,Mint,Saint Bartholomow's Hospital,Saint Sepulebre's,Saint,Saint John's,Saint Joana,,,,,,,,,,,,,
167.0,M.P.,M.P,,,,,,,,,,,,,,,,,,,
168.0,Penelope,Solera,Opera,peras,Imperative,,,,,,,,,,,,,,,,
169.0,West Indian,the East Indies,the West Ind,the West Indies,,,,,,,,,,,,,,,,,
170.0,Lewed,Sweden,Lorrowed,,,,,,,,,,,,,,,,,,
171.0,Prince Alborto,Prince Alberto,"Prince Albert,—tbrilling",Alberto,Albeit,,,,,,,,,,,,,,,,
172.0,Santa-Croce,proceod,Santa Croce,Santa-Croco,SANTA CRUZ,,,,,,,,,,,,,,,,
173.0,Ste,Steda,stecl,ste,Benstead,,,,,,,,,,,,,,,,
174.0,Serta,servait,the Great Desert,,,,,,,,,,,,,,,,,,
175.0,Black Chamber,Blackheath,isa Black,Black,,,,,,,,,,,,,,,,,
176.0,Globo,Globe,Globo Town,Globe Town,Thsre,Globe Towa,Glove Town,,,,,,,,,,,,,,
177.0,Vienna,Elien,Adien,wien,,,,,,,,,,,,,,,,,
178.0,Pandora,Oran,bora,"mo
fora",Holborn,Membor,,,,,,,,,,,,,,,
179.0,torrenta,Central,Centaur,,,,,,,,,,,,,,,,,,
180.0,BICHARD MARKHAM,Eugeno Markham,Markharn,Richerd Markham,Markhar,Marrict Markham,Murkhau,Thon Markham,+ Markham,Wichard Markham,Markhain,Kiehard Markham,Markham,MARKHAM,"Markham
Pince",sald Markham,,,,,
181.0,Katherine east,CATHERINE STREET,Katherine,Katherin,,,,,,,,,,,,,,,,,
182.0,Albion,Talbot,Tatbot,crystal,,,,,,,,,,,,,,,,,
183.0,"disease,—which","it,—when",Pealment,Mentor,"documents,—which",Insolvents,Ume,,,,,,,,,,,,,,
184.0,Braio,Febraary,Brazil,Braver,Labrador,,,,,,,,,,,,,,,,
185.0,the West Strand,West End,the West End,the West End of London,,,,,,,,,,,,,,,,,
186.0,fina,Mcssatina,ina,miasina,Selina,Jinagination,,,,,,,,,,,,,,,
187.0,Isavella,Clerkenwell,Traveller,Ellen,,,,,,,,,,,,,,,,,
188.0,Natare,tara,atar,Whata,,,,,,,,,,,,,,,,,
189.0,Appendia,"Dapper to-
wards",Dapper,,,,,,,,,,,,,,,,,,
190.0,"Kentish

'","Kentish
Town",Kentish Town,Kentish,Aurentin,Kent,,,,,,,,,,,,,,,
191.0,Metropolitan,Napolcon,Neapolitan,Titan,,,,,,,,,,,,,,,,,
192.0,Dattle,los,Rattlosnake,,,,,,,,,,,,,,,,,,
193.0,Frenep,euch,Freuch,,,,,,,,,,,,,,,,,,
194.0,Counell,"account,’—And",Eastern Counties Railway,the County of,thecount,the Counts Horn,,,,,,,,,,,,,,,
195.0,Someot,Nibsomest,,,,,,,,,,,,,,,,,,,
196.0,Inudanum,Janus,Jand,Venus,,,,,,,,,,,,,,,,,
197.0,Petrarca,Anstralia,traco,Strat-,"ma
Bistrates’",Strasburg,Trafalgar,Strand,,,,,,,,,,,,,
198.0,voice.—'I,"presence,—I",arctic,"justice,—I",,,,,,,,,,,,,,,,,
199.0,"the Mediterranean

Sea",Lethean sea,SUBTERRANEAN,the Dead Sea,,,,,,,,,,,,,,,,,
200.0,workus,"epeak,—it","work,—it",,,,,,,,,,,,,,,,,,
201.0,India,Lydia,Diab,,,,,,,,,,,,,,,,,,
202.0,wino,Adolino,nino,Legino,,,,,,,,,,,,,,,,,
203.0,Hamourgh,Joeding,Edinburgh,,,,,,,,,,,,,,,,,,
204.0,scribabie,efful-,Scrofula,ncross,CasrEzcroaza,,,,,,,,,,,,,,,,
205.0,Boulogne-sur-Mer,Boulogne,,,,,,,,,,,,,,,,,,,
206.0,Holmesiord,Stockholm,Holuesford,Holmesford Homse,Everard Home,,,,,,,,,,,,,,,,
207.0,Wooloomooloo,Woolwich,Wooleut,,,,,,,,,,,,,,,,,,
208.0,room/—I,Agrood,agruff,,,,,,,,,,,,,,,,,,
209.0,advico,Victoria,Syria,,,,,,,,,,,,,,,,,,
210.0,Asia,Asia Minor,,,,,,,,,,,,,,,,,,,
211.0,nfoleastere,"the

 

 

 

   

    

 

 

 

 

  

 

 

 

  
  
 

 

 

   

 

 

Railway east",East,Eastern Lon-,the East a few weeks ago,deceasod,,,,,,,,,,,,,,,
212.0,Maria,Marian,MARIAN,,,,,,,,,,,,,,,,,,
213.0,Israel,Largo,Isrgo,largo,,,,,,,,,,,,,,,,,
214.0,Continent,prevont,Cont,contemptuoualy,Contarini,,,,,,,,,,,,,,,,
215.0,Danstable Manor,Dunstable,Dunstable Manor,Dunstable;—then turn+,,,,,,,,,,,,,,,,,
216.0,irouy,Byron,oboy,Boyrout,,,,,,,,,,,,,,,,,
217.0,Cinganl,Cingani,,,,,,,,,,,,,,,,,,,
218.0,Carribbee Islands,the British Islands,"Inscoessible
Islands",the Carribbee Islands,Philip Island,Island,"Philip
Island",Leeward Island,the South Sea Islands,,,,,,,,,,,,
219.0,"the Holy
Land","the Holy Land,§",the Holy Land to-,the Holy Land,,,,,,,,,,,,,,,,,
220.0,Saint James's,Saint James’s,St. James’s Park,St. James's,Saint James’s Park,,,,,,,,,,,,,,,,
221.0,Belvidere,belvidere,,,,,,,,,,,,,,,,,,,
222.0,cei va,quito,disquisl-,Squids,,,,,,,,,,,,,,,,,
223.0,the Black Tower,THE BLACK VEIL,the Black Eagle,CLXX.—The Black Veil,Slike,,,,,,,,,,,,,,,,
224.0,Babylon,"Lone
don","Lon
don",,,,,,,,,,,,,,,,,,
225.0,Kingsdown,Kingdom,King George tho Fourth,kingdem,Boosing,Birmingham,King,"kind,—a",,,,,,,,,,,,,
226.0,Panctual,St. Pancras,St. Patrick,,,,,,,,,,,,,,,,,,
227.0,Norfolk,Norfolk Island,ting Norfolk Island,,,,,,,,,,,,,,,,,,
228.0,sherry.,Rochefoucauld,Cherry,Schen,"Cherry
Park",,,,,,,,,,,,,,,,
229.0,@Montecueuli,cuculi,Montecuculi,,,,,,,,,,,,,,,,,,
230.0,Isabeila,Ieabelle,Jsabella,Tsabelia,,,,,,,,,,,,,,,,,
231.0,Dublin,n’oubliez,Lieges,,,,,,,,,,,,,,,,,,
232.0,it'worth,Ravensworth Hatt,Ravensworth Hall,"Ravensworth
lal",Pegsworth,Ravensworth,Craven,Rickmansworth,Lovens,Ravensworth Park,,,,,,,,,,,
233.0,Palmerston,Maidstone,Dalston,Haston,Stilton,,,,,,,,,,,,,,,,
