cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0,atar,tara,n’en,Taroagh,Whata,Natare,wi,,,,,,,,,,,,,,,,
1,ecarté,Carthage,Mra,Morcar,Mascara,écarté,mart,,,,,,,,,,,,,,,,
2,Soethampton,Chatham,Tn,Northampton,Thames,Brompton,Southampton,Iamp,,,,,,,,,,,,,,,
3,iden,Miss.,Iden,Providence,,,,,,,,,,,,,,,,,,,
4,Squids,Si,disquisl-,quito,,,,,,,,,,,,,,,,,,,
5,Throne,No:—through,Byron,throe,Threc,"throne,—a",,,,,,,,,,,,,,,,,
6,Serta,RI,servait,Herbertstcin,Aléum,,,,,,,,,,,,,,,,,,
7,East,the East a few weeks ago,Eastern Lon-,nfoleastere,XXII,deceasod,"the

 

 

 

   

    

 

 

 

 

  

 

 

 

  
  
 

 

 

   

 

 

Railway east",,,,,,,,,,,,,,,,
8,Heppy Valley,the Happy Valley,calle,Valley,Talleyrand,cei va,,,,,,,,,,,,,,,,,
9,"affectation,—in",nh,Jects,Tatbot,invitation:—then,,,,,,,,,,,,,,,,,,
10,Amelia,Elica,Isnhelia,Iame,Mameluke,Semele,,,,,,,,,,,,,,,,,
11,CCXVIL,"Wy
vil",,,,,,,,,,,,,,,,,,,,,
12,Eva,Levant,MR,Geneva,,,,,,,,,,,,,,,,,,,
13,Black,Blackheath,pei,isa Black,Black Chamber,,,,,,,,,,,,,,,,,,
14,ordeath,Death,Hordeaux,NEED,,,,,,,,,,,,,,,,,,,
15,workus,York,"work,—it",,,,,,,,,,,,,,,,,,,,
16,"sir,—I","you,—if",sirt,"Pacific,—I","low,—I","deepor,—until",,,,,,,,,,,,,,,,,
17,Laffeur,Saffron,Lageur,Laficur,,,,,,,,,,,,,,,,,,,
18,Ireland,Club,Poland,Holland,mo,"New
Zealand",Milan,"Van
Diernen’s Land",Scotland,plander,New Zealand,,,,,,,,,,,,
19,Cambridge,daro,Cambridgeshire,Camberwell,Knightsbridge,,,,,,,,,,,,,,,,,,
20,fort,Beaufort,Misfortunes,Tilbury Fort,Fort,Frankfort,fortin,,,,,,,,,,,,,,,,
21,"the Holy Land,§","the Holy
Land",the Holy Land,tl.at,the Holy Land to-,wy,Sqnar,,,,,,,,,,,,,,,,
22,Dalston,Stour,Palmerston,Ohio,Haston,Soho,Maidstone,,,,,,,,,,,,,,,,
23,oaly,lemaly,Italy,unsucceafaly,aly,Journey Nereuerm Italy,Tealy,Traly,firmaly,,,,,,,,,,,,,,
24,Id.,Jaaes,advico,,,,,,,,,,,,,,,,,,,,
25,voloe,choloe,Colonies,,,,,,,,,,,,,,,,,,,,
26,belvidere,Belvidere,Derby,Isubel,,,,,,,,,,,,,,,,,,,
27,Sweden,Lewed,Camden,Sugden,Lorrowed,,,,,,,,,,,,,,,,,,
28,New Cut,New Caledonia,New York,the New Cut,Butmy,New Itoad,NEW EPOCH,Cuonvs,,,,,,,,,,,,,,,
29,Morea,ne,Morear,Preach,Bsq.,Morean,,,,,,,,,,,,,,,,,
30,Brance,France,france,&c.,FRANCE,,,,,,,,,,,,,,,,,,
31,dri,driv-,Yee,Madrid,ny,,,,,,,,,,,,,,,,,,
32,Havannah,Transylvania,Hannah,Vanity,Thsre,Libya,ia,,,,,,,,,,,,,,,,
33,England,England for America,Hngland,ENGLAND,Old England,Bogland,Englishinen,England asa,Tn England,,,,,,,,,,,,,,
34,Oran,bora,Holborn,"mo
fora",Membor,,,,,,,,,,,,,,,,,,
35,"Rio
Janeiro",irouy,Rio,Janeiro,Geir,,,,,,,,,,,,,,,,,,
36,Oie'of,Diab,India,Lydia,Ume,Diana,,,,,,,,,,,,,,,,,
37,Joeding,Edinburgh,,,,,,,,,,,,,,,,,,,,,
38,Tiarborough,Harborough,Marlborough,Scarborough,Borough,Harborough to-day,Harborongh,,,,,,,,,,,,,,,,
39,Brick Lane,Lane,Brick-lane,Drury Lane,"Chick Lane,§",,,,,,,,,,,,,,,,,,
40,agruff,Buffer,Gifferent,jiffey,differont,wfay,,,,,,,,,,,,,,,,,
41,Bee pago,Fiago,Egypt,Soap,,,,,,,,,,,,,,,,,,,
42,Hare,Harpy,Quoen,Har,Harriet,Charlotte,,,,,,,,,,,,,,,,,
43,Westminster,Westminster Abbey,Kidderminster,"the Almonry, Westminster",,,,,,,,,,,,,,,,,,,
44,Pardon,LOXDON,m2>—pardon mo,Loxpon,LoXDON,,,,,,,,,,,,,,,,,,
45,"fow
cess",SSSsSSSeSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS,Essex,Pressivnys,Sussex,by'a posse,,,,,,,,,,,,,,,,,
46,Yes:—in,elso!—Yes,loaf:—it,,,,,,,,,,,,,,,,,,,,
47,Scrofula,ncross,CasrEzcroaza,,,,,,,,,,,,,,,,,,,,
48,"Kentish
Town",Kentish,Bishops-,Kentish Town,Kent,"Kentish

'",£va,Aurentin,Penitentiary,,,,,,,,,,,,,,
49,seech,Rechabites,Areecss,,,,,,,,,,,,,,,,,,,,
50,Babylon,"Lone
don","wi
dor","Lon
don",,,,,,,,,,,,,,,,,,,
51,Aquarter,SUBTERRANEAN,Bolter,Compter,Garter,Terlizzi,SF,Intter,,,,,,,,,,,,,,,
52,Imagine,mag~,Brummagem,,,,,,,,,,,,,,,,,,,,
53,Holmesford Homse,Stockholm,Holmesiord,us,,,,,,,,,,,,,,,,,,,
54,+L wil,Wilmot,MoTunn,Almoury,"Dr, Wilmot","wildly,—at",,,,,,,,,,,,,,,,,
55,Dover,Hanover,Sovereigns,Taz,Govern-,overa,Zove,,,,,,,,,,,,,,,,
56,Montecuculi,Ks,@Montecueuli,cuculi,,,,,,,,,,,,,,,,,,,
57,Fever,Ver~,Nevernave,Everard Home,,,,,,,,,,,,,,,,,,,
58,MARKHAM,Kiehard Markham,sald Markham,Thon Markham,+ Markham,Marrict Markham,Eugeno Markham,Markharn,Markhar,Markhain,Richerd Markham,BICHARD MARKHAM,Murkhau,Markham,"Markham
Pince",Wichard Markham,,,,,,,
59,Katho-|,Kathorin,Kathlecn,,,,,,,,,,,,,,,,,,,,
60,Honourables,lesaly,Snoggles,Middlesex,Bibles,Hercules Passage,Mi,,,,,,,,,,,,,,,,
61,"the New
Road",the North Pole,SoI,the Zin,the twe capitals,The Lobster Tavern,the Emerald Isle,Ny,the Lombardy Arms,the Old Jewry,the Tower Hamlets,"the samo
day!",the Great Desert,the Duke of York,the Isle of Man,the Dead Sea,,,,,,,
62,Jew,euch,Y'doa,Freuch,,,,,,,,,,,,,,,,,,,
63,Boulogne-sur-Mer,Toulon,Boulogne,CLXIII,Dundulo,Ridioulous,Teould,,,,,,,,,,,,,,,,
64,Bonn,tn,S01,Madonnas,mado mo,n0,,,,,,,,,,,,,,,,,
65,Lean,Tean,Leave mo,,,,,,,,,,,,,,,,,,,,
66,Imperative,Opera,Madras,peras,inn,Solera,,,,,,,,,,,,,,,,,
