cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0,atar,tara,Satan,Taroagh,Whata,Tatbot,Natare,,,,,,,,,,,,,,,
1,ecarté,Mascara,écarté,kuec,,,,,,,,,,,,,,,,,,
2,Soethampton,Chatham,Northampton,Thames,Brompton,Gotha,Southampton,,,,,,,,,,,,,,,
3,ARLINGTON,Fington,Uarly,Warrington,Newington,Warringtoa,Parlia,Wellington,Arlington,Islington,Kensington,Mount Wellington,Aruington,Garlick,,,,,,,,
4,Ossoro,Ossore,ncross,Mossop,,,,,,,,,,,,,,,,,,
5,Holmesford Homse,Stockholm,Holmesiord,Holuesford,SF,Everard Home,,,,,,,,,,,,,,,,
6,iden,Id.,Sweden,Camden,Zn,Sugden,Iden,Providence,,,,,,,,,,,,,,
7,Squids,disquisl-,quito,,,,,,,,,,,,,,,,,,,
8,Throne,Byron,throe,Threc,"throne,—a",,,,,,,,,,,,,,,,,
9,MM,Tommy,,,,,,,,,,,,,,,,,,,,
10,East,the East a few weeks ago,Eastern Counties Railway,Eastern Lon-,Holford east,nfoleastere,deceasod,"the

 

 

 

   

    

 

 

 

 

  

 

 

 

  
  
 

 

 

   

 

 

Railway east",,,,,,,,,,,,,,
11,Amelia,Isnhelia,Iame,melt-,Mameluke,Semele,,,,,,,,,,,,,,,,
12,io,Io,Albion,Ohio,Rio,,,,,,,,,,,,,,,,,
13,AI,wai’a,Jiaizon,servait,Braio,hai,Aim,Adain,,,,,,,,,,,,,,
14,Eva,M3,Yuva,Levant,£va,Geneva,cei va,,,,,,,,,,,,,,,
15,Earth,Carthage,earth,Ieara,,,,,,,,,,,,,,,,,,
16,Black,&c.,Blackheath,isa Black,Palace,Black Chamber,,,,,,,,,,,,,,,,
17,ordeath,Death,Hordeaux,"seat,—“it",,,,,,,,,,,,,,,,,,
18,Imperative,Opera,peras,Penelope,,,,,,,,,,,,,,,,,,
19,Imagine,mag~,Imay,,,,,,,,,,,,,,,,,,,
20,Cambridge,Cambridgeshire,Camberwell,Knightsbridge,,,,,,,,,,,,,,,,,,
21,New South,Southsea Common,Glowiouth,sou,New Itoad,Portsmouth,New South Wales,NEW EPOCH,South-sea,"New South
Wales","mouth,—oh",,,,,,,,,,,
22,"the Holy Land,§","the Holy
Land",the Holy Land,the Holy Land to-,,,,,,,,,,,,,,,,,,
23,voloe,choloe,los,,,,,,,,,,,,,,,,,,,
24,Aldgate,Newgate,Jew,Ramsgate,Newyate,Newgute,Margate,,,,,,,,,,,,,,,
25,M.P.,M.P,,,,,,,,,,,,,,,,,,,,
26,Morea,Timplore,Morcar,Morear,Preach,Morean,Tremordyns,,,,,,,,,,,,,,,
27,Brance,France,france,Panctual,Transylvania,FRANCE,eompértancé,Cem=,Scancezy,Todance,,,,,,,,,,,,
28,dri,RI,driv-,Madrid,Dr,,,,,,,,,,,,,,,,,
29,Havannah,Hannah,Havre,,,,,,,,,,,,,,,,,,,
30,Labrador,Oran,bora,Holborn,"mo
fora",oboy,Membor,,,,,,,,,,,,,,,
31,Holford,Guilford,Guixry,Guildhall,gulf,Ashford,Guildford,Oxford,,,,,,,,,,,,,,
32,Pardon,m2>—pardon mo,Y'doa,,,,,,,,,,,,,,,,,,,
33,Tn,tn,Putney,,,,,,,,,,,,,,,,,,,
34,japonica,po,"deepor,—until",Popo,appoint~,po-shay,shapo,Sopo,,,,,,,,,,,,,,
35,Crankey,dranken,Madras,,,,,,,,,,,,,,,,,,,
36,No:—through,Tiarborough,Harborough,Marlborough,Scarborough,Borough,Harborough to-day,Harborongh,,,,,,,,,,,,,,
37,Bt,"Bt,",,,,,,,,,,,,,,,,,,,,
38,nota,Gaétano,Taz,Nota,Talbot,Notan,,,,,,,,,,,,,,,,
39,Theu,they’reno,thelr disposi-,thev,Ifthen,"the
moon",Thebes,Morpheus,,,,,,,,,,,,,,
40,Westminster,Westminster Abbey,Kidderminster,"the Almonry, Westminster","monster,—I",,,,,,,,,,,,,,,,,
41,LOXDON,Loxpon,LoXDON,,,,,,,,,,,,,,,,,,,
42,Keop,keop,kecp,sho’d keop,Biackeo,,,,,,,,,,,,,,,,,
43,"fow
cess",SSSsSSSeSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS,Essex,Holiness,Jessop,Sussex,by'a posse,,,,,,,,,,,,,,,
44,Yes:—in,businers:—if,elso!—Yes,loaf:—it,,,,,,,,,,,,,,,,,,
45,"Kentish
Town",Kentish,Bishops-,Kentish Town,Kent,"Kentish

'",Aurentin,Penitentiary,British Isles,,,,,,,,,,,,,
46,Oie'of,noi,SoI,voice.—'I,Corpso,Soap,Twig Foiiy,,,,,,,,,,,,,,,
47,Finsbury Pavement,Finsbury,Finsbarj,"Finsbury
Pavement",Canterbury,Edinburgh,Lothbury,,,,,,,,,,,,,,,
48,belvidere,Belvidere,,,,,,,,,,,,,,,,,,,,
