cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,alle,Bassolle,Aller-,alluma,Ÿ,Allemagne,,,,,,,,,,
1,P,,,,,,,,,,,,,,,
2,Es,Barbes,ôres,.$eS,Chicorées,Sèvres,Athènes,Apôtres,"Co |

Dè rares","facon des
mans",pides,Larmes,ES,,,
3,sais-tu,trouves-tu,sais,Sais-tu,,,,,,,,,,,,
4,cher,Corniche,He,c0chér,ÿ Xi,pôche,F7,,,,,,,,,
5,Faire,Lemaire,z0n€,D,l'Empire,Lire,J,,,,,,,,,
6,ogne,ÏS,champagne,bésigne,Cigogne,Cologne,cognac,,,,,,,,,
7,Réponds,Répondez,japon,,,,,,,,,,,,,
8,ine,Jardin,la Seine,La plaine,Romäines,Capitaine,sapins,Madeleines,Chine,,,,,,,
9,jusqu’,bosquet,qu’,jusqu,Qué,Océan jusqu’,,,,,,,,,,
10,Ilsne,ne’,e’,neûs,,,,,,,,,,,,
11,rs-,rs,rs-accourait,,,,,,,,,,,,,
12,Tai,s’irritaitencore,aimais,Était-,,,,,,,,,,,,
13,CE,Grèce,nice,,,,,,,,,,,,,
14,J1,"| |

Hauts",Là-haut,Ts,,,,,,,,,,,,
15,Chambre-aux-Demoiselles,Î,Ellé,Elle,moselle de la Roche-Aubert,Ellerentrait,el,Folle,tonnelle,Elle-s’,ellis,"|

- Elle",Éternelle,javelle,,
16,Damas,amazone,Ma-,ner son amazone,,,,,,,,,,,,
17,vallon sauvage d'Ota,"rue
Sauvage",rue du Sauvage,ge,,,,,,,,,,,,
18,Provence,Rouen,Providence,Florence,,,,,,,,,,,,
19,Lu,U— Plus,lune,t-luis,Niolu,,,,,,,,,,,
20,heuressans,EURE,Laäre de l'Eure,qü’,Ur,Impureté,Lheure,heurta,Eure,Harfleur,,,,,,
21,Ée,gônflée,Enchaînée,mélée,changée,Remontée,laée,Béelzébuth,,,,,,,,
22,pays qu’,"pays de
L tout parsemée",pays de Ceux,I,LS,Pas de lune,,,,,,,,,,
23,au Havre,du Havre,e Havre,kB,le Havre,collège du Havre,1 Havre,rue du Havre,,,,,,,,
24,Thysé,Lys,G,u%,,,,,,,,,,,,
25,Fer,Croquerat,Coder-,Er,Per,m'’aimer,Gésirer,ler,rer,rêver,ER,,,,,
26,bäton,Bouillon,rémonie,LON,Londres,bonIëu£,on.se,Lo,galo,Tongs,,,,,,
27,Lac,LAS,nu-bras,Lastique,Las,Gela,Adélaïde,,,,,,,,,
28,naie,semblaïenchanté,blaient,Tiens,Oriental,Impatienté,Bientôt,,,,,,,,,
29,Rosalie,mont Roudet,t Rosalie,F,,,,,,,,,,,,
30,v’'la,V’,,,,,,,,,,,,,,
31,Croyez->ou,Croyez-,Crott,Ro-,Voyez,Fuyez,,,,,,,,,,
32,Cargèse,É,anca,calmé,Ca,Cana,ca,Cany,calme-toi,caleçon,,,,,,
33,tricotani,stan,Picot,Æ,A,,,,,,,,,,,
34,Tolbiac,Bolbec,bé Tolbiac,m-,,,,,,,,,,,,
35,"Raven-

Soirés",Savez,Avez,sôr,àvec,,,,,,,,,,,
36,Val,dévala,eval,val,"air
du Val",,,,,,,,,,,
37,S,É-,Sacré-Cœur,Lé-,Lés,,,,,,,,,,,
38,Coutelier,Coup,Écoutez,Comptez,deuxijouts,,,,,,,,,,,
39,souleva,Poulet,Voulez,Paulet,piéds;. Poulet,,,,,,,,,,,
40,Ilécrivit,ls,crispé,Cri-,,,,,,,,,,,,
41,Océan,enne,EtJeannes’,éanne,nne,Æt,Jéanne,,,,,,,,,
42,BÉTE S,Côte,droïte,Pontet,Te,chuckôter,Quittez-le,quiéter,édroite,Mascotte,,,,,,
43,Bonsoir,Lison,Lisan,sson,Lise,Songe,Sonna,maison,,,,,,,,
44,Assit,Ôt,Sitôt,habitué,,,,,,,,,,,,
45,Verneuil,"couvent

de Versailles",hameau de Verneuil,,,,,,,,,,,,,
46,quem,Afrique,Amérique,L'Amérique,l'Afrique,,,,,,,,,,,
47,Ils’,s’'enfoncer,R,s’,s’assoupir,S’,s’as-,,,,,,,,,
48,Normand,Normandie,Hôtel de Normandie,Normande,Hollande,"hôtel de

Normandie",,,,,,,,,,
49,A comtesse,comtesse Gilberte,Gilberte,,,,,,,,,,,,,
50,Ajaccio,Ci,Cité,ciguëne,,,,,,,,,,,,
51,Bourse,Dour,Four-,Four,Pourriez-,"courant d' air
du porche",el hourrue,Coursil,Livourne,choua,tourneré,,,,,
52,fl,"col
fl",Coco,A84,Aït,,,,,,,,,,,
53,Mornes,"el
morne",d’alternes,,,,,,,,,,,,,
54,Corse,La Corse,t-la Corse,,,,,,,,,,,,,
55,Juï,Ju-,au-,jura,Sou-,,,,,,,,,,,
56,trôinvit,mer par-dessus,mer r bleu À,i,mer invisible,Évisa,E,j’,,,,,,,,
57,t’,"Rue

Dès",Rue,Dè,,,,,,,,,,,,
58,apporte-les-moi,Yport,Torturée,HU,| Yport,Port,Port ‘,Évaporée,,,,,,,,
59,Godarville,Fourville,Gourville,Tourville,Barville,Goderville,Courville,,,,,,,,,
60,phare de Fécamp,Camp,Ïl,Fécamp,Lampre,,,,,,,,,,,
61,Mâdame,Mädame,Pyrame,Me,rome,éotnme,,,,,,,,,,
62,Toüt,toujoürs,poür,,,,,,,,,,,,,
63,Brise-,suré,Surprise,rpré,,,,,,,,,,,,
64,Bastia,barôn,BA,cuba,"ba-
ron",,,,,,,,,,,
65,la-Méditerranée,Méditerranée,Jeané,,,,,,,,,,,,,
66,marseille,cueillie,daille,s’agenouill-,Varneville,IL,taillis dépouillés,Oreilles,Rollebosc,Marseille,lille,d’aiguille,ille,fille;Elle,élle,Brisseville
