cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0.0,comtesse Gilberte,vicomtesse de Libreville,A comtesse,Gilberte,,,,,,,,
1.0,Bastia,Lastique,,,,,,,,,,
2.0,"hôtel de

Normandie",Hôtel de Normandie,,,,,,,,,,
3.0,Suisse,Laisse-,Palais-Royal,Encaissée,alaise,,,,,,,
4.0,Fois,bois bruni,Autrefois,,,,,,,,,
5.0,-de-Ganache,Ganache,vert-de-gris,,,,,,,,,
6.0,barôn,Barbes,,,,,,,,,,
7.0,aipardonna,Jardin,Sonna,,,,,,,,,
8.0,tricotani,Mascotte,Picot,stan,,,,,,,,
9.0,Harfleur,Lheure,Eure,heuressans,EURE,heurta,,,,,,
10.0,ner son amazone,amazone,,,,,,,,,,
11.0,Écoutez,Coup,deuxijouts,Coutelier,Comptez,,,,,,,
12.0,Italie,V'escalier,d'Italie,,,,,,,,,
13.0,Mâdame,Pyrame,Damas,Notre-Dame du Gros-Ventre,Mädame,,,,,,,
14.0,Cri-,Ilécrivit,crispé,,,,,,,,,
15.0,mer par-dessus,mer invisible,m'’aimer,trôinvit,mer r bleu À,,,,,,,
16.0,Pontet,honteuse,japon,,,,,,,,,
17.0,bosquet,quem,Quelquefois,Croquerat,,,,,,,,
18.0,calmé,caleçon,calme-toi,,,,,,,,,
19.0,Péuples,Naples,riple,,,,,,,,,
20.0,L'Amérique,Amérique,l'Afrique,Afrique,,,,,,,,
21.0,poür,toujoürs,Lest.partout,,,,,,,,,
22.0,P'Angle-,Angleterre,terrifi,terre,,,,,,,,
23.0,Tolbiac,Bolbec,bé Tolbiac,,,,,,,,,
24.0,Quittez-le,mariez-les,Pourriez-,,,,,,,,,
25.0,Sitôt,Assit,,,,,,,,,,
26.0,s‘blancs.-,Impatienté,naie,Tiens,blaient,Bientôt,,,,,,
27.0,Ils’,Ilsne,,,,,,,,,,
28.0,tourneré,Livourne,,,,,,,,,,
29.0,dormeuse,meuse,Larmes,"Écu-
meuse",,,,,,,,
30.0,sson,aimais,maison,Lison,,,,,,,,
31.0,nne,mignonne,enne,Mignonne,garonne,,,,,,,
32.0,Paris,paris,,,,,,,,,,
