cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,ogne,champagne,bésigne,Cigogne,Cologne,cognac,J,,,,,,,,,,,
1,Réponds,Répondez,japon,rémonie,,,,,,,,,,,,,,
2,ine,Jardin,trôinvit,Sainte-Hélène,la Seine,La plaine,Romäines,Capitaine,sapins,Madeleines,Chine,,,,,,,
3,jusqu’,z0n€,qu’,Juï,jusqu,Océan jusqu’,V’,,,,,,,,,,,
4,ne’,e’,F,,,,,,,,,,,,,,,
5,rs-,rs,rs-accourait,Ù,s’as-,,,,,,,,,,,,,
6,Tai,naie,i,stan,Était-,,,,,,,,,,,,,
7,ôres,Trois-Mares,Sèvres,sôr,Apôtres,"Co |

Dè rares",,,,,,,,,,,,
8,Corniche,tricotani,Chicorées,"courant d' air
du porche",Picot,nice,,,,,,,,,,,,
9,alle,Chambre-aux-Demoiselles,Aller-,Ellé,Elle,Ellerentrait,G,el,Folle,Rollebosc,tonnelle,Elle-s’,ellis,"|

- Elle",Éternelle,javelle,,
10,Ilsne,Ils’,ls,LS,,,,,,,,,,,,,,
11,S,Damas,amazone,ner son amazone,È,,,,,,,,,,,,,
12,vallon sauvage d'Ota,"rue
Sauvage",rue du Sauvage,ge,golfe de Sagone,qü’,"Rue

Dès",S’,,,,,,,,,,
13,Provence,s’'enfoncer,Rouen,Providence,Florence,,,,,,,,,,,,,
14,Lu,alluma,U— Plus,lune,Æ,t-luis,Niolu,,,,,,,,,,,
15,heuressans,EURE,Laäre de l'Eure,Ur,Impureté,Lheure,heurta,surgirent.de,jura,Eure,Harfleur,,,,,,,
16,Ée,gônflée,Enchaînée,mélée,changée,Remontée,laée,Béelzébuth,,,,,,,,,,
17,pays qu’,"pays de
L tout parsemée",pays de Ceux,Thysé,Lys,Pas de lune,Ç,aüt de la chaire des imprécations,,,,,,,,,,
18,Fer,Verneuil,cher,vert-de-gris,Coder-,Er,Per,mer r bleu À,m'’aimer,ler,rer,rêver,ER,,,,,
19,au Havre,"| |

Hauts",du Havre,e Havre,le Havre,collège du Havre,1 Havre,|,rue du Havre,,,,,,,,,
20,bäton,Bouillon,LON,Londres,bonIëu£,on.se,Lo,galo,Tongs,,,,,,,,,
21,t’,,,,,,,,,,,,,,,,,
22,kB,b,Æt,,,,,,,,,,,,,,,
23,P,Croyez->ou,Croyez-,s’,Crott,Voyez,Fuyez,,,,,,,,,,,
24,alaise,Ïl,Palais-Royal,Lise,Laisse-,,,,,,,,,,,,,
25,Cargèse,anca,calmé,Ca,Cana,Camp,Fécamp,ca,Cany,calme-toi,caleçon,,,,,,,
26,droïte,édroite,Ro-,Aït,,,,,,,,,,,,,,
27,Bassolle,Le soleil,Île s’,le soleil,j’,soleil,,,,,,,,,,,,
28,Tolbiac,Bolbec,bé Tolbiac,A84,,,,,,,,,,,,,,
29,"Raven-

Soirés",Savez,Avez,àvec,,,,,,,,,,,,,,
30,Val,dévala,eval,val,"air
du Val",,,,,,,,,,,,,
31,É-,Sacré-Cœur,Lé-,Lés,,,,,,,,,,,,,,
32,D,R,,,,,,,,,,,,,,,,
33,J1,Coutelier,Coup,Écoutez,Comptez,Mascotte,,,,,,,,,,,,
34,mont Roudet,souleva,Pontet,Poulet,Voulez,Paulet,piéds;. Poulet,,,,,,,,,,,
35,Côte,chuckôter,HU,,,,,,,,,,,,,,,
36,É,bosquet,Croquerat,quem,Quelquefois,Qué,Rue,,,,,,,,,,,
37,Assit,Ÿ,Ôt,Sitôt,habitué,,,,,,,,,,,,,
38,Normand,Normandie,Hôtel de Normandie,Normande,Hollande,"hôtel de

Normandie","facon des
mans",,,,,,,,,,,
39,BÉTE S,A comtesse,comtesse Gilberte,Gilberte,,,,,,,,,,,,,,
40,Ajaccio,Ci,Cité,ciguëne,m’,,,,,,,,,,,,,
41,Lac,LAS,v’'la,Lastique,Las,Gela,Adélaïde,Lampre,,,,,,,,,,
42,enne,EtJeannes’,éanne,nne,neûs,mignonne,garonne,Jéanne,Mignonne,,,,,,,,,
43,Bourse,Dour,Four-,Four,Pourriez-,el hourrue,Coursil,Livourne,choua,tourneré,,,,,,,,
44,fl,"col
fl",Coco,,,,,,,,,,,,,,,
45,Mornes,"el
morne",d’alternes,,,,,,,,,,,,,,,
46,d2,FE,Fection,,,,,,,,,,,,,,,
47,Corse,La Corse,t-la Corse,,,,,,,,,,,,,,,
