cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,crois,Roi-Louis,Trois-Mares,édroite,Crott,ca,bois bruni,,,,,
1,alle,Aller-,alluma,s’,m-,Allemagne,,,,,,
2,P,Juï,e’,Be,laée,Niolu,,,,,,
3,Cargèse,Thysé,Ôt,,,,,,,,,
4,sais-tu,trouves-tu,S’,sais,Sais-tu,,,,,,,
5,Verneuil,hameau de Verneuil,FE,d’alternes,rêver,,,,,,,
6,Bastia,pau,Fr,l’,,,,,,,,
7,cher,Corniche,Ù,pôche,F,Dis,,,,,,
8,Réponds,He,Répondez,japon,Pontet,ÿ Xi,rome,m’,,,,
9,Éetretat,Életat,Impureté,Étretat,nsäet,,,,,,,
10,apporte-les-moi,près-midi,moi,,,,,,,,,
11,2 Li,ine,la Seine,D,La plaine,Romäines,Capitaine,Fa,Dè,Madeleines,Chine,
12,jusqu’,qu’,jusqu,Adélaïde,Océan jusqu’,Æ,cuba,,,,,
13,rs-,Î,au-,,,,,,,,,
14,Barbes,barôn,choua,Ç,,,,,,,,
15,V'escalier,d2,Rosalie,t Rosalie,d'Italie,Ma-,E,Italie,,,,
16,Ilécrivit,Voix,crispé,Sacré-Cœur,Cri-,Ro-,,,,,,
17,ôres,.$eS,Londres,Sèvres,Coco,Apôtres,"Co |

Dè rares",,,,,
18,mont Roudet,Rouen,rémonie,t’,iäseté,poür,Remontée,,,,,
19,Lest.partout,toujoürs,,,,,,,,,,
20,Chambre-aux-Demoiselles,Ellé,Elle,Ellerentrait,Gela,Elle-s’,"|

- Elle",élle,Éternelle,javelle,,
21,Damas,amazone,Bonsoir,"É
3 Æ",ner son amazone,,,,,,,
22,Mira,ge,on.se,Æt,Béelzébuth,,,,,,,
23,Religion,Per,Fection,habitué,,,,,,,,
24,vallon sauvage d'Ota,"rue
Sauvage",rue du Sauvage,"Rue

Dès",U— Plus,Rue,,,,,,
25,bäton,G,A84,Tongs,,,,,,,,
26,"Raven-

Soirés",Savez,Avez,HU,LS,,,,,,,
27,Bourse,Dour,Four-,Four,Pourriez-,el hourrue,us,Livourne,Qué,tourneré,galo,J
28,É,Bouillon,LON,s’agenouill-,Ajaccio,qü’,taillis dépouillés,j’,,,,
29,pays qu’,"pays de
L tout parsemée",M. de Brisbane,pays de Ceux,Pas de lune,,,,,,,
30,Laäre de l'Eure,phare de Fécamp,golfe de Sagone,moselle de la Roche-Aubert,Lé-,L’,aüt de la chaire des imprécations,,,,,
31,au Havre,du Havre,I,e Havre,le Havre,u%,collège du Havre,1 Havre,rue du Havre,,,
32,J1,anca,s‘blancs.-,,,,,,,,,
33,LAS,Ca,Las,V’,,,,,,,,
34,CE,kB,Ts,,,,,,,,,
35,riple,Naples,mariez-les,Péuples,Les,,,,,,,
36,Croyez->ou,trôinvit,Croyez-,fa-,Voyez,Fuyez,,,,,,
37,Le,BÉTE S,Le soleil,le soleil,soleil,,,,,,,
38,Lac,Lu,Lys,R,sôr,,,,,,,
39,Gao,Piana,Cana,Ci,,,,,,,,
40,ls,Tolbiac,Bolbec,bé Tolbiac,sapins,,,,,,,
41,Val,val d'Ota,dévala,eval,val,"air
du Val",val d’Ota,,,,,
42,Étre,"| |

Hauts",Là-haut,Autrefois,Fois,Arrêtér,,,,,,
43,Coder-,rs-accourait,"courant d' air
du porche",Coursil,jura,,,,,,,
44,surfabeno,ÏS,Er,suré,Surprise,surgirent.de,F7,rpré,,,,
45,Coutelier,Coup,Écoutez,Quittez-le,Comptez,deuxijouts,,,,,,
46,Côte,chuckôter,s’exalter,quiéter,,,,,,,,
47,bosquet,Croquerat,quem,Quelquefois,,,,,,,,
48,z0n€,v’'la,Lastique,Afrique,Amérique,L'Amérique,l'Afrique,,,,,
49,Toüt,Normand,É-,Normandie,Hôtel de Normandie,Normande,"hôtel de

Normandie",,,,,
50,Ilsne,el,Lés,Jet,,,,,,,,
51,A comtesse,comtesse Gilberte,Ju-,vicomtesse de Libreville,Gilberte,,,,,,,
52,Assit,Grèce,s’assoupir,s’as-,,,,,,,,
53,Jardin,Sainte-Hélène,i,Saint-Léonard,mélée,t-luis,,,,,,
54,rs,IL,Sitôt,fl,éotnme,,,,,,,
55,Bassolle,Folle,Hollande,Rollebosc,c0chér,àvec,,,,,,
56,Ur,Camp,Fécamp,Lampre,,,,,,,,
57,Mornes,"el
morne",Athènes,-.Je',,,,,,,,
58,Mâdame,Notre-Dame du Gros-Ventre,Mädame,Pyrame,Lo,,,,,,,
59,marseille,cueillie,|,Marseille,b,,,,,,,
60,Corse,La Corse,t-la Corse,,,,,,,,,
61,mer par-dessus,mer r bleu À,m'’aimer,mer invisible,ler,È,,,,,,
62,Es,Soudain,dain,Cany,Sou-,,,,,,,
63,Yport,Torturée,| Yport,Port,Port ‘,bonIëu£,Cité,Évaporée,,,,
64,Godarville,Fourville,Gourville,Tourville,Barville,rer,Goderville,Courville,nice,,,
65,Ils’,Brise-,Ÿ,Lisan,ellis,Lise,,,,,,
66,la-Méditerranée,Méditerranée,Jeané,,,,,,,,,
67,Fer,Lison,sson,Songe,Sonna,,,,,,,
68,Faire,Lemaire,nu-bras,Gésirer,l'Empire,d’,Lire,,,,,
69,hümains,aimais,ES,maison,,,,,,,,
70,P'Angle-,semblaïenchanté,champagne,Enchaînée,changée,,,,,,,
71,heuressans,EURE,Lheure,heurta,serrure,Eure,Aït,Harfleur,,,,
72,ne’,daille,"couvent

de Versailles",Oreilles,lille,d’aiguille,ille,fille;Elle,A,,,
73,Jambes,Jambe,N'ai-je,,,,,,,,,
74,un',Tai,s’irritaitencore,Était-,,,,,,,,
75,Watteville,Ée,Batteviile,Batte-,Batteville,,,,,,,
76,château de la Villette,Villette,Varneville,gare de Beuzeville,Beuzeville,Libreville,Brisseville,,,,,
77,honteuse,dormeuse,Ïl,Me,"Écu-
meuse",meuse,Vouset,,,,,
78,Îles,Île s’,Île,ER,,,,,,,,
79,mon-beau-frère,Madère,Midi,rère,,,,,,,,
80,Milieuème,gônflée,obséquieux,Jülien,supplie,Lieu,Julien,,,,,
81,enne,isra,aipardonna,nne,tonnelle,mignonne,garonne,Mignonne,,,,
82,souleva,Poulet,émus,Voulez,Paulet,piéds;. Poulet,,,,,,
83,terrifi,Angleterre,terre de Barville,terre,perret,,,,,,,
84,ogne,naie,bésigne,"col
fl",Cigogne,Cologne,etle,cognac,,,,
